
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Бокситогорский муниципальный район;;;;;;;;;;;;;
Бокситогорский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;-150;-76;161;-257;23;169;154;-186;-99;15;-39;36;
в пределах России;;;;;;;;;;;;;
Муниципальный район;-309;-342;-148;-482;-207;-52;-70;-320;-253;-108;-359;-80;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;100;-123;29;-1;-136;-45;-198;-256;-212;-67;-128;14;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;-409;-219;-177;-481;-71;-7;128;-64;-41;-41;-231;-94;
международная;;;;;;;;;;;;;
Муниципальный район;159;266;309;225;230;221;224;134;154;123;320;116;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;148;250;292;226;212;219;226;132;155;125;309;111;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;11;16;17;-1;18;2;-2;2;-1;-2;11;5;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;-250;47;132;-256;159;214;352;70;113;82;89;22;
Бокситогорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-114;-72;95;-344;151;148;159;45;5;;-224;-82;
в пределах России;;;;;;;;;;;;;
Городские поселения;-156;-132;39;-393;71;73;86;0;-34;;-277;-84;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;26;-40;61;34;13;58;11;-26;-8;;-59;-19;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-182;-92;-22;-427;58;15;75;26;-26;;-218;-65;
международная;;;;;;;;;;;;;
Городские поселения;42;60;56;49;80;75;73;45;39;;53;2;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;40;55;55;50;81;65;75;38;37;;51;3;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;2;5;1;-1;-1;10;-2;7;2;;2;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-140;-32;34;-378;138;90;148;71;13;;-165;-63;
Пикалевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
