oktmo,name,year,agrprod
01512000,Залесовский муниципальный округ,2022,1229742.0
01601000,Алейский муниципальный район,2007,1344273.0
01601000,Алейский муниципальный район,2008,1514570.0
01601000,Алейский муниципальный район,2009,1603763.0
01601000,Алейский муниципальный район,2010,1996221.0
01601000,Алейский муниципальный район,2011,1942415.0
01601000,Алейский муниципальный район,2012,1600536.0
01601000,Алейский муниципальный район,2013,2143733.0
01601000,Алейский муниципальный район,2014,1850311.0
01601000,Алейский муниципальный район,2015,2421710.0
01601000,Алейский муниципальный район,2016,3107494.0
01601000,Алейский муниципальный район,2017,2688638.0
01601000,Алейский муниципальный район,2018,2828127.0
01601000,Алейский муниципальный район,2019,3394659.0
01601000,Алейский муниципальный район,2020,3870008.0
01601000,Алейский муниципальный район,2021,6892641.0
01601000,Алейский муниципальный район,2022,6907776.0
01602000,Алтайский муниципальный район,2007,818969.0
01602000,Алтайский муниципальный район,2008,1087187.0
01602000,Алтайский муниципальный район,2009,1040123.0
01602000,Алтайский муниципальный район,2010,1321903.0
01602000,Алтайский муниципальный район,2011,1284813.0
01602000,Алтайский муниципальный район,2012,1337900.0
01602000,Алтайский муниципальный район,2013,1336664.0
01602000,Алтайский муниципальный район,2014,1536109.0
01602000,Алтайский муниципальный район,2015,1778321.0
01602000,Алтайский муниципальный район,2016,1953962.0
01602000,Алтайский муниципальный район,2017,1773443.0
01602000,Алтайский муниципальный район,2018,1826222.0
01602000,Алтайский муниципальный район,2019,1980770.0
01602000,Алтайский муниципальный район,2020,2197944.0
01602000,Алтайский муниципальный район,2021,2742656.0
01602000,Алтайский муниципальный район,2022,3067036.0
01603000,Баевский муниципальный район,2007,557045.0
01603000,Баевский муниципальный район,2008,750533.0
01603000,Баевский муниципальный район,2009,751926.0
01603000,Баевский муниципальный район,2010,665942.0
01603000,Баевский муниципальный район,2011,782944.0
01603000,Баевский муниципальный район,2012,667572.0
01603000,Баевский муниципальный район,2013,1043163.0
01603000,Баевский муниципальный район,2014,829739.0
01603000,Баевский муниципальный район,2015,1463467.0
01603000,Баевский муниципальный район,2016,1833550.0
01603000,Баевский муниципальный район,2017,1412287.0
01603000,Баевский муниципальный район,2018,1470202.0
01603000,Баевский муниципальный район,2019,1561211.0
01603000,Баевский муниципальный район,2020,1997806.0
01603000,Баевский муниципальный район,2021,3170587.0
01603000,Баевский муниципальный район,2022,2972157.0
01604000,Бийский муниципальный район,2007,1527975.0
01604000,Бийский муниципальный район,2008,1876684.0
01604000,Бийский муниципальный район,2009,1864731.0
01604000,Бийский муниципальный район,2010,1972917.0
01604000,Бийский муниципальный район,2011,2427508.0
01604000,Бийский муниципальный район,2012,2458974.0
01604000,Бийский муниципальный район,2013,2554296.0
01604000,Бийский муниципальный район,2014,2853986.0
01604000,Бийский муниципальный район,2015,3341521.0
01604000,Бийский муниципальный район,2016,3703613.0
01604000,Бийский муниципальный район,2017,3447524.0
01604000,Бийский муниципальный район,2018,3522664.0
01604000,Бийский муниципальный район,2019,4150792.0
01604000,Бийский муниципальный район,2020,4733484.0
01604000,Бийский муниципальный район,2021,5799310.0
01604000,Бийский муниципальный район,2022,6052017.0
01605000,Благовещенский муниципальный район,2007,1019153.0
01605000,Благовещенский муниципальный район,2008,1370368.0
01605000,Благовещенский муниципальный район,2009,1368279.0
01605000,Благовещенский муниципальный район,2010,1280582.0
01605000,Благовещенский муниципальный район,2011,1248855.0
01605000,Благовещенский муниципальный район,2012,1094817.0
01605000,Благовещенский муниципальный район,2013,1694570.0
01605000,Благовещенский муниципальный район,2014,1520115.0
01605000,Благовещенский муниципальный район,2015,1894200.0
01605000,Благовещенский муниципальный район,2016,2268868.0
01605000,Благовещенский муниципальный район,2017,2254291.0
01605000,Благовещенский муниципальный район,2018,2265106.0
01605000,Благовещенский муниципальный район,2019,2376137.0
