oktmo,name,year,avgsalary
1601000,Алейский муниципальный район,2011,9979.9
1601000,Алейский муниципальный район,2012,10813.9
1601000,Алейский муниципальный район,2013,12316.8
1601000,Алейский муниципальный район,2014,13112.1
1601000,Алейский муниципальный район,2015,14025.0
1601000,Алейский муниципальный район,2016,15257.0
1602000,Алтайский муниципальный район,2011,11190.9
1602000,Алтайский муниципальный район,2012,13506.8
1602000,Алтайский муниципальный район,2013,14952.6
1602000,Алтайский муниципальный район,2014,16169.5
1602000,Алтайский муниципальный район,2015,16649.8
1602000,Алтайский муниципальный район,2016,17683.8
1603000,Баевский муниципальный район,2011,10762.5
1603000,Баевский муниципальный район,2012,12441.2
1603000,Баевский муниципальный район,2013,13999.9
1603000,Баевский муниципальный район,2014,15756.5
1603000,Баевский муниципальный район,2015,16477.4
1603000,Баевский муниципальный район,2016,18149.0
1604000,Бийский муниципальный район,2011,11156.4
1604000,Бийский муниципальный район,2012,13359.6
1604000,Бийский муниципальный район,2013,14318.4
1604000,Бийский муниципальный район,2014,16289.3
1604000,Бийский муниципальный район,2015,17244.9
1604000,Бийский муниципальный район,2016,17906.1
1605000,Благовещенский муниципальный район,2011,13799.7
1605000,Благовещенский муниципальный район,2012,15746.4
1605000,Благовещенский муниципальный район,2013,17350.2
1605000,Благовещенский муниципальный район,2014,19389.0
1605000,Благовещенский муниципальный район,2015,20529.0
1605000,Благовещенский муниципальный район,2016,22272.7
1606000,Бурлинский муниципальный район,2011,10948.4
1606000,Бурлинский муниципальный район,2012,12387.4
1606000,Бурлинский муниципальный район,2013,14010.7
1606000,Бурлинский муниципальный район,2014,15618.7
1606000,Бурлинский муниципальный район,2015,15804.8
1606000,Бурлинский муниципальный район,2016,16331.6
1607000,Быстроистокский муниципальный район,2011,10179.1
1607000,Быстроистокский муниципальный район,2012,12624.8
1607000,Быстроистокский муниципальный район,2013,13922.6
1607000,Быстроистокский муниципальный район,2014,15666.3
1607000,Быстроистокский муниципальный район,2015,15868.9
1607000,Быстроистокский муниципальный район,2016,16627.8
1608000,Волчихинский муниципальный район,2011,12300.9
1608000,Волчихинский муниципальный район,2012,14005.0
1608000,Волчихинский муниципальный район,2013,15471.5
1608000,Волчихинский муниципальный район,2014,16659.2
1608000,Волчихинский муниципальный район,2015,17360.0
1608000,Волчихинский муниципальный район,2016,18095.3
1609000,Егорьевский муниципальный район,2011,10759.1
1609000,Егорьевский муниципальный район,2012,12730.5
1609000,Егорьевский муниципальный район,2013,14290.1
1609000,Егорьевский муниципальный район,2014,15754.5
1609000,Егорьевский муниципальный район,2015,15975.6
1609000,Егорьевский муниципальный район,2016,17366.6
1610000,Ельцовский муниципальный район,2011,10554.7
1610000,Ельцовский муниципальный район,2012,12791.8
1610000,Ельцовский муниципальный район,2013,14040.1
1610000,Ельцовский муниципальный район,2014,16182.4
1610000,Ельцовский муниципальный район,2015,17018.6
1610000,Ельцовский муниципальный район,2016,17943.8
1611000,Завьяловский муниципальный район,2011,10227.8
1611000,Завьяловский муниципальный район,2012,12187.6
1611000,Завьяловский муниципальный район,2013,13344.8
1611000,Завьяловский муниципальный район,2014,15770.3
1611000,Завьяловский муниципальный район,2015,16612.2
1611000,Завьяловский муниципальный район,2016,17753.2
1612000,Залесовский муниципальный район,2011,10368.6
