oktmo,name,year,cliniccap
1601000,Алейский муниципальный район,2008,201.0
1601000,Алейский муниципальный район,2009,201.0
1601000,Алейский муниципальный район,2010,201.0
1601000,Алейский муниципальный район,2011,217.0
1601000,Алейский муниципальный район,2012,184.0
1601000,Алейский муниципальный район,2013,184.0
1601417,Боровской сельсовет,2008,24.0
1601417,Боровской сельсовет,2009,24.0
1601417,Боровской сельсовет,2010,24.0
1601417,Боровской сельсовет,2011,24.0
1601417,Боровской сельсовет,2012,25.0
1601417,Боровской сельсовет,2013,25.0
1601420,Дружбинский сельсовет,2008,50.0
1601420,Дружбинский сельсовет,2009,50.0
1601420,Дружбинский сельсовет,2010,50.0
1601420,Дружбинский сельсовет,2011,50.0
1601420,Дружбинский сельсовет,2012,50.0
1601420,Дружбинский сельсовет,2013,50.0
1601432,Кашинский сельсовет,2008,18.0
1601432,Кашинский сельсовет,2009,18.0
1601432,Кашинский сельсовет,2010,18.0
1601432,Кашинский сельсовет,2011,34.0
1601432,Кашинский сельсовет,2012,18.0
1601432,Кашинский сельсовет,2013,18.0
1601464,Моховской сельсовет,2008,34.0
1601464,Моховской сельсовет,2009,34.0
1601464,Моховской сельсовет,2010,34.0
1601464,Моховской сельсовет,2011,34.0
1601464,Моховской сельсовет,2012,34.0
1601464,Моховской сельсовет,2013,34.0
1601468,Осколковский сельсовет,2008,28.0
1601468,Осколковский сельсовет,2009,28.0
1601468,Осколковский сельсовет,2010,28.0
1601468,Осколковский сельсовет,2011,28.0
1601468,Осколковский сельсовет,2012,25.0
1601468,Осколковский сельсовет,2013,25.0
1601473,Плотавский сельсовет,2008,47.0
1601473,Плотавский сельсовет,2009,47.0
1601473,Плотавский сельсовет,2010,47.0
1601473,Плотавский сельсовет,2011,47.0
1601473,Плотавский сельсовет,2012,32.0
1601473,Плотавский сельсовет,2013,32.0
1602000,Алтайский муниципальный район,2008,440.0
1602000,Алтайский муниципальный район,2009,440.0
1602000,Алтайский муниципальный район,2010,440.0
1602000,Алтайский муниципальный район,2011,440.0
1602000,Алтайский муниципальный район,2012,440.0
1602000,Алтайский муниципальный район,2013,440.0
1602405,Айский сельсовет,2008,25.0
1602405,Айский сельсовет,2009,25.0
1602405,Айский сельсовет,2010,25.0
1602405,Айский сельсовет,2011,25.0
1602405,Айский сельсовет,2012,25.0
1602405,Айский сельсовет,2013,25.0
1602407,Алтайский сельсовет,2008,390.0
1602407,Алтайский сельсовет,2009,390.0
1602407,Алтайский сельсовет,2010,390.0
1602407,Алтайский сельсовет,2011,390.0
1602407,Алтайский сельсовет,2012,390.0
1602407,Алтайский сельсовет,2013,390.0
1602423,Куяганский сельсовет,2008,25.0
1602423,Куяганский сельсовет,2009,25.0
1602423,Куяганский сельсовет,2010,25.0
1602423,Куяганский сельсовет,2011,25.0
1602423,Куяганский сельсовет,2012,25.0
1602423,Куяганский сельсовет,2013,25.0
1603000,Баевский муниципальный район,2008,464.0
1603000,Баевский муниципальный район,2009,464.0
1603000,Баевский муниципальный район,2010,434.0
1603000,Баевский муниципальный район,2011,434.0
1603000,Баевский муниципальный район,2012,434.0
1603000,Баевский муниципальный район,2013,434.0
1603407,Баевский сельсовет,2008,420.0
1603407,Баевский сельсовет,2009,420.0
1603407,Баевский сельсовет,2010,420.0
1603407,Баевский сельсовет,2011,406.0
1603407,Баевский сельсовет,2012,406.0
1603407,Баевский сельсовет,2013,406.0
1603416,Верх-Пайвинский сельсовет,2008,30.0
1603416,Верх-Пайвинский сельсовет,2009,30.0
1603480,Ситниковский сельсовет,2008,14.0
1603480,Ситниковский сельсовет,2009,14.0
1603480,Ситниковский сельсовет,2010,14.0
1603480,Ситниковский сельсовет,2011,28.0
