oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
01601000,Алейский муниципальный район,2008,0.53
01601000,Алейский муниципальный район,2009,0.761
01601000,Алейский муниципальный район,2010,0.888
01601000,Алейский муниципальный район,2011,0.861
01602000,Алтайский муниципальный район,2008,4.05
01602000,Алтайский муниципальный район,2009,3.05
01602000,Алтайский муниципальный район,2010,3.667
01602000,Алтайский муниципальный район,2011,4.081
01603000,Баевский муниципальный район,2008,1.26
01603000,Баевский муниципальный район,2009,1.875
01603000,Баевский муниципальный район,2010,0.995
01603000,Баевский муниципальный район,2011,1.212
01604000,Бийский муниципальный район,2008,2.12
01604000,Бийский муниципальный район,2009,1.965
01604000,Бийский муниципальный район,2010,2.113
01604000,Бийский муниципальный район,2011,5.844
01605000,Благовещенский муниципальный район,2008,0.72
01605000,Благовещенский муниципальный район,2009,1.803
01605000,Благовещенский муниципальный район,2010,0.68
01605000,Благовещенский муниципальный район,2011,0.524
01606000,Бурлинский муниципальный район,2008,0.52
01606000,Бурлинский муниципальный район,2009,0.412
01606000,Бурлинский муниципальный район,2010,0.414
01606000,Бурлинский муниципальный район,2011,0.595
01607000,Быстроистокский муниципальный район,2008,1.36
01607000,Быстроистокский муниципальный район,2009,1.461
01607000,Быстроистокский муниципальный район,2010,1.081
01607000,Быстроистокский муниципальный район,2011,2.007
01608000,Волчихинский муниципальный район,2008,0.57
01608000,Волчихинский муниципальный район,2009,0.653
01608000,Волчихинский муниципальный район,2010,0.708
01608000,Волчихинский муниципальный район,2011,0.875
01609000,Егорьевский муниципальный район,2008,1.93
01609000,Егорьевский муниципальный район,2009,1.472
01609000,Егорьевский муниципальный район,2010,0.845
01609000,Егорьевский муниципальный район,2011,1.007
01610000,Ельцовский муниципальный район,2008,0.7
01610000,Ельцовский муниципальный район,2009,0.936
01610000,Ельцовский муниципальный район,2010,1.889
01610000,Ельцовский муниципальный район,2011,1.606
01611000,Завьяловский муниципальный район,2008,1.07
01611000,Завьяловский муниципальный район,2009,1.133
01611000,Завьяловский муниципальный район,2010,1.137
01611000,Завьяловский муниципальный район,2011,1.098
01612000,Залесовский муниципальный район,2008,1.3
01612000,Залесовский муниципальный район,2009,1.122
01612000,Залесовский муниципальный район,2010,1.325
01612000,Залесовский муниципальный район,2011,1.071
01613000,Заринский муниципальный район,2008,0.91
01613000,Заринский муниципальный район,2009,1.322
01613000,Заринский муниципальный район,2010,1.187
01614000,Змеиногорский муниципальный район,2008,0.27
01614000,Змеиногорский муниципальный район,2009,0.426
01614000,Змеиногорский муниципальный район,2010,4.23
01614000,Змеиногорский муниципальный район,2011,1.008
01615000,Калманский муниципальный район,2008,2.85
