oktmo,name,year,factoriescap
1512000,Залесовский муниципальный округ,2022,244664.8
1601000,Алейский муниципальный район,2017,1081429.7
1601000,Алейский муниципальный район,2018,705589.4
1601000,Алейский муниципальный район,2019,792825.3
1601000,Алейский муниципальный район,2020,862921.2
1601000,Алейский муниципальный район,2021,1278360.1
1601000,Алейский муниципальный район,2022,1109337.3
1602000,Алтайский муниципальный район,2017,846320.4
1602000,Алтайский муниципальный район,2018,1079577.6
1602000,Алтайский муниципальный район,2019,763840.5
1602000,Алтайский муниципальный район,2020,779016.3
1602000,Алтайский муниципальный район,2021,878961.4
1602000,Алтайский муниципальный район,2022,1550772.7
1603000,Баевский муниципальный район,2017,116084.9
1603000,Баевский муниципальный район,2018,190941.7
1603000,Баевский муниципальный район,2019,151005.7
1603000,Баевский муниципальный район,2020,256319.2
1603000,Баевский муниципальный район,2021,274313.1
1603000,Баевский муниципальный район,2022,232378.8
1604000,Бийский муниципальный район,2017,2294401.0
1604000,Бийский муниципальный район,2018,2434363.6
1604000,Бийский муниципальный район,2019,2556107.6
1604000,Бийский муниципальный район,2020,3078874.5
1604000,Бийский муниципальный район,2021,4106979.3
1604000,Бийский муниципальный район,2022,4322859.3
1605000,Благовещенский муниципальный район,2017,7267707.7
1605000,Благовещенский муниципальный район,2018,6937813.6
1605000,Благовещенский муниципальный район,2019,7396573.3
1605000,Благовещенский муниципальный район,2020,8008102.8
1605000,Благовещенский муниципальный район,2021,8061814.8
1605000,Благовещенский муниципальный район,2022,7366010.5
1606000,Бурлинский муниципальный район,2017,353969.8
1606000,Бурлинский муниципальный район,2018,342799.4
1606000,Бурлинский муниципальный район,2019,374661.3
1606000,Бурлинский муниципальный район,2020,395021.9
1606000,Бурлинский муниципальный район,2021,397644.0
1606000,Бурлинский муниципальный район,2022,357811.0
1607000,Быстроистокский муниципальный район,2017,295425.9
1607000,Быстроистокский муниципальный район,2018,292395.0
1607000,Быстроистокский муниципальный район,2019,321584.1
1607000,Быстроистокский муниципальный район,2020,464086.5
1607000,Быстроистокский муниципальный район,2021,545534.7
1607000,Быстроистокский муниципальный район,2022,714656.5
1608000,Волчихинский муниципальный район,2017,1519443.2
1608000,Волчихинский муниципальный район,2018,1533167.1
1608000,Волчихинский муниципальный район,2019,1750144.4
1608000,Волчихинский муниципальный район,2020,1794040.1
1608000,Волчихинский муниципальный район,2021,2069701.8
1608000,Волчихинский муниципальный район,2022,2484117.4
1609000,Егорьевский муниципальный район,2017,519148.9
1609000,Егорьевский муниципальный район,2018,556902.0
1609000,Егорьевский муниципальный район,2019,681102.8
1609000,Егорьевский муниципальный район,2020,635169.0
1609000,Егорьевский муниципальный район,2021,780597.2
1609000,Егорьевский муниципальный район,2022,746423.0
1610000,Ельцовский муниципальный район,2017,161655.7
1610000,Ельцовский муниципальный район,2018,207200.7
1610000,Ельцовский муниципальный район,2019,105306.0
1610000,Ельцовский муниципальный район,2020,110195.6
1610000,Ельцовский муниципальный район,2021,113848.9
1610000,Ельцовский муниципальный район,2022,155697.1
1611000,Завьяловский муниципальный район,2017,1320880.9
1611000,Завьяловский муниципальный район,2018,1371866.5
1611000,Завьяловский муниципальный район,2019,1476254.5
1611000,Завьяловский муниципальный район,2020,1897864.7
1611000,Завьяловский муниципальный район,2021,2183199.3
1611000,Завьяловский муниципальный район,2022,2602736.3
1612000,Залесовский муниципальный район,2017,286191.4
1612000,Залесовский муниципальный район,2018,283643.7
1612000,Залесовский муниципальный район,2019,309064.6
1612000,Залесовский муниципальный район,2020,276625.3
1612000,Залесовский муниципальный район,2021,259141.0
1613000,Заринский муниципальный район,2017,1056885.2
1613000,Заринский муниципальный район,2018,1124497.8
1613000,Заринский муниципальный район,2019,1126064.8
1613000,Заринский муниципальный район,2020,1527472.5
1613000,Заринский муниципальный район,2021,1764163.2
1613000,Заринский муниципальный район,2022,2300906.8
1614000,Змеиногорский муниципальный район,2017,3747640.0
1614000,Змеиногорский муниципальный район,2018,3250921.7
1614000,Змеиногорский муниципальный район,2019,2813283.8
1614000,Змеиногорский муниципальный район,2020,3739752.9
1614000,Змеиногорский муниципальный район,2021,5181968.5
1614000,Змеиногорский муниципальный район,2022,4101933.3
1615000,Калманский муниципальный район,2017,2399534.1
1615000,Калманский муниципальный район,2018,2633649.3
1615000,Калманский муниципальный район,2019,2690212.5
1615000,Калманский муниципальный район,2020,3778658.9
1615000,Калманский муниципальный район,2021,4718199.2
1615000,Калманский муниципальный район,2022,5782776.1
1616000,Каменский муниципальный район,2017,4133852.2
1616000,Каменский муниципальный район,2018,4571528.8
1616000,Каменский муниципальный район,2019,4845583.4
1616000,Каменский муниципальный район,2020,5500471.7
1616000,Каменский муниципальный район,2021,6332063.7
1616000,Каменский муниципальный район,2022,5705033.3
1617000,Ключевский муниципальный район,2017,737613.0
1617000,Ключевский муниципальный район,2018,550350.3
1617000,Ключевский муниципальный район,2019,507233.2
1617000,Ключевский муниципальный район,2020,547749.5
1617000,Ключевский муниципальный район,2021,501624.3
1617000,Ключевский муниципальный район,2022,489441.5
1618000,Косихинский муниципальный район,2017,618364.8
1618000,Косихинский муниципальный район,2018,329656.3
1618000,Косихинский муниципальный район,2019,331393.7
1618000,Косихинский муниципальный район,2020,441923.8
1618000,Косихинский муниципальный район,2021,609267.8
1618000,Косихинский муниципальный район,2022,663306.5
1619000,Красногорский муниципальный район,2017,1179532.1
1619000,Красногорский муниципальный район,2018,1026012.1
1619000,Красногорский муниципальный район,2019,999620.8
1619000,Красногорский муниципальный район,2020,1152459.6
1619000,Красногорский муниципальный район,2021,2335990.8
1619000,Красногорский муниципальный район,2022,2773104.2
1620000,Краснощёковский муниципальный район,2017,1610238.2
1620000,Краснощёковский муниципальный район,2018,1992119.7
1620000,Краснощёковский муниципальный район,2019,2639892.2
1620000,Краснощёковский муниципальный район,2020,3181762.6
1620000,Краснощёковский муниципальный район,2021,2853807.5
1620000,Краснощёковский муниципальный район,2022,2621801.1
1621000,Крутихинский муниципальный район,2017,311553.0
1621000,Крутихинский муниципальный район,2018,364864.2
1621000,Крутихинский муниципальный район,2019,303833.4
1621000,Крутихинский муниципальный район,2020,315895.7
1621000,Крутихинский муниципальный район,2021,293233.0
1621000,Крутихинский муниципальный район,2022,289142.6
1622000,Кулундинский муниципальный район,2017,635797.4
1622000,Кулундинский муниципальный район,2018,676090.7
1622000,Кулундинский муниципальный район,2019,721396.4
1622000,Кулундинский муниципальный район,2020,776980.0
1622000,Кулундинский муниципальный район,2021,1007799.4
1622000,Кулундинский муниципальный район,2022,850199.5
1623000,Курьинский муниципальный район,2017,742724.9
1623000,Курьинский муниципальный район,2018,586073.0
1623000,Курьинский муниципальный район,2019,412290.6
1623000,Курьинский муниципальный район,2020,1295944.9
1623000,Курьинский муниципальный район,2021,1271722.5
1623000,Курьинский муниципальный район,2022,1139691.6
1624000,Кытмановский муниципальный район,2017,622830.7
1624000,Кытмановский муниципальный район,2018,583412.2
1624000,Кытмановский муниципальный район,2019,732893.3
1624000,Кытмановский муниципальный район,2020,683502.2
1624000,Кытмановский муниципальный район,2021,964597.1
1624000,Кытмановский муниципальный район,2022,897542.4
1625000,Локтевский муниципальный район,2017,626034.1
1625000,Локтевский муниципальный район,2018,762379.4
1625000,Локтевский муниципальный район,2019,795172.1
1625000,Локтевский муниципальный район,2020,1201366.4
1625000,Локтевский муниципальный район,2021,1413719.0
1625000,Локтевский муниципальный район,2022,1947356.6
1626000,Мамонтовский муниципальный район,2017,887678.1
1626000,Мамонтовский муниципальный район,2018,942446.8
