oktmo,name,year,foodservturnover
oktmo,municipality,year,indicator_value
01601000,Алейский муниципальный район,2012,1699.4
01601000,Алейский муниципальный район,2013,2095.3
01601000,Алейский муниципальный район,2014,3374.8
01601000,Алейский муниципальный район,2015,4041.4
01601000,Алейский муниципальный район,2016,4503.8
01602000,Алтайский муниципальный район,2012,4151.0
01602000,Алтайский муниципальный район,2016,8268.6
01603000,Баевский муниципальный район,2012,1168.4
01603000,Баевский муниципальный район,2013,2119.1
01603000,Баевский муниципальный район,2014,2064.9
01603000,Баевский муниципальный район,2015,2252.5
01603000,Баевский муниципальный район,2016,2619.4
01604000,Бийский муниципальный район,2012,9960.7
01604000,Бийский муниципальный район,2013,10193.3
01604000,Бийский муниципальный район,2014,13089.2
01604000,Бийский муниципальный район,2015,15007.8
01604000,Бийский муниципальный район,2016,12789.3
01605000,Благовещенский муниципальный район,2012,18614.8
01605000,Благовещенский муниципальный район,2013,17668.9
01605000,Благовещенский муниципальный район,2014,17561.5
01605000,Благовещенский муниципальный район,2015,19739.9
01605000,Благовещенский муниципальный район,2016,21718.5
01606000,Бурлинский муниципальный район,2012,1403.0
01606000,Бурлинский муниципальный район,2013,1188.9
01606000,Бурлинский муниципальный район,2014,364.5
01606000,Бурлинский муниципальный район,2015,1023.5
01606000,Бурлинский муниципальный район,2016,825.7
01607000,Быстроистокский муниципальный район,2012,1649.1
01607000,Быстроистокский муниципальный район,2013,1913.0
01607000,Быстроистокский муниципальный район,2014,1752.0
01607000,Быстроистокский муниципальный район,2015,2637.7
01607000,Быстроистокский муниципальный район,2016,2542.6
01608000,Волчихинский муниципальный район,2012,3073.4
01608000,Волчихинский муниципальный район,2013,3907.8
01608000,Волчихинский муниципальный район,2014,5092.6
01608000,Волчихинский муниципальный район,2015,5811.5
01608000,Волчихинский муниципальный район,2016,5574.4
01609000,Егорьевский муниципальный район,2012,4303.0
01609000,Егорьевский муниципальный район,2013,4052.8
01609000,Егорьевский муниципальный район,2014,4339.2
01609000,Егорьевский муниципальный район,2015,14282.9
01609000,Егорьевский муниципальный район,2016,15843.5
01610000,Ельцовский муниципальный район,2015,680.7
01611000,Завьяловский муниципальный район,2012,6153.2
01611000,Завьяловский муниципальный район,2013,5670.2
01611000,Завьяловский муниципальный район,2014,6868.7
01611000,Завьяловский муниципальный район,2015,8783.8
01611000,Завьяловский муниципальный район,2016,8135.0
01612000,Залесовский муниципальный район,2012,8763.6
01613000,Заринский муниципальный район,2012,8571.3
01613000,Заринский муниципальный район,2013,9211.5
