oktmo,name,year,harvest
1512000,Залесовский муниципальный округ,2022,8964.65
1601000,Алейский муниципальный район,2007,23669.75
1601000,Алейский муниципальный район,2008,23227.7
1601000,Алейский муниципальный район,2009,22465.56
1601000,Алейский муниципальный район,2010,21394.53
1601000,Алейский муниципальный район,2011,17775.38
1601000,Алейский муниципальный район,2012,16702.79
1601000,Алейский муниципальный район,2013,16302.5
1601000,Алейский муниципальный район,2014,15943.68
1601000,Алейский муниципальный район,2015,13490.07
1601000,Алейский муниципальный район,2016,13506.02
1601000,Алейский муниципальный район,2017,12546.03
1601000,Алейский муниципальный район,2018,10230.7
1601000,Алейский муниципальный район,2019,10663.25
1601000,Алейский муниципальный район,2020,9494.43
1601000,Алейский муниципальный район,2021,10391.02
1601000,Алейский муниципальный район,2022,11500.04
1602000,Алтайский муниципальный район,2007,44910.04
1602000,Алтайский муниципальный район,2008,46016.8
1602000,Алтайский муниципальный район,2009,45311.28
1602000,Алтайский муниципальный район,2010,44427.85
1602000,Алтайский муниципальный район,2011,38450.08
1602000,Алтайский муниципальный район,2012,36406.36
1602000,Алтайский муниципальный район,2013,35511.5
1602000,Алтайский муниципальный район,2014,36167.0
1602000,Алтайский муниципальный район,2015,35549.09
1602000,Алтайский муниципальный район,2016,42162.74
1602000,Алтайский муниципальный район,2017,36908.32
1602000,Алтайский муниципальный район,2018,34984.8
1602000,Алтайский муниципальный район,2019,37160.88
1602000,Алтайский муниципальный район,2020,33275.75
1602000,Алтайский муниципальный район,2021,45877.27
1602000,Алтайский муниципальный район,2022,41725.84
1603000,Баевский муниципальный район,2007,8269.04
1603000,Баевский муниципальный район,2008,8118.05
1603000,Баевский муниципальный район,2009,8214.1
1603000,Баевский муниципальный район,2010,8153.99
1603000,Баевский муниципальный район,2011,6730.64
1603000,Баевский муниципальный район,2012,6277.85
1603000,Баевский муниципальный район,2013,5889.19
1603000,Баевский муниципальный район,2014,7582.51
1603000,Баевский муниципальный район,2015,5548.63
1603000,Баевский муниципальный район,2016,7177.2
1603000,Баевский муниципальный район,2017,8933.88
1603000,Баевский муниципальный район,2018,5963.9
1603000,Баевский муниципальный район,2019,6897.43
1603000,Баевский муниципальный район,2020,6621.12
