oktmo,name,year,livarea
oktmo,municipality,year,indicator_value
01512000,Залесовский муниципальный округ,2022,28.5
01601000,Алейский муниципальный район,2008,23.72
01601000,Алейский муниципальный район,2009,26.3
01601000,Алейский муниципальный район,2010,27.03
01601000,Алейский муниципальный район,2011,28.6
01601000,Алейский муниципальный район,2012,25.6
01601000,Алейский муниципальный район,2013,26.1
01601000,Алейский муниципальный район,2014,26.6
01601000,Алейский муниципальный район,2015,27.1
01601000,Алейский муниципальный район,2016,27.6
01601000,Алейский муниципальный район,2017,27.8
01601000,Алейский муниципальный район,2018,28.6
01601000,Алейский муниципальный район,2019,29.4
01601000,Алейский муниципальный район,2020,30.3
01601000,Алейский муниципальный район,2021,31.5
01601000,Алейский муниципальный район,2022,29.1
01602000,Алтайский муниципальный район,2008,18.91
01602000,Алтайский муниципальный район,2009,19.1
01602000,Алтайский муниципальный район,2010,19.4
01602000,Алтайский муниципальный район,2011,19.7
01602000,Алтайский муниципальный район,2012,20.1
01602000,Алтайский муниципальный район,2013,20.6
01602000,Алтайский муниципальный район,2014,20.8
01602000,Алтайский муниципальный район,2015,21.2
01602000,Алтайский муниципальный район,2016,21.6
01602000,Алтайский муниципальный район,2017,22.0
01602000,Алтайский муниципальный район,2018,22.4
01602000,Алтайский муниципальный район,2019,22.8
01602000,Алтайский муниципальный район,2020,23.0
01602000,Алтайский муниципальный район,2021,23.3
01602000,Алтайский муниципальный район,2022,23.9
01603000,Баевский муниципальный район,2008,21.65
01603000,Баевский муниципальный район,2009,22.8
01603000,Баевский муниципальный район,2010,23.46
01603000,Баевский муниципальный район,2011,24.4
01603000,Баевский муниципальный район,2012,25.1
01603000,Баевский муниципальный район,2013,25.8
01603000,Баевский муниципальный район,2014,26.4
01603000,Баевский муниципальный район,2015,27.0
01603000,Баевский муниципальный район,2016,27.3
01603000,Баевский муниципальный район,2017,27.7
01603000,Баевский муниципальный район,2018,28.4
01603000,Баевский муниципальный район,2019,29.1
01603000,Баевский муниципальный район,2020,30.1
01603000,Баевский муниципальный район,2021,31.0
01603000,Баевский муниципальный район,2022,32.3
01604000,Бийский муниципальный район,2008,19.67
01604000,Бийский муниципальный район,2009,20.7
01604000,Бийский муниципальный район,2010,20.86
01604000,Бийский муниципальный район,2011,21.5
01604000,Бийский муниципальный район,2012,22.1
01604000,Бийский муниципальный район,2013,23.2
01604000,Бийский муниципальный район,2014,23.3
01604000,Бийский муниципальный район,2015,23.8
01604000,Бийский муниципальный район,2016,24.0
01604000,Бийский муниципальный район,2017,24.5
01604000,Бийский муниципальный район,2018,24.6
01604000,Бийский муниципальный район,2019,25.2
01604000,Бийский муниципальный район,2020,26.0
01604000,Бийский муниципальный район,2021,26.6
01604000,Бийский муниципальный район,2022,25.2
01605000,Благовещенский муниципальный район,2008,21.17
01605000,Благовещенский муниципальный район,2009,22.8
01605000,Благовещенский муниципальный район,2010,23.07
01605000,Благовещенский муниципальный район,2011,23.4
01605000,Благовещенский муниципальный район,2012,23.7
01605000,Благовещенский муниципальный район,2013,24.2
01605000,Благовещенский муниципальный район,2014,24.6
01605000,Благовещенский муниципальный район,2015,25.0
01605000,Благовещенский муниципальный район,2016,25.2
01605000,Благовещенский муниципальный район,2017,25.4
01605000,Благовещенский муниципальный район,2018,25.8
01605000,Благовещенский муниципальный район,2019,26.2
01605000,Благовещенский муниципальный район,2020,26.7
01605000,Благовещенский муниципальный район,2021,27.4
01605000,Благовещенский муниципальный район,2022,28.6
01606000,Бурлинский муниципальный район,2008,21.66
01606000,Бурлинский муниципальный район,2009,23.3
01606000,Бурлинский муниципальный район,2010,23.48
01606000,Бурлинский муниципальный район,2011,24.6
01606000,Бурлинский муниципальный район,2012,25.3
01606000,Бурлинский муниципальный район,2013,25.7
01606000,Бурлинский муниципальный район,2014,25.8
01606000,Бурлинский муниципальный район,2015,26.2
01606000,Бурлинский муниципальный район,2016,26.7
01606000,Бурлинский муниципальный район,2017,26.9
01606000,Бурлинский муниципальный район,2018,27.5
01606000,Бурлинский муниципальный район,2019,28.3
01606000,Бурлинский муниципальный район,2020,29.1
01606000,Бурлинский муниципальный район,2021,30.1
01606000,Бурлинский муниципальный район,2022,36.3
01607000,Быстроистокский муниципальный район,2008,20.94
01607000,Быстроистокский муниципальный район,2009,22.3
01607000,Быстроистокский муниципальный район,2010,22.75
01607000,Быстроистокский муниципальный район,2011,23.1
01607000,Быстроистокский муниципальный район,2012,23.7
01607000,Быстроистокский муниципальный район,2013,24.4
01607000,Быстроистокский муниципальный район,2014,24.8
01607000,Быстроистокский муниципальный район,2015,25.6
01607000,Быстроистокский муниципальный район,2016,26.0
01607000,Быстроистокский муниципальный район,2017,25.9
01607000,Быстроистокский муниципальный район,2018,26.5
01607000,Быстроистокский муниципальный район,2019,27.0
01607000,Быстроистокский муниципальный район,2020,27.4
01607000,Быстроистокский муниципальный район,2021,28.1
01607000,Быстроистокский муниципальный район,2022,31.8
01608000,Волчихинский муниципальный район,2008,21.41
01608000,Волчихинский муниципальный район,2009,22.4
01608000,Волчихинский муниципальный район,2010,22.77
01608000,Волчихинский муниципальный район,2011,23.3
01608000,Волчихинский муниципальный район,2012,23.9
01608000,Волчихинский муниципальный район,2013,24.5
01608000,Волчихинский муниципальный район,2014,25.0
01608000,Волчихинский муниципальный район,2015,25.3
01608000,Волчихинский муниципальный район,2016,25.6
01608000,Волчихинский муниципальный район,2017,26.1
01608000,Волчихинский муниципальный район,2018,26.7
01608000,Волчихинский муниципальный район,2019,27.1
01608000,Волчихинский муниципальный район,2020,27.4
01608000,Волчихинский муниципальный район,2021,27.8
01608000,Волчихинский муниципальный район,2022,30.7
01609000,Егорьевский муниципальный район,2008,25.63
01609000,Егорьевский муниципальный район,2009,24.5
01609000,Егорьевский муниципальный район,2010,24.87
01609000,Егорьевский муниципальный район,2011,25.7
01609000,Егорьевский муниципальный район,2012,25.8
01609000,Егорьевский муниципальный район,2013,25.8
01609000,Егорьевский муниципальный район,2014,26.4
01609000,Егорьевский муниципальный район,2015,26.7
01609000,Егорьевский муниципальный район,2016,27.0
01609000,Егорьевский муниципальный район,2017,27.4
01609000,Егорьевский муниципальный район,2018,27.8
01609000,Егорьевский муниципальный район,2019,28.6
01609000,Егорьевский муниципальный район,2020,29.4
01609000,Егорьевский муниципальный район,2021,30.3
01609000,Егорьевский муниципальный район,2022,33.4
01610000,Ельцовский муниципальный район,2008,24.56
01610000,Ельцовский муниципальный район,2009,27.3
01610000,Ельцовский муниципальный район,2010,27.48
01610000,Ельцовский муниципальный район,2011,27.9
01610000,Ельцовский муниципальный район,2012,28.6
01610000,Ельцовский муниципальный район,2013,28.9
01610000,Ельцовский муниципальный район,2014,29.1
01610000,Ельцовский муниципальный район,2015,29.3
01610000,Ельцовский муниципальный район,2016,29.2
01610000,Ельцовский муниципальный район,2017,29.3
01610000,Ельцовский муниципальный район,2018,29.8
01610000,Ельцовский муниципальный район,2019,30.4
01610000,Ельцовский муниципальный район,2020,30.7
01610000,Ельцовский муниципальный район,2021,31.3
01610000,Ельцовский муниципальный район,2022,38.3
01611000,Завьяловский муниципальный район,2008,20.47
01611000,Завьяловский муниципальный район,2009,22.4
01611000,Завьяловский муниципальный район,2010,22.64
01611000,Завьяловский муниципальный район,2011,23.1
01611000,Завьяловский муниципальный район,2012,23.5
