oktmo,name,year,livestock
01512000,Залесовский муниципальный округ,2022,10249.0
01601000,Алейский муниципальный район,2007,198097.0
01601000,Алейский муниципальный район,2008,188081.0
01601000,Алейский муниципальный район,2009,174392.0
01601000,Алейский муниципальный район,2010,167766.0
01601000,Алейский муниципальный район,2011,155709.0
01601000,Алейский муниципальный район,2012,145179.0
01601000,Алейский муниципальный район,2013,137902.0
01601000,Алейский муниципальный район,2014,130099.0
01601000,Алейский муниципальный район,2015,125841.0
01601000,Алейский муниципальный район,2016,124294.0
01601000,Алейский муниципальный район,2017,121966.0
01601000,Алейский муниципальный район,2018,112567.0
01601000,Алейский муниципальный район,2019,107933.0
01601000,Алейский муниципальный район,2020,94851.0
01601000,Алейский муниципальный район,2021,83236.0
01601000,Алейский муниципальный район,2022,74735.0
01602000,Алтайский муниципальный район,2007,105896.0
01602000,Алтайский муниципальный район,2008,103097.0
01602000,Алтайский муниципальный район,2009,100478.0
01602000,Алтайский муниципальный район,2010,94732.0
01602000,Алтайский муниципальный район,2011,90967.0
01602000,Алтайский муниципальный район,2012,88777.0
01602000,Алтайский муниципальный район,2013,84197.0
01602000,Алтайский муниципальный район,2014,80404.0
01602000,Алтайский муниципальный район,2015,77393.0
01602000,Алтайский муниципальный район,2016,79226.0
01602000,Алтайский муниципальный район,2017,80799.0
01602000,Алтайский муниципальный район,2018,75885.0
01602000,Алтайский муниципальный район,2019,74784.0
01602000,Алтайский муниципальный район,2020,73702.0
01602000,Алтайский муниципальный район,2021,74039.0
01602000,Алтайский муниципальный район,2022,72192.0
01603000,Баевский муниципальный район,2007,71886.0
01603000,Баевский муниципальный район,2008,68265.0
01603000,Баевский муниципальный район,2009,64410.0
01603000,Баевский муниципальный район,2010,61761.0
01603000,Баевский муниципальный район,2011,58327.0
01603000,Баевский муниципальный район,2012,54208.0
01603000,Баевский муниципальный район,2013,51497.0
01603000,Баевский муниципальный район,2014,48349.0
01603000,Баевский муниципальный район,2015,44556.0
01603000,Баевский муниципальный район,2016,42315.0
01603000,Баевский муниципальный район,2017,41378.0
01603000,Баевский муниципальный район,2018,39590.0
01603000,Баевский муниципальный район,2019,34945.0
01603000,Баевский муниципальный район,2020,31871.0
01603000,Баевский муниципальный район,2021,32336.0
01603000,Баевский муниципальный район,2022,29637.0
01604000,Бийский муниципальный район,2007,394318.0
01604000,Бийский муниципальный район,2008,436113.0
01604000,Бийский муниципальный район,2009,434269.0
01604000,Бийский муниципальный район,2010,541021.0
