oktmo,name,year,museums
oktmo,municipality,year,indicator_value
01602000,Алтайский муниципальный район,2007,1.0
01602000,Алтайский муниципальный район,2008,1.0
01602000,Алтайский муниципальный район,2009,1.0
01602000,Алтайский муниципальный район,2010,1.0
01602000,Алтайский муниципальный район,2011,1.0
01602000,Алтайский муниципальный район,2012,1.0
01602000,Алтайский муниципальный район,2013,1.0
01602000,Алтайский муниципальный район,2014,1.0
01602000,Алтайский муниципальный район,2015,1.0
01602000,Алтайский муниципальный район,2016,1.0
01602407,Алтайский сельсовет,2007,1.0
01602407,Алтайский сельсовет,2008,1.0
01602407,Алтайский сельсовет,2009,1.0
01602407,Алтайский сельсовет,2010,1.0
01602407,Алтайский сельсовет,2011,1.0
01602407,Алтайский сельсовет,2012,1.0
01602407,Алтайский сельсовет,2013,1.0
01602407,Алтайский сельсовет,2014,1.0
01602407,Алтайский сельсовет,2015,1.0
01602407,Алтайский сельсовет,2016,1.0
01604000,Бийский муниципальный район,2007,1.0
01604000,Бийский муниципальный район,2008,1.0
01604000,Бийский муниципальный район,2009,1.0
01604000,Бийский муниципальный район,2010,1.0
01604000,Бийский муниципальный район,2011,1.0
01604000,Бийский муниципальный район,2012,1.0
01604000,Бийский муниципальный район,2013,1.0
01604000,Бийский муниципальный район,2014,1.0
01604000,Бийский муниципальный район,2015,1.0
01604000,Бийский муниципальный район,2016,1.0
01604000,Бийский муниципальный район,2017,1.0
01604483,Сростинский сельсовет,2007,1.0
01604483,Сростинский сельсовет,2008,1.0
01604483,Сростинский сельсовет,2009,1.0
01604483,Сростинский сельсовет,2010,1.0
01604483,Сростинский сельсовет,2011,1.0
01604483,Сростинский сельсовет,2012,1.0
01604483,Сростинский сельсовет,2013,1.0
01604483,Сростинский сельсовет,2014,1.0
01604483,Сростинский сельсовет,2015,1.0
01604483,Сростинский сельсовет,2016,1.0
01604483,Сростинский сельсовет,2017,1.0
01605000,Благовещенский муниципальный район,2007,1.0
01605000,Благовещенский муниципальный район,2008,1.0
01605000,Благовещенский муниципальный район,2009,1.0
01605000,Благовещенский муниципальный район,2010,1.0
01605000,Благовещенский муниципальный район,2011,1.0
01605000,Благовещенский муниципальный район,2012,1.0
01605000,Благовещенский муниципальный район,2013,1.0
01605000,Благовещенский муниципальный район,2014,1.0
01605000,Благовещенский муниципальный район,2015,1.0
01605000,Благовещенский муниципальный район,2016,1.0
01605000,Благовещенский муниципальный район,2017,1.0
01605151,Благовещенский поссовет,2007,1.0
01605151,Благовещенский поссовет,2008,1.0
01605151,Благовещенский поссовет,2009,1.0
01605151,Благовещенский поссовет,2010,1.0
01605151,Благовещенский поссовет,2011,1.0
01605151,Благовещенский поссовет,2012,1.0
01605151,Благовещенский поссовет,2013,1.0
01605151,Благовещенский поссовет,2014,1.0
01605151,Благовещенский поссовет,2015,1.0
01605151,Благовещенский поссовет,2016,1.0
01605151,Благовещенский поссовет,2017,1.0
01606000,Бурлинский муниципальный район,2007,1.0
01606000,Бурлинский муниципальный район,2008,1.0
01606000,Бурлинский муниципальный район,2009,1.0
01606000,Бурлинский муниципальный район,2010,1.0
01606000,Бурлинский муниципальный район,2011,1.0
01606000,Бурлинский муниципальный район,2012,1.0
01606000,Бурлинский муниципальный район,2013,1.0
01606000,Бурлинский муниципальный район,2014,1.0
01606000,Бурлинский муниципальный район,2015,1.0
01606000,Бурлинский муниципальный район,2016,1.0
01606411,Бурлинский сельсовет,2007,1.0
01606411,Бурлинский сельсовет,2008,1.0
01606411,Бурлинский сельсовет,2009,1.0
01606411,Бурлинский сельсовет,2010,1.0
01606411,Бурлинский сельсовет,2011,1.0
01606411,Бурлинский сельсовет,2012,1.0
01606411,Бурлинский сельсовет,2013,1.0
01606411,Бурлинский сельсовет,2014,1.0
01606411,Бурлинский сельсовет,2015,1.0
01606411,Бурлинский сельсовет,2016,1.0
01607000,Быстроистокский муниципальный район,2013,1.0
01607000,Быстроистокский муниципальный район,2014,1.0
01607000,Быстроистокский муниципальный район,2015,1.0
01607000,Быстроистокский муниципальный район,2016,1.0
01607000,Быстроистокский муниципальный район,2017,1.0
01607405,Быстроистокский сельсовет,2013,1.0
01607405,Быстроистокский сельсовет,2014,1.0
01607405,Быстроистокский сельсовет,2015,1.0
01607405,Быстроистокский сельсовет,2016,1.0
01607405,Быстроистокский сельсовет,2017,1.0
01608000,Волчихинский муниципальный район,2007,1.0
01608000,Волчихинский муниципальный район,2008,1.0
01608000,Волчихинский муниципальный район,2009,1.0
01608000,Волчихинский муниципальный район,2010,1.0
01608000,Волчихинский муниципальный район,2011,2.0
01608000,Волчихинский муниципальный район,2012,1.0
01608000,Волчихинский муниципальный район,2013,1.0
01608000,Волчихинский муниципальный район,2014,1.0
01608000,Волчихинский муниципальный район,2015,1.0
01608000,Волчихинский муниципальный район,2016,1.0
01608000,Волчихинский муниципальный район,2017,1.0
01608421,Волчихинский сельсовет,2007,1.0
01608421,Волчихинский сельсовет,2008,1.0
01608421,Волчихинский сельсовет,2009,1.0
01608421,Волчихинский сельсовет,2010,1.0
01608421,Волчихинский сельсовет,2011,1.0
01608421,Волчихинский сельсовет,2012,1.0
01608421,Волчихинский сельсовет,2013,1.0
01608421,Волчихинский сельсовет,2014,1.0
01608421,Волчихинский сельсовет,2015,1.0
01608421,Волчихинский сельсовет,2016,1.0
01608421,Волчихинский сельсовет,2017,1.0
01608478,Солоновский сельсовет,2011,1.0
01609000,Егорьевский муниципальный район,2007,1.0
01609000,Егорьевский муниципальный район,2008,1.0
01609000,Егорьевский муниципальный район,2009,1.0
01609000,Егорьевский муниципальный район,2010,1.0
01609000,Егорьевский муниципальный район,2011,1.0
01609000,Егорьевский муниципальный район,2012,1.0
01609000,Егорьевский муниципальный район,2013,1.0
01609000,Егорьевский муниципальный район,2014,1.0
01609000,Егорьевский муниципальный район,2015,1.0
01609000,Егорьевский муниципальный район,2016,1.0
01609000,Егорьевский муниципальный район,2017,1.0
01609433,Новоегорьевский сельсовет,2007,1.0
01609433,Новоегорьевский сельсовет,2008,1.0
01609433,Новоегорьевский сельсовет,2009,1.0
01609433,Новоегорьевский сельсовет,2010,1.0
01609433,Новоегорьевский сельсовет,2011,1.0
01609433,Новоегорьевский сельсовет,2012,1.0
01609433,Новоегорьевский сельсовет,2013,1.0
01609433,Новоегорьевский сельсовет,2014,1.0
01609433,Новоегорьевский сельсовет,2015,1.0
01609433,Новоегорьевский сельсовет,2016,1.0
01609433,Новоегорьевский сельсовет,2017,1.0
01610000,Ельцовский муниципальный район,2011,1.0
01610422,Ельцовский сельсовет,2011,1.0
01611000,Завьяловский муниципальный район,2007,1.0
01611000,Завьяловский муниципальный район,2008,1.0
01611000,Завьяловский муниципальный район,2009,1.0
01611000,Завьяловский муниципальный район,2010,1.0
01611000,Завьяловский муниципальный район,2011,1.0
01611000,Завьяловский муниципальный район,2012,1.0
01611000,Завьяловский муниципальный район,2013,1.0
01611000,Завьяловский муниципальный район,2014,1.0
01611000,Завьяловский муниципальный район,2015,1.0
01611000,Завьяловский муниципальный район,2016,1.0
01611000,Завьяловский муниципальный район,2017,1.0
01611434,Завьяловский сельсовет,2007,1.0
01611434,Завьяловский сельсовет,2008,1.0
01611434,Завьяловский сельсовет,2009,1.0
01611434,Завьяловский сельсовет,2010,1.0
01611434,Завьяловский сельсовет,2011,1.0
01611434,Завьяловский сельсовет,2012,1.0
01611434,Завьяловский сельсовет,2013,1.0
01611434,Завьяловский сельсовет,2014,1.0
01611434,Завьяловский сельсовет,2015,1.0
01611434,Завьяловский сельсовет,2016,1.0
01611434,Завьяловский сельсовет,2017,1.0
01612000,Залесовский муниципальный район,2007,1.0
01612000,Залесовский муниципальный район,2008,1.0
01612000,Залесовский муниципальный район,2009,1.0
01612000,Залесовский муниципальный район,2010,1.0
01612000,Залесовский муниципальный район,2011,1.0
01612000,Залесовский муниципальный район,2012,1.0
01612000,Залесовский муниципальный район,2013,1.0
01612000,Залесовский муниципальный район,2014,1.0
01612000,Залесовский муниципальный район,2015,1.0
01612000,Залесовский муниципальный район,2016,1.0
01612000,Залесовский муниципальный район,2017,1.0
01612426,Залесовский сельсовет,2007,1.0
01612426,Залесовский сельсовет,2008,1.0
01612426,Залесовский сельсовет,2009,1.0
01612426,Залесовский сельсовет,2010,1.0
01612426,Залесовский сельсовет,2011,1.0
01612426,Залесовский сельсовет,2012,1.0
01612426,Залесовский сельсовет,2013,1.0
01612426,Залесовский сельсовет,2014,1.0
01612426,Залесовский сельсовет,2015,1.0
01612426,Залесовский сельсовет,2016,1.0
01612426,Залесовский сельсовет,2017,1.0
01614000,Змеиногорский муниципальный район,2009,1.0
01614000,Змеиногорский муниципальный район,2010,1.0
01614000,Змеиногорский муниципальный район,2011,1.0
01614000,Змеиногорский муниципальный район,2012,1.0
01614000,Змеиногорский муниципальный район,2013,1.0
01614000,Змеиногорский муниципальный район,2014,1.0
01614000,Змеиногорский муниципальный район,2015,1.0
01614000,Змеиногорский муниципальный район,2016,1.0
01614000,Змеиногорский муниципальный район,2017,1.0
01614101,город Змеиногорск,2009,1.0
01614101,город Змеиногорск,2010,1.0
01614101,город Змеиногорск,2011,1.0
01614101,город Змеиногорск,2012,1.0
01614101,город Змеиногорск,2013,1.0
01614101,город Змеиногорск,2014,1.0
01614101,город Змеиногорск,2015,1.0
01614101,город Змеиногорск,2016,1.0
01614101,город Змеиногорск,2017,1.0
01615435,Кубанский сельсовет,2008,0.0
01615468,Обской сельсовет,2009,0.0
01616000,Каменский муниципальный район,2016,1.0
01616000,Каменский муниципальный район,2017,1.0
01616101,г Камень-на-Оби,2016,1.0
01616101,г Камень-на-Оби,2017,1.0
01617000,Ключевский муниципальный район,2007,1.0
01617000,Ключевский муниципальный район,2008,1.0
01617000,Ключевский муниципальный район,2009,1.0
01617000,Ключевский муниципальный район,2010,1.0
01617000,Ключевский муниципальный район,2011,1.0
01617000,Ключевский муниципальный район,2012,1.0
01617000,Ключевский муниципальный район,2013,1.0
01617000,Ключевский муниципальный район,2014,1.0
01617000,Ключевский муниципальный район,2015,1.0
01617000,Ключевский муниципальный район,2016,1.0
01617424,Ключевский сельсовет,2007,1.0
01617424,Ключевский сельсовет,2008,1.0
01617424,Ключевский сельсовет,2009,1.0
01617424,Ключевский сельсовет,2010,1.0
01617424,Ключевский сельсовет,2011,1.0
01617424,Ключевский сельсовет,2012,1.0
01617424,Ключевский сельсовет,2013,1.0
01617424,Ключевский сельсовет,2014,1.0
01617424,Ключевский сельсовет,2015,1.0
01617424,Ключевский сельсовет,2016,1.0
01618000,Косихинский муниципальный район,2007,2.0
01618000,Косихинский муниципальный район,2008,2.0
01618000,Косихинский муниципальный район,2009,2.0
01618000,Косихинский муниципальный район,2010,2.0
01618000,Косихинский муниципальный район,2011,2.0
01618000,Косихинский муниципальный район,2012,2.0
01618000,Косихинский муниципальный район,2013,2.0
