oktmo,name,year,naturesecure
01601000,Алейский муниципальный район,2008,0.0
01601000,Алейский муниципальный район,2009,0.0
01602000,Алтайский муниципальный район,2008,53.7
01602000,Алтайский муниципальный район,2009,77.6
01602000,Алтайский муниципальный район,2010,27.9
01602000,Алтайский муниципальный район,2011,60.8
01602000,Алтайский муниципальный район,2012,1322.0
01602000,Алтайский муниципальный район,2013,697.0
01602000,Алтайский муниципальный район,2014,783.0
01602000,Алтайский муниципальный район,2021,1084.0
01603000,Баевский муниципальный район,2008,0.0
01603000,Баевский муниципальный район,2009,0.0
01603000,Баевский муниципальный район,2010,0.0
01603000,Баевский муниципальный район,2012,7.0
01603000,Баевский муниципальный район,2013,0.0
01604000,Бийский муниципальный район,2008,800.2
01604000,Бийский муниципальный район,2009,570.1
01604000,Бийский муниципальный район,2010,945.9
01604000,Бийский муниципальный район,2011,915.4
01604000,Бийский муниципальный район,2012,1020.0
01604000,Бийский муниципальный район,2013,1915.0
01604000,Бийский муниципальный район,2014,3077.0
01604000,Бийский муниципальный район,2015,3103.0
01604000,Бийский муниципальный район,2016,4620.0
01604000,Бийский муниципальный район,2017,3284.0
01604000,Бийский муниципальный район,2018,468.0
01604000,Бийский муниципальный район,2019,649.0
01604000,Бийский муниципальный район,2020,979.0
01604000,Бийский муниципальный район,2021,739.0
01604000,Бийский муниципальный район,2022,998.0
01605000,Благовещенский муниципальный район,2008,12108.6
01605000,Благовещенский муниципальный район,2009,7675.1
01605000,Благовещенский муниципальный район,2010,15316.0
01605000,Благовещенский муниципальный район,2011,16302.4
01605000,Благовещенский муниципальный район,2012,6806.0
01605000,Благовещенский муниципальный район,2013,6222.0
01605000,Благовещенский муниципальный район,2014,13789.0
01605000,Благовещенский муниципальный район,2015,22895.0
01605000,Благовещенский муниципальный район,2016,20118.0
01605000,Благовещенский муниципальный район,2017,24320.0
01605000,Благовещенский муниципальный район,2018,24799.0
01605000,Благовещенский муниципальный район,2019,33470.0
01605000,Благовещенский муниципальный район,2020,31143.0
01605000,Благовещенский муниципальный район,2021,38936.0
01605000,Благовещенский муниципальный район,2022,35309.0
01606000,Бурлинский муниципальный район,2008,5.0
01606000,Бурлинский муниципальный район,2009,15.0
01606000,Бурлинский муниципальный район,2010,16.4
01606000,Бурлинский муниципальный район,2011,98.6
01606000,Бурлинский муниципальный район,2012,236.0
01606000,Бурлинский муниципальный район,2013,47.0
01606000,Бурлинский муниципальный район,2014,48.0
01607000,Быстроистокский муниципальный район,2008,51.6
01607000,Быстроистокский муниципальный район,2009,37.9
01607000,Быстроистокский муниципальный район,2010,52.0
01607000,Быстроистокский муниципальный район,2011,92.7
01607000,Быстроистокский муниципальный район,2012,57.0
01607000,Быстроистокский муниципальный район,2013,53.0
01607000,Быстроистокский муниципальный район,2014,43.0
01608000,Волчихинский муниципальный район,2008,573.3
01608000,Волчихинский муниципальный район,2009,649.4
01608000,Волчихинский муниципальный район,2010,1178.1
01608000,Волчихинский муниципальный район,2011,1305.2
01608000,Волчихинский муниципальный район,2012,1271.0
01608000,Волчихинский муниципальный район,2013,1121.0
01608000,Волчихинский муниципальный район,2014,1337.0
01608000,Волчихинский муниципальный район,2017,3582.0
01608000,Волчихинский муниципальный район,2019,2683.0
01608000,Волчихинский муниципальный район,2020,1565.0
01609000,Егорьевский муниципальный район,2008,0.0
01609000,Егорьевский муниципальный район,2009,0.0
01609000,Егорьевский муниципальный район,2010,0.0
01609000,Егорьевский муниципальный район,2013,0.0
01609000,Егорьевский муниципальный район,2014,0.0
01610000,Ельцовский муниципальный район,2008,0.0
01610000,Ельцовский муниципальный район,2009,0.0
01610000,Ельцовский муниципальный район,2010,0.0
01610000,Ельцовский муниципальный район,2013,0.0
01610000,Ельцовский муниципальный район,2014,0.0
01611000,Завьяловский муниципальный район,2008,479.1
01611000,Завьяловский муниципальный район,2009,476.5
01611000,Завьяловский муниципальный район,2010,400.0
