oktmo,name,year,parks
1605151,Благовещенский поссовет,2007,0.0
1615427,Калманский сельсовет,2008,0.0
1616000,Каменский муниципальный район,2016,1.0
1616000,Каменский муниципальный район,2017,1.0
1616101,г Камень-на-Оби,2016,1.0
1616101,г Камень-на-Оби,2017,1.0
1622000,Кулундинский муниципальный район,2009,1.0
1622000,Кулундинский муниципальный район,2010,1.0
1622000,Кулундинский муниципальный район,2011,1.0
1622000,Кулундинский муниципальный район,2012,1.0
1622000,Кулундинский муниципальный район,2013,1.0
1622000,Кулундинский муниципальный район,2014,1.0
1622000,Кулундинский муниципальный район,2015,1.0
1622000,Кулундинский муниципальный район,2016,1.0
1622000,Кулундинский муниципальный район,2017,1.0
1622460,Кулундинский сельсовет,2009,1.0
1622460,Кулундинский сельсовет,2010,1.0
1622460,Кулундинский сельсовет,2011,1.0
1622460,Кулундинский сельсовет,2012,1.0
1622460,Кулундинский сельсовет,2013,1.0
1622460,Кулундинский сельсовет,2014,1.0
1622460,Кулундинский сельсовет,2015,1.0
1622460,Кулундинский сельсовет,2016,1.0
1622460,Кулундинский сельсовет,2017,1.0
1626000,Мамонтовский муниципальный район,2007,1.0
1626000,Мамонтовский муниципальный район,2008,1.0
1626000,Мамонтовский муниципальный район,2009,1.0
1626000,Мамонтовский муниципальный район,2010,1.0
1626000,Мамонтовский муниципальный район,2011,1.0
1626000,Мамонтовский муниципальный район,2012,1.0
1626000,Мамонтовский муниципальный район,2013,1.0
1626000,Мамонтовский муниципальный район,2014,1.0
1626000,Мамонтовский муниципальный район,2015,1.0
1626000,Мамонтовский муниципальный район,2016,1.0
1626000,Мамонтовский муниципальный район,2017,1.0
1626449,Мамонтовский сельсовет,2007,1.0
1626449,Мамонтовский сельсовет,2008,1.0
1626449,Мамонтовский сельсовет,2009,1.0
1626449,Мамонтовский сельсовет,2010,1.0
1626449,Мамонтовский сельсовет,2011,1.0
1626449,Мамонтовский сельсовет,2012,1.0
1626449,Мамонтовский сельсовет,2013,1.0
1626449,Мамонтовский сельсовет,2014,1.0
1626449,Мамонтовский сельсовет,2015,1.0
1626449,Мамонтовский сельсовет,2016,1.0
1626449,Мамонтовский сельсовет,2017,1.0
1631000,Панкрушихинский муниципальный район,2015,1.0
1631456,Панкрушихинский сельсовет,2015,1.0
1636480,Центральный сельсовет,2008,0.0
1652000,Тюменцевский муниципальный район,2014,1.0
1652000,Тюменцевский муниципальный район,2015,1.0
1652000,Тюменцевский муниципальный район,2016,1.0
1652000,Тюменцевский муниципальный район,2017,1.0
1652458,Тюменцевский сельсовет,2014,1.0
1652458,Тюменцевский сельсовет,2015,1.0
1652458,Тюменцевский сельсовет,2016,1.0
1652458,Тюменцевский сельсовет,2017,1.0
1659000,Шипуновский муниципальный район,2009,1.0
1659000,Шипуновский муниципальный район,2010,1.0
1659000,Шипуновский муниципальный район,2011,1.0
1659000,Шипуновский муниципальный район,2012,1.0
1659000,Шипуновский муниципальный район,2013,1.0
1659000,Шипуновский муниципальный район,2014,1.0
1659000,Шипуновский муниципальный район,2015,1.0
1659000,Шипуновский муниципальный район,2016,1.0
1659000,Шипуновский муниципальный район,2017,1.0
1659495,Шипуновский сельсовет,2009,1.0
1659495,Шипуновский сельсовет,2010,1.0
1659495,Шипуновский сельсовет,2011,1.0
1659495,Шипуновский сельсовет,2012,1.0
1659495,Шипуновский сельсовет,2013,1.0
1659495,Шипуновский сельсовет,2014,1.0
1659495,Шипуновский сельсовет,2015,1.0
1659495,Шипуновский сельсовет,2016,1.0
1659495,Шипуновский сельсовет,2017,1.0
1701000,город Барнаул,2007,7.0
1701000,город Барнаул,2008,7.0
1701000,город Барнаул,2009,7.0
1701000,город Барнаул,2010,7.0
1701000,город Барнаул,2011,7.0
1701000,город Барнаул,2012,7.0
1701000,город Барнаул,2013,7.0
1701000,город Барнаул,2014,7.0
1701000,город Барнаул,2015,7.0
1701000,город Барнаул,2016,7.0
1701000,город Барнаул,2017,8.0
1703000,город Алейск,2007,1.0
1703000,город Алейск,2008,1.0
1703000,город Алейск,2009,1.0
1703000,город Алейск,2010,1.0
1703000,город Алейск,2011,1.0
1705000,город Бийск,2007,1.0
1705000,город Бийск,2008,2.0
1705000,город Бийск,2010,2.0
1705000,город Бийск,2011,2.0
1705000,город Бийск,2012,2.0
1705000,город Бийск,2013,2.0
1705000,город Бийск,2014,2.0
1705000,город Бийск,2015,2.0
1705000,город Бийск,2016,2.0
1705000,город Бийск,2017,2.0
1710000,город Камень-на-Оби,2007,1.0
1710000,город Камень-на-Оби,2008,1.0
1710000,город Камень-на-Оби,2009,1.0
1710000,город Камень-на-Оби,2010,1.0
1710000,город Камень-на-Оби,2011,1.0
1710000,город Камень-на-Оби,2012,1.0
1710000,город Камень-на-Оби,2013,1.0
1710000,город Камень-на-Оби,2014,1.0
1710000,город Камень-на-Оби,2015,1.0
1713000,город Новоалтайск,2007,1.0
1713000,город Новоалтайск,2008,1.0
1713000,город Новоалтайск,2009,1.0
1713000,город Новоалтайск,2010,1.0
1713000,город Новоалтайск,2011,1.0
1713000,город Новоалтайск,2012,1.0
1713000,город Новоалтайск,2013,1.0
1713000,город Новоалтайск,2014,1.0
1713000,город Новоалтайск,2015,1.0
1716000,город Рубцовск,2007,1.0
1716000,город Рубцовск,2008,1.0
1716000,город Рубцовск,2009,1.0
1716000,город Рубцовск,2010,1.0
1716000,город Рубцовск,2011,1.0
1716000,город Рубцовск,2012,1.0
1716000,город Рубцовск,2013,1.0
1716000,город Рубцовск,2014,1.0
1716000,город Рубцовск,2015,1.0
1716000,город Рубцовск,2016,2.0
1716000,город Рубцовск,2017,2.0
1719000,город Славгород,2007,1.0
1719000,город Славгород,2008,1.0
1719000,город Славгород,2009,1.0
1719000,город Славгород,2010,1.0
1719000,город Славгород,2011,1.0
1719000,город Славгород,2012,1.0
1719000,город Славгород,2013,1.0
1719000,город Славгород,2014,1.0
1719000,город Славгород,2015,1.0
1719000,город Славгород,2016,1.0
1719000,город Славгород,2017,1.0
1730000,город Яровое,2007,1.0
1730000,город Яровое,2008,1.0
1730000,город Яровое,2009,1.0
