oktmo,name,year,retailturnover
1601000,Алейский муниципальный район,2011,24822.0
1601000,Алейский муниципальный район,2012,190985.3
1602000,Алтайский муниципальный район,2009,204224.0
1602000,Алтайский муниципальный район,2010,270710.0
1602000,Алтайский муниципальный район,2011,281018.8
1602000,Алтайский муниципальный район,2012,399974.9
1602000,Алтайский муниципальный район,2013,476180.0
1602000,Алтайский муниципальный район,2014,571180.0
1602000,Алтайский муниципальный район,2015,552466.0
1602000,Алтайский муниципальный район,2016,665217.0
1603000,Баевский муниципальный район,2009,5331.0
1603000,Баевский муниципальный район,2010,0.0
1603000,Баевский муниципальный район,2012,55532.6
1603000,Баевский муниципальный район,2013,91466.6
1603000,Баевский муниципальный район,2014,96570.1
1603000,Баевский муниципальный район,2015,116040.8
1603000,Баевский муниципальный район,2016,129299.1
1604000,Бийский муниципальный район,2009,66306.0
1604000,Бийский муниципальный район,2010,106225.0
1604000,Бийский муниципальный район,2011,153118.0
1604000,Бийский муниципальный район,2012,159831.0
1604000,Бийский муниципальный район,2013,238292.0
1604000,Бийский муниципальный район,2015,379884.0
1604000,Бийский муниципальный район,2016,385597.0
1605000,Благовещенский муниципальный район,2009,99915.0
1605000,Благовещенский муниципальный район,2010,62992.4
1605000,Благовещенский муниципальный район,2011,200526.6
1605000,Благовещенский муниципальный район,2012,264010.5
1605000,Благовещенский муниципальный район,2013,402887.0
1605000,Благовещенский муниципальный район,2014,423672.0
1605000,Благовещенский муниципальный район,2015,472585.0
1605000,Благовещенский муниципальный район,2016,593335.6
1606000,Бурлинский муниципальный район,2009,45100.0
1606000,Бурлинский муниципальный район,2010,58065.0
1606000,Бурлинский муниципальный район,2011,21482.1
1606000,Бурлинский муниципальный район,2012,61409.0
1606000,Бурлинский муниципальный район,2015,106908.0
1607000,Быстроистокский муниципальный район,2009,11941.0
1607000,Быстроистокский муниципальный район,2010,9883.0
1607000,Быстроистокский муниципальный район,2011,7493.0
1607000,Быстроистокский муниципальный район,2012,44088.9
1607000,Быстроистокский муниципальный район,2013,67705.0
1607000,Быстроистокский муниципальный район,2014,73446.0
1607000,Быстроистокский муниципальный район,2015,96723.0
1608000,Волчихинский муниципальный район,2009,5720.0
1608000,Волчихинский муниципальный район,2010,8900.0
1608000,Волчихинский муниципальный район,2011,63269.0
1608000,Волчихинский муниципальный район,2012,100007.8
1608000,Волчихинский муниципальный район,2013,159314.1
1608000,Волчихинский муниципальный район,2014,211310.0
1608000,Волчихинский муниципальный район,2015,204363.0
1608000,Волчихинский муниципальный район,2016,327333.8
1609000,Егорьевский муниципальный район,2009,110122.4
1609000,Егорьевский муниципальный район,2010,125658.0
1609000,Егорьевский муниципальный район,2011,4164.0
1609000,Егорьевский муниципальный район,2012,28753.1
1609000,Егорьевский муниципальный район,2015,237041.0
1609000,Егорьевский муниципальный район,2016,255830.0
1610000,Ельцовский муниципальный район,2009,4040.0
1610000,Ельцовский муниципальный район,2010,4604.0
1610000,Ельцовский муниципальный район,2011,4288.0
1610000,Ельцовский муниципальный район,2012,55210.8
1610000,Ельцовский муниципальный район,2013,85896.0
1610000,Ельцовский муниципальный район,2014,82685.0
1610000,Ельцовский муниципальный район,2015,95307.0
1611000,Завьяловский муниципальный район,2009,49256.0
1611000,Завьяловский муниципальный район,2010,132179.9
1611000,Завьяловский муниципальный район,2011,162399.6
1611000,Завьяловский муниципальный район,2012,216005.2
1611000,Завьяловский муниципальный район,2013,252433.0
1611000,Завьяловский муниципальный район,2014,327583.0
1611000,Завьяловский муниципальный район,2015,346900.0
1611000,Завьяловский муниципальный район,2016,353977.0
1612000,Залесовский муниципальный район,2009,2524.0
1612000,Залесовский муниципальный район,2010,0.0
1612000,Залесовский муниципальный район,2011,17235.0
1612000,Залесовский муниципальный район,2012,74000.5
1612000,Залесовский муниципальный район,2013,118891.0
1612000,Залесовский муниципальный район,2014,147576.0
1612000,Залесовский муниципальный район,2015,183316.0
1612000,Залесовский муниципальный район,2016,191752.0
1613000,Заринский муниципальный район,2009,54220.0
1613000,Заринский муниципальный район,2010,62110.0
1613000,Заринский муниципальный район,2012,5401.0
1614000,Змеиногорский муниципальный район,2009,20681.9
1614000,Змеиногорский муниципальный район,2010,21314.3
1614000,Змеиногорский муниципальный район,2011,75542.9
1614000,Змеиногорский муниципальный район,2012,212684.8
1614000,Змеиногорский муниципальный район,2013,224761.4
1614000,Змеиногорский муниципальный район,2014,265614.1
1614000,Змеиногорский муниципальный район,2015,355282.5
1614000,Змеиногорский муниципальный район,2016,482682.9
1615000,Калманский муниципальный район,2009,22861.0
1615000,Калманский муниципальный район,2010,57405.6
1615000,Калманский муниципальный район,2011,69522.0
1615000,Калманский муниципальный район,2012,85089.0
1615000,Калманский муниципальный район,2013,92958.0
1615000,Калманский муниципальный район,2015,111607.0
1616000,Каменский муниципальный район,2009,20899.0
1616000,Каменский муниципальный район,2010,20388.0
1616000,Каменский муниципальный район,2011,18076.0
1616000,Каменский муниципальный район,2012,16255.0
1616000,Каменский муниципальный район,2013,12202.0
1616000,Каменский муниципальный район,2016,1504722.7
1617000,Ключевский муниципальный район,2009,154612.0
1617000,Ключевский муниципальный район,2010,207708.9
1617000,Ключевский муниципальный район,2011,301516.6
1617000,Ключевский муниципальный район,2012,401924.0
1617000,Ключевский муниципальный район,2013,344631.7
1617000,Ключевский муниципальный район,2014,436660.1
1617000,Ключевский муниципальный район,2015,329356.0
1617000,Ключевский муниципальный район,2016,323461.0
1618000,Косихинский муниципальный район,2009,6023.0
1618000,Косихинский муниципальный район,2010,18404.0
1618000,Косихинский муниципальный район,2011,52271.0
1618000,Косихинский муниципальный район,2012,83240.3
1618000,Косихинский муниципальный район,2013,189253.0
1618000,Косихинский муниципальный район,2014,239747.0
1618000,Косихинский муниципальный район,2015,291654.0
1618000,Косихинский муниципальный район,2016,276405.0
1619000,Красногорский муниципальный район,2009,59340.6
1619000,Красногорский муниципальный район,2010,69964.0
1619000,Красногорский муниципальный район,2011,79555.0
1619000,Красногорский муниципальный район,2012,90331.8
1619000,Красногорский муниципальный район,2013,126058.0
1619000,Красногорский муниципальный район,2014,144137.0
1619000,Красногорский муниципальный район,2015,177942.0
1619000,Красногорский муниципальный район,2016,182014.0
1620000,Краснощёковский муниципальный район,2009,105587.3
1620000,Краснощёковский муниципальный район,2010,127763.5
1620000,Краснощёковский муниципальный район,2011,173312.1
1620000,Краснощёковский муниципальный район,2012,196987.4
1620000,Краснощёковский муниципальный район,2013,212212.3
1620000,Краснощёковский муниципальный район,2014,261357.5
1620000,Краснощёковский муниципальный район,2015,307460.3
1620000,Краснощёковский муниципальный район,2016,378734.6
1621000,Крутихинский муниципальный район,2009,14751.0
1621000,Крутихинский муниципальный район,2010,15727.0
1621000,Крутихинский муниципальный район,2011,16835.0
1621000,Крутихинский муниципальный район,2012,27604.1
1621000,Крутихинский муниципальный район,2013,95611.0
1621000,Крутихинский муниципальный район,2014,109145.0
1621000,Крутихинский муниципальный район,2015,130380.0
1621000,Крутихинский муниципальный район,2016,149415.0
1622000,Кулундинский муниципальный район,2009,103322.0
1622000,Кулундинский муниципальный район,2010,152687.9
1622000,Кулундинский муниципальный район,2011,192373.5
1622000,Кулундинский муниципальный район,2012,294776.6
1622000,Кулундинский муниципальный район,2013,321838.0
1622000,Кулундинский муниципальный район,2014,392690.0
1622000,Кулундинский муниципальный район,2015,490643.0
1622000,Кулундинский муниципальный район,2016,499747.0
1623000,Курьинский муниципальный район,2009,10850.0
1623000,Курьинский муниципальный район,2010,18363.0
1623000,Курьинский муниципальный район,2011,47169.0
1623000,Курьинский муниципальный район,2012,59462.9
1623000,Курьинский муниципальный район,2013,82421.0
1623000,Курьинский муниципальный район,2014,109066.0
1623000,Курьинский муниципальный район,2015,111186.0
1623000,Курьинский муниципальный район,2016,193024.1
1624000,Кытмановский муниципальный район,2009,10049.0
1624000,Кытмановский муниципальный район,2010,9190.0
1624000,Кытмановский муниципальный район,2011,7801.0
1624000,Кытмановский муниципальный район,2012,95285.4
1624000,Кытмановский муниципальный район,2013,101330.0
1624000,Кытмановский муниципальный район,2014,90484.0
1624000,Кытмановский муниципальный район,2015,101711.0
1625000,Локтевский муниципальный район,2009,42878.2
1625000,Локтевский муниципальный район,2010,83343.1
1625000,Локтевский муниципальный район,2011,125031.9
1625000,Локтевский муниципальный район,2012,136002.0
1625000,Локтевский муниципальный район,2013,160998.0
1625000,Локтевский муниципальный район,2014,273625.0
1625000,Локтевский муниципальный район,2015,352665.0
1625000,Локтевский муниципальный район,2016,625278.5
1626000,Мамонтовский муниципальный район,2009,174954.0
1626000,Мамонтовский муниципальный район,2010,266015.0
1626000,Мамонтовский муниципальный район,2011,183601.2
1626000,Мамонтовский муниципальный район,2012,232934.8
1626000,Мамонтовский муниципальный район,2013,137378.0
1626000,Мамонтовский муниципальный район,2014,167909.0
1626000,Мамонтовский муниципальный район,2015,234833.0
1626000,Мамонтовский муниципальный район,2016,317428.0
1627000,Михайловский муниципальный район,2009,79828.0
1627000,Михайловский муниципальный район,2010,134223.0
1627000,Михайловский муниципальный район,2011,100359.8
1627000,Михайловский муниципальный район,2012,153354.4
1627000,Михайловский муниципальный район,2013,198356.0
1627000,Михайловский муниципальный район,2014,247739.0
1627000,Михайловский муниципальный район,2015,275909.0
1627000,Михайловский муниципальный район,2016,328006.7
1628000,Новичихинский муниципальный район,2009,1210.0
1628000,Новичихинский муниципальный район,2010,20319.0
1628000,Новичихинский муниципальный район,2011,30848.0
1628000,Новичихинский муниципальный район,2012,48711.5
1628000,Новичихинский муниципальный район,2013,85757.0
1628000,Новичихинский муниципальный район,2014,98769.0
1628000,Новичихинский муниципальный район,2015,112504.0
1628000,Новичихинский муниципальный район,2016,123010.0
1629000,Зональный муниципальный район,2009,34445.0
1629000,Зональный муниципальный район,2010,57342.0
1629000,Зональный муниципальный район,2011,91380.7
1629000,Зональный муниципальный район,2012,146419.1
1629000,Зональный муниципальный район,2013,170097.5
1629000,Зональный муниципальный район,2014,206395.0
1629000,Зональный муниципальный район,2015,245222.0
1629000,Зональный муниципальный район,2016,269930.7
1630000,Павловский муниципальный район,2009,94661.0
1630000,Павловский муниципальный район,2010,190892.1
1630000,Павловский муниципальный район,2011,284490.0
1630000,Павловский муниципальный район,2012,550546.8
1630000,Павловский муниципальный район,2013,601934.4
1630000,Павловский муниципальный район,2014,702214.6
1630000,Павловский муниципальный район,2015,787499.7
1630000,Павловский муниципальный район,2016,1016570.2
1631000,Панкрушихинский муниципальный район,2009,17642.0
1631000,Панкрушихинский муниципальный район,2010,19019.0
1631000,Панкрушихинский муниципальный район,2011,19278.0
1631000,Панкрушихинский муниципальный район,2012,21187.0
1631000,Панкрушихинский муниципальный район,2013,66136.0
1631000,Панкрушихинский муниципальный район,2014,119337.0
1631000,Панкрушихинский муниципальный район,2015,154619.0
1632000,Первомайский муниципальный район,2009,22970.0
1632000,Первомайский муниципальный район,2010,65466.1
1632000,Первомайский муниципальный район,2011,81798.0
1632000,Первомайский муниципальный район,2012,236009.2
1632000,Первомайский муниципальный район,2013,549540.4
1632000,Первомайский муниципальный район,2014,727707.0
1632000,Первомайский муниципальный район,2015,962936.0
1632000,Первомайский муниципальный район,2016,1012247.0
1633000,Петропавловский муниципальный район,2009,13021.0
1633000,Петропавловский муниципальный район,2010,13561.0
1633000,Петропавловский муниципальный район,2011,15681.0
1633000,Петропавловский муниципальный район,2012,18770.0
1633000,Петропавловский муниципальный район,2015,145027.0
1633000,Петропавловский муниципальный район,2016,155483.0
1634000,Поспелихинский муниципальный район,2009,280631.0
1634000,Поспелихинский муниципальный район,2010,336580.4
1634000,Поспелихинский муниципальный район,2011,318811.3
1634000,Поспелихинский муниципальный район,2012,374661.0
1634000,Поспелихинский муниципальный район,2013,356157.0
1634000,Поспелихинский муниципальный район,2014,371400.0
1634000,Поспелихинский муниципальный район,2015,430250.0
1634000,Поспелихинский муниципальный район,2016,631961.9
1635000,Ребрихинский муниципальный район,2009,62592.9
1635000,Ребрихинский муниципальный район,2010,114493.0
1635000,Ребрихинский муниципальный район,2011,155387.7
1635000,Ребрихинский муниципальный район,2012,190730.8
1635000,Ребрихинский муниципальный район,2013,203297.6
1635000,Ребрихинский муниципальный район,2014,237699.8
1635000,Ребрихинский муниципальный район,2015,315024.9
1635000,Ребрихинский муниципальный район,2016,354189.8
1636000,Родинский муниципальный район,2009,126916.0
1636000,Родинский муниципальный район,2010,135349.7
1636000,Родинский муниципальный район,2011,158918.8
1636000,Родинский муниципальный район,2012,238387.9
1636000,Родинский муниципальный район,2013,272586.0
1636000,Родинский муниципальный район,2014,295545.0
1636000,Родинский муниципальный район,2015,332423.0
1636000,Родинский муниципальный район,2016,366498.0
1637000,Романовский муниципальный район,2009,138157.0
1637000,Романовский муниципальный район,2010,153954.0
1637000,Романовский муниципальный район,2011,173229.0
1637000,Романовский муниципальный район,2012,85331.0
1637000,Романовский муниципальный район,2013,92871.0
1637000,Романовский муниципальный район,2014,109588.0
1637000,Романовский муниципальный район,2015,236216.1
1637000,Романовский муниципальный район,2016,226589.2
1638000,Рубцовский муниципальный район,2012,2766.0
1638000,Рубцовский муниципальный район,2013,27703.0
1638000,Рубцовский муниципальный район,2014,58112.0
1638000,Рубцовский муниципальный район,2015,74015.0
1638000,Рубцовский муниципальный район,2016,111334.2
1640000,Смоленский муниципальный район,2009,82094.0
1640000,Смоленский муниципальный район,2010,101681.4
1640000,Смоленский муниципальный район,2011,112034.8
1640000,Смоленский муниципальный район,2012,148069.5
1640000,Смоленский муниципальный район,2013,141830.0
1640000,Смоленский муниципальный район,2014,212899.0
1640000,Смоленский муниципальный район,2015,334471.0
1640000,Смоленский муниципальный район,2016,375713.0
1641000,Суетский муниципальный район,2009,963.0
1641000,Суетский муниципальный район,2010,358.0
1641000,Суетский муниципальный район,2011,0.0
1641000,Суетский муниципальный район,2012,1572.0
1642000,Советский муниципальный район,2009,56129.5
1642000,Советский муниципальный район,2010,69232.0
1642000,Советский муниципальный район,2011,84802.8
1642000,Советский муниципальный район,2012,105571.1
1642000,Советский муниципальный район,2013,120616.0
1642000,Советский муниципальный район,2014,132433.0
1642000,Советский муниципальный район,2015,153561.0
1642000,Советский муниципальный район,2016,165778.0
1643000,Солонешенский муниципальный район,2009,29437.3
1643000,Солонешенский муниципальный район,2010,13692.0
1643000,Солонешенский муниципальный район,2011,14670.0
1643000,Солонешенский муниципальный район,2012,18144.0
1643000,Солонешенский муниципальный район,2015,131395.0
1644000,Солтонский муниципальный район,2009,25494.0
1644000,Солтонский муниципальный район,2010,32251.0
1644000,Солтонский муниципальный район,2011,36718.0
1644000,Солтонский муниципальный район,2012,43446.0
1644000,Солтонский муниципальный район,2015,106415.0
1645000,Шелаболихинский муниципальный район,2009,156568.0
1645000,Шелаболихинский муниципальный район,2010,185737.0
1645000,Шелаболихинский муниципальный район,2012,20384.3
1646000,Табунский муниципальный район,2009,14644.0
1646000,Табунский муниципальный район,2010,13426.0
1646000,Табунский муниципальный район,2011,15519.0
1646000,Табунский муниципальный район,2012,11796.0
1646000,Табунский муниципальный район,2014,86202.0
1646000,Табунский муниципальный район,2015,107632.0
1647000,Тальменский муниципальный район,2009,145945.2
1647000,Тальменский муниципальный район,2010,177364.1
1647000,Тальменский муниципальный район,2011,237216.9
1647000,Тальменский муниципальный район,2012,357435.5
1647000,Тальменский муниципальный район,2013,519093.8
1647000,Тальменский муниципальный район,2014,604593.0
1647000,Тальменский муниципальный район,2015,637066.0
1647000,Тальменский муниципальный район,2016,887087.0
1648000,Тогульский муниципальный район,2009,10001.0
1648000,Тогульский муниципальный район,2010,13101.0
1648000,Тогульский муниципальный район,2011,13597.0
1648000,Тогульский муниципальный район,2012,84948.3
1648000,Тогульский муниципальный район,2013,108745.0
1648000,Тогульский муниципальный район,2014,128154.0
1648000,Тогульский муниципальный район,2015,144172.0
1648000,Тогульский муниципальный район,2016,146720.0
1649000,Топчихинский муниципальный район,2009,125150.0
1649000,Топчихинский муниципальный район,2010,154271.8
1649000,Топчихинский муниципальный район,2011,173817.1
1649000,Топчихинский муниципальный район,2012,239121.1
1649000,Топчихинский муниципальный район,2013,231346.0
1649000,Топчихинский муниципальный район,2014,316368.0
1649000,Топчихинский муниципальный район,2015,444147.0
1649000,Топчихинский муниципальный район,2016,483005.0
1650000,Третьяковский муниципальный район,2009,5719.0
1650000,Третьяковский муниципальный район,2010,7565.0
1650000,Третьяковский муниципальный район,2011,4824.0
1650000,Третьяковский муниципальный район,2012,9741.0
1650000,Третьяковский муниципальный район,2013,79770.0
1650000,Третьяковский муниципальный район,2014,103614.0
1650000,Третьяковский муниципальный район,2015,119443.0
1650000,Третьяковский муниципальный район,2016,214300.2
1651000,Троицкий муниципальный район,2009,95765.5
1651000,Троицкий муниципальный район,2010,144325.6
1651000,Троицкий муниципальный район,2011,167005.6
1651000,Троицкий муниципальный район,2012,219338.2
1651000,Троицкий муниципальный район,2013,227374.0
1651000,Троицкий муниципальный район,2014,215723.0
1651000,Троицкий муниципальный район,2015,242790.0
1651000,Троицкий муниципальный район,2016,278115.0
1652000,Тюменцевский муниципальный район,2009,21520.1
1652000,Тюменцевский муниципальный район,2010,62329.3
1652000,Тюменцевский муниципальный район,2011,66188.0
1652000,Тюменцевский муниципальный район,2012,74718.8
1652000,Тюменцевский муниципальный район,2013,88212.7
1652000,Тюменцевский муниципальный район,2014,117716.5
1652000,Тюменцевский муниципальный район,2015,177469.2
1652000,Тюменцевский муниципальный район,2016,208208.1
