name,year,inflow
Залесовский муниципальный округ,2022,420.0
Алейский муниципальный район,2022,491.0
Алейский сельсовет,2022,53.0
Безголосовский сельсовет,2022,13.0
Большепанюшевский сельсовет,2022,13.0
Боровской сельсовет,2022,25.0
Дружбинский сельсовет,2022,47.0
Дубровский сельсовет,2022,15.0
Заветильичёвский сельсовет,2022,63.0
Кашинский сельсовет,2022,46.0
Кировский сельсовет,2022,23.0
Краснопартизанский сельсовет,2022,8.0
Малиновский сельсовет,2022,9.0
Моховской сельсовет,2022,20.0
Осколковский сельсовет,2022,12.0
Плотавский сельсовет,2022,12.0
Савинский сельсовет,2022,11.0
Совхозный сельсовет,2022,25.0
Урюпинский сельсовет,2022,47.0
Фрунзенский сельсовет,2022,33.0
Чапаевский сельсовет,2022,16.0
Алтайский муниципальный район,2022,1007.0
Айский сельсовет,2022,130.0
Алтайский сельсовет,2022,571.0
Беловский сельсовет,2022,19.0
Куяганский сельсовет,2022,35.0
Куячинский сельсовет,2022,18.0
Макарьевский сельсовет,2022,15.0
Нижнекаменский сельсовет,2022,68.0
Пролетарский сельсовет,2022,53.0
Россошинский сельсовет,2022,32.0
Старобелокурихинский сельсовет,2022,66.0
Баевский муниципальный район,2022,148.0
Баевский сельсовет,2022,74.0
Верх-Пайвинский сельсовет,2022,6.0
Верх-Чуманский сельсовет,2022,13.0
Нижнечуманский сельсовет,2022,29.0
Паклинский сельсовет,2022,6.0
Плотавский сельсовет,2022,7.0
Прослаухинский сельсовет,2022,6.0
Ситниковский сельсовет,2022,7.0
Бийский муниципальный район,2022,875.0
Большеугреневский сельсовет,2022,27.0
Верх-Бехтемирский сельсовет,2022,25.0
Верх-Катунский сельсовет,2022,100.0
Енисейский сельсовет,2022,40.0
Заринский сельсовет,2022,35.0
Калининский сельсовет,2022,19.0
Лесной сельсовет,2022,67.0
Малоенисейский сельсовет,2022,99.0
Малоугреневский сельсовет,2022,54.0
Новиковский сельсовет,2022,28.0
Первомайский сельсовет,2022,146.0
Светлоозёрский сельсовет,2022,53.0
Сростинский сельсовет,2022,74.0
Усятский сельсовет,2022,47.0
