oktmo,name,year,inflow
1601000,Алейский муниципальный район,2017,858.0
1601402,Алейский сельсовет,2017,106.0
1601408,Безголосовский сельсовет,2017,13.0
1601413,Большепанюшевский сельсовет,2017,24.0
1601417,Боровской сельсовет,2017,59.0
1601420,Дружбинский сельсовет,2017,54.0
1601423,Дубровский сельсовет,2017,19.0
1601426,Заветильичёвский сельсовет,2017,91.0
1601432,Кашинский сельсовет,2017,59.0
1601438,Кировский сельсовет,2017,37.0
1601440,Краснопартизанский сельсовет,2017,29.0
1601460,Малиновский сельсовет,2017,13.0
1601464,Моховской сельсовет,2017,42.0
1601468,Осколковский сельсовет,2017,27.0
1601473,Плотавский сельсовет,2017,35.0
1601475,Савинский сельсовет,2017,8.0
1601477,Совхозный сельсовет,2017,57.0
1601485,Урюпинский сельсовет,2017,85.0
1601496,Фрунзенский сельсовет,2017,60.0
1601498,Чапаевский сельсовет,2017,40.0
1602000,Алтайский муниципальный район,2017,791.0
1602405,Айский сельсовет,2017,119.0
1602407,Алтайский сельсовет,2017,402.0
1602412,Беловский сельсовет,2017,10.0
1602423,Куяганский сельсовет,2017,22.0
1602427,Куячинский сельсовет,2017,15.0
1602435,Макарьевский сельсовет,2017,19.0
1602446,Нижнекаменский сельсовет,2017,74.0
1602457,Пролетарский сельсовет,2017,39.0
1602468,Россошинский сельсовет,2017,28.0
1602479,Старобелокурихинский сельсовет,2017,63.0
1603000,Баевский муниципальный район,2017,245.0
1603407,Баевский сельсовет,2017,119.0
1603416,Верх-Пайвинский сельсовет,2017,9.0
1603419,Верх-Чуманский сельсовет,2017,22.0
1603437,Нижнечуманский сельсовет,2017,42.0
1603455,Паклинский сельсовет,2017,15.0
1603458,Плотавский сельсовет,2017,17.0
1603469,Прослаухинский сельсовет,2017,12.0
1603480,Ситниковский сельсовет,2017,9.0
1604000,Бийский муниципальный район,2017,797.0
1604410,Большеугреневский сельсовет,2017,27.0
1604415,Верх-Бехтемирский сельсовет,2017,24.0
1604417,Верх-Катунский сельсовет,2017,74.0
1604422,Енисейский сельсовет,2017,32.0
1604424,Заринский сельсовет,2017,37.0
1604434,Калининский сельсовет,2017,24.0
1604437,Лесной сельсовет,2017,51.0
1604455,Малоенисейский сельсовет,2017,68.0
1604459,Малоугреневский сельсовет,2017,68.0
1604464,Новиковский сельсовет,2017,26.0
1604470,Первомайский сельсовет,2017,131.0
1604480,Светлоозёрский сельсовет,2017,53.0
1604483,Сростинский сельсовет,2017,77.0
1604488,Усятский сельсовет,2017,53.0
1604495,Шебалинский сельсовет,2017,52.0
1605000,Благовещенский муниципальный район,2017,1155.0
1605151,Благовещенский поссовет,2017,443.0
1605157,Степноозёрский поссовет,2017,243.0
1605406,Алексеевский сельсовет,2017,37.0
1605420,Гляденьский сельсовет,2017,64.0
1605436,Леньковский сельсовет,2017,98.0
1605447,Нижнекучукский сельсовет,2017,33.0
1605452,Николаевский сельсовет,2017,53.0
1605456,Новокулундинский сельсовет,2017,32.0
1605458,Орлеанский сельсовет,2017,31.0
1605461,Суворовский сельсовет,2017,37.0
1605483,Шимолинский сельсовет,2017,44.0
1605494,Яготинский сельсовет,2017,40.0
1606000,Бурлинский муниципальный район,2017,537.0
1606411,Бурлинский сельсовет,2017,233.0
1606422,Михайловский сельсовет,2017,65.0
1606430,Новоандреевский сельсовет,2017,6.0
1606433,Новопесчанский сельсовет,2017,17.0
1606444,Новосельский сельсовет,2017,52.0
1606455,Ореховский сельсовет,2017,22.0
1606466,Партизанский сельсовет,2017,57.0
1606470,Рожковский сельсовет,2017,36.0
1606477,Устьянский сельсовет,2017,49.0
1607000,Быстроистокский муниципальный район,2017,305.0
1607403,Акутихинский сельсовет,2017,43.0
1607405,Быстроистокский сельсовет,2017,112.0
1607411,Верх-Ануйский сельсовет,2017,43.0
1607422,Верх-Озёрнинский сельсовет,2017,26.0
1607433,Новопокровский сельсовет,2017,20.0
1607437,Приобский сельсовет,2017,26.0
1607444,Усть-Ануйский сельсовет,2017,5.0
1607455,Хлеборобный сельсовет,2017,30.0
1608000,Волчихинский муниципальный район,2017,265.0
1608410,Берёзовский сельсовет,2017,5.0
1608414,Бор-Форпостовский сельсовет,2017,8.0
1608421,Волчихинский сельсовет,2017,154.0
1608423,Востровский сельсовет,2017,45.0
1608430,Коминтерновский сельсовет,2017,1.0
1608434,Малышево-Логовской сельсовет,2017,9.0
1608445,Новокормихинский сельсовет,2017,7.0
1608456,Пятковологовской сельсовет,2017,3.0
1608467,Селивёрстовский сельсовет,2017,9.0
1608478,Солоновский сельсовет,2017,14.0
1608489,Усть-Волчихинский сельсовет,2017,10.0
1609000,Егорьевский муниципальный район,2017,613.0
1609411,Кругло-Семенцовский сельсовет,2017,28.0
1609422,Лебяжинский сельсовет,2017,86.0
1609428,Малошелковниковский сельсовет,2017,22.0
1609433,Новоегорьевский сельсовет,2017,213.0
1609444,Первомайский сельсовет,2017,31.0
1609455,Сростинский сельсовет,2017,191.0
1609466,Титовский сельсовет,2017,17.0
