oktmo,name,year,outflow
07602000,Александровский муниципальный район,2009,817.0
07605000,Апанасенковский муниципальный район,2009,590.0
07607000,Арзгирский муниципальный район,2009,524.0
07610000,Благодарненский муниципальный район,2009,480.0
07610101,город Благодарный,2009,480.0
07612000,Будённовский муниципальный район,2009,939.0
07615000,Георгиевский муниципальный район,2009,1290.0
07617000,Грачёвский муниципальный район,2009,522.0
07620000,Изобильненский муниципальный район,2009,758.0
07620101,город Изобильный,2009,528.0
07620153,посёлок Рыздвяный,2009,69.0
07620155,посёлок Солнечнодольск,2009,161.0
07622000,Ипатовский муниципальный район,2009,463.0
07622101,город Ипатово,2009,463.0
07625000,Кировский муниципальный район,2009,357.0
07625101,город Новопавловск,2009,357.0
07628000,Кочубеевский муниципальный район,2009,1213.0
07630000,Красногвардейский муниципальный район,2009,467.0
07632000,Андроповский муниципальный район,2009,504.0
07633000,Курский муниципальный район,2009,958.0
07636000,Левокумский муниципальный район,2009,769.0
07639000,Минераловодский муниципальный район,2009,868.0
07639101,город Минеральные Воды,2009,1128.0
07639152,посёлок Анджиевский,2009,65.0
07641000,Нефтекумский муниципальный район,2009,658.0
07641101,город Нефтекумск,2009,553.0
07641153,поселок Затеречный,2009,105.0
07643000,Новоалександровский муниципальный район,2009,313.0
07643101,город Новоалександровск,2009,313.0
07644000,Новоселицкий муниципальный район,2009,436.0
07646000,Петровский муниципальный район,2009,479.0
07646101,город Светлоград,2009,479.0
07648000,Предгорный муниципальный район,2009,1356.0
07650000,Советский муниципальный район,2009,534.0
07650101,город Зеленокумск,2009,534.0
07652000,Степновский муниципальный район,2009,455.0
07654000,Труновский муниципальный район,2009,547.0
07656000,Туркменский муниципальный район,2009,423.0
07658000,Шпаковский муниципальный район,2009,882.0
07658101,город Михайловск,2009,882.0
07701000,город Ставрополь,2009,4750.0
07702000,Город Буденновск (до 2015 года),2009,1636.0
07707000,город Георгиевск,2009,1016.0
07710000,город-курорт Ессентуки,2009,1153.0
07712000,город-курорт Железноводск,2009,398.0
07715000,город-курорт Кисловодск,2009,1165.0
07718000,город Лермонтов,2009,315.0
07724000,город Невинномысск,2009,1601.0
07727000,город-курорт Пятигорск,2009,1557.0
11605000,Вельский муниципальный район,2009,823.0
11608000,Верхнетоемский муниципальный район,2009,268.0
11611000,Вилегодский муниципальный район,2009,196.0
11614000,Виноградовский муниципальный район,2009,203.0
11627000,Котласский муниципальный район,2009,427.0
11630000,Красноборский муниципальный район,2009,212.0
11635000,Ленский муниципальный район,2009,222.0
11638000,Лешуконский муниципальный район,2009,148.0
11642000,Мезенский муниципальный район,2009,270.0
11644000,Няндомский муниципальный район,2009,278.0
11648000,Пинежский муниципальный район,2009,485.0
11650000,Плесецкий муниципальный район,2009,748.0
11654000,Устьянский муниципальный район,2009,508.0
11656000,Холмогорский муниципальный район,2009,378.0
11658000,Шенкурский муниципальный район,2009,267.0
11701000,город Архангельск,2009,2943.0
11710000,Котлас,2009,838.0
11712000,Новая Земля,2009,14.0
11851000,город Нарьян-Мар,2009,294.0
27606000,Гвардейский муниципальный район,2009,418.0
27615000,Зеленоградский муниципальный район,2009,457.0
27633000,Правдинский муниципальный район,2009,229.0
27701000,город Калининград,2009,3353.0
27705000,Балтийский,2009,458.0
27707000,Гурьевский г.о.,2009,521.0
27709000,Гусевский,2009,402.0
27713000,Краснознаменский г.о.,2009,203.0
27714000,Неманский г.о.,2009,247.0
27715000,Нестеровский г.о.,2009,250.0
27716000,Озерский г.о.,2009,205.0
27717000,Пионерский,2009,130.0
27718000,Полесский г.о.,2009,267.0
27725000,Светловский,2009,226.0
27727000,Славский г.о.,2009,374.0
27730000,Советский,2009,421.0
27739000,Черняховский г.о.,2009,669.0
29602000,Бабынинский муниципальный район,2009,407.0
29604000,Барятинский муниципальный район,2009,146.0
29606000,Боровский муниципальный район,2009,622.0
29606101,город Боровск,2009,101.0
29606105,город Балабаново,2009,311.0
29606157,город Ермолино,2009,53.0
29608000,Дзержинский муниципальный район,2009,712.0
29608101,город Кондрово,2009,164.0
29608155,ГП поселок Куровской,2009,49.0
29608157,поселок Полотняный Завод,2009,64.0
29608160,поселок Пятовский,2009,25.0
29608164,поселок Товарково,2009,138.0
29610000,Думиничский муниципальный район,2009,259.0
29610151,поселок Думиничи,2009,106.0
29612000,Жиздринский муниципальный район,2009,237.0
29612101,город Жиздра,2009,110.0
29613000,Жуковский муниципальный район,2009,820.0
29613101,город Жуков,2009,174.0
29613157,город Белоусово,2009,109.0
29613160,город Кременки,2009,231.0
29614101,город Киров,2009,377.0
29615000,Износковский муниципальный район,2009,127.0
29616000,Козельский муниципальный район,2009,772.0
29616101,город Козельск,2009,418.0
29616104,город Сосенский,2009,158.0
29618000,Куйбышевский муниципальный район,2009,144.0
29620101,город Людиново,2009,289.0
29623000,Малоярославецкий муниципальный район,2009,807.0
29623101,город Малоярославец,2009,408.0
29625000,Медынский муниципальный район,2009,168.0
29625101,город Медынь,2009,102.0
29627000,Мещовский муниципальный район,2009,247.0
29627101,город Мещовск,2009,96.0
29629000,Мосальский муниципальный район,2009,179.0
29629101,город Мосальск,2009,77.0
29632000,Перемышльский муниципальный район,2009,226.0
29634000,Спас-Деменский муниципальный район,2009,121.0
29634101,город Спас-Деменск,2009,56.0
29636000,Сухиничский муниципальный район,2009,436.0
29636101,город Сухиничи,2009,255.0
29636157,поселок Середейский,2009,24.0
29638000,Тарусский муниципальный район,2009,285.0
29638101,город Таруса,2009,164.0
29642000,Ульяновский муниципальный район,2009,119.0
29644000,Ферзиковский муниципальный район,2009,289.0
29644403,поселок Дугна,2009,12.0
29646000,Хвастовичский муниципальный район,2009,124.0
29650000,Юхновский муниципальный район,2009,240.0
29650101,город Юхнов,2009,150.0
29701000,город Калуга,2009,2562.0
29715000,город Обнинск,2009,1068.0
64628000,Невельский муниципальный район,2009,1257.0
64652000,Углегорский муниципальный район,2009,580.0
64701000,город Южно-Сахалинск,2009,2244.0
64704000,Александровск-Сахалинский район,2009,334.0
64708000,Анивский,2009,277.0
64709000,Городской округ Вахрушев,2009,73.0
64712000,Долинский,2009,367.0
64716000,Корсаковский,2009,622.0
64720000,Курильский,2009,233.0
64724000,Макаровский,2009,239.0
64732000,Ногликский,2009,230.0
64736000,Охинский,2009,743.0
64740000,Поронайский,2009,419.0
64743000,Северо-Курильский,2009,63.0
64746000,Смирныховский,2009,262.0
64748000,Томаринский,2009,150.0
64750000,Тымовский,2009,332.0
64754000,Холмский,2009,706.0
64756000,Южно-Курильский,2009,275.0
79000000,Муниципальные образования Республики Адыгеи (Адыгеи),2009,6076.0
79600000,Муниципальные районы Республики Адыгеи (Адыгеи),2009,3590.0
79605000,Гиагинский муниципальный район,2009,413.0
79615000,Кошехабльский муниципальный район,2009,476.0
79618000,Красногвардейский муниципальный район,2009,402.0
79622000,Майкопский муниципальный район,2009,1041.0
79630000,Тахтамукайский муниципальный район,2009,655.0
79633000,Теучежский муниципальный район,2009,241.0
79640000,Шовгеновский муниципальный район,2009,362.0
79700000,Городские округа Республики Адыгеи (Адыгеи)/,2009,2486.0
79701000,город Майкоп,2009,2354.0
79703000,город Адыгейск,2009,132.0
87602000,Муниципальный район Вуктыл (до 1 января 2017 года),2009,566.0
87602101,Вуктыл (до 1 января 2017 года),2009,463.0
87604000,Ижемский муниципальный район,2009,438.0
87608000,Княжпогостский муниципальный район,2009,709.0
87612000,Койгородский муниципальный район,2009,205.0
87616000,Корткеросский муниципальный район,2009,521.0
87620000,Муниципальный район Печора,2009,1572.0
87620101,Печора,2009,1069.0
87620103,Кожва,2009,88.0
87624000,Прилузский муниципальный район,2009,508.0
87626000,Муниципальный район Сосногорск,2009,889.0
87628000,Сыктывдинский муниципальный район,2009,453.0
87632000,Сысольский муниципальный район,2009,339.0
87636000,Троицко-Печорский муниципальный район,2009,475.0
87640000,Удорский муниципальный район,2009,974.0
87644000,Усть-Вымский муниципальный район,2009,714.0
87648000,Усть-Куломский муниципальный район,2009,558.0
87652000,Усть-Цилемский муниципальный район,2009,378.0
87701000,Сыктывкар,2009,2364.0
87710000,Воркута,2009,3968.0
87715000,Инта,2009,1822.0
87723000,Усинск,2009,1442.0
87725000,Ухта,2009,2045.0
93605000,Бай-Тайгинский муниципальный район,2009,353.0
93610000,Барун-Хемчикский муниципальный район,2009,449.0
93615000,Дзун-Хемчикский муниципальный район,2009,665.0
93620000,Каа-Хемский муниципальный район,2009,416.0
93622000,Кызылский муниципальный район,2009,1063.0
93625000,Монгун-Тайгинский муниципальный район,2009,150.0
93630000,Овюрский муниципальный район,2009,271.0
93635000,Пий-Хемский муниципальный район,2009,360.0
93638000,Сут-Хольский муниципальный район,2009,269.0
93640000,Тандинский муниципальный район,2009,486.0
93643000,Тере-Хольский муниципальный район,2009,20.0
93645000,Тес-Хемский муниципальный район,2009,274.0
93650000,Тоджинский муниципальный район,2009,116.0
93654000,Улуг-Хемский муниципальный район,2009,539.0
93656000,Чаа-Хольский муниципальный район,2009,201.0
93657000,Чеди-Хольский муниципальный район,2009,269.0
93658000,Эрзинский муниципальный район,2009,251.0
93701000,город Кызыл,2009,3171.0
93703000,город Ак-Довурак,2009,460.0
