name,year,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Бокситогорский МР,2023,50.977,9.988,280.3,63522.0,31.7,???,???,???,???,2188.679,???,???,34115.239,???,???,???,5581.365,90.088,333
Бокситогорский МР,2023-3,50.977,10.013,280.3,60246.0,31.7,???,???,???,???,939.002,???,???,25269.887,???,???,???,4100.7101,75.788,205
Бокситогорский МР,2023-2,50.977,10.126,265.0,59219.0,31.7,???,???,???,???,563.617,???,???,16617.011,???,???,???,2651.94,53.077,168
Бокситогорский МР,2023-1,50.977,10.088,356.8,56843.0,31.7,???,???,???,???,122.874,???,???,8058.973,???,???,???,1260.357,20.681,54
Бокситогорский МР,2022,47.236,9.687,330.6,57924.0,31.7,???,???,???,???,1171.317,???,???,35242.373,3.936,???,???,5122.194,136.577,22
Бокситогорский МР,2022-3,47.236,9.68,344.8,55561.0,31.7,???,???,???,???,567.333,???,???,27330.488,3.936,???,???,3808.543,113.634,-98
Бокситогорский МР,2022-2,47.236,9.75,302.3,55310.0,31.7,???,???,???,???,328.933,???,???,19111.009,3.936,???,???,2483.057,99.267,-78
Бокситогорский МР,2022-1,47.236,9.81,297.5,53602.0,31.7,???,???,???,???,118.255,???,???,9536.714,3.646,???,???,1192.628,64.504,-77
Бокситогорский МР,2021,48.048,10.679,321.9216,50422.0,31.7,???,???,???,???,1156.574,???,???,35244.355,5651.769,???,???,4484.517,886.958,-39
Бокситогорский МР,2021-3,48.048,10.847,379.5792,48483.0,31.7,???,???,???,???,979.666,???,???,29992.045,2743.337,???,???,3282.921,697.196,-2
Бокситогорский МР,2021-2,48.048,10.775,374.7744,47643.0,31.7,???,???,???,???,531.219,???,???,15612.849,3150.399,???,???,2076.33,436.519,-39
Бокситогорский МР,2021-1,48.048,11.242,586.1855999999999,45771.0,31.7,???,???,???,???,159.586,???,???,7291.223,766.778,???,???,965.959,187.342,-30
Бокситогорский МР,2020,48.625,11.957,1147.55,46657.0,31.7,???,???,???,???,1532.649,???,???,28569.744,1633.874,???,???,4092.124,799.875,15
Бокситогорский МР,2020-3,48.625,12.111,1312.875,45571.0,31.7,???,???,???,???,781.513,???,???,20784.951,990.608,???,???,3084.788,491.703,83
Бокситогорский МР,2020-2,48.625,12.166,972.5,44961.0,31.7,???,???,???,???,387.617,???,???,13421.878,739.613,???,???,2027.517,304.424,-5
Бокситогорский МР,2020-1,48.625,12.096,325.7875,46056.0,31.7,???,???,???,???,131.001,???,???,6362.332,459.274,???,???,908.747,147.86,-39
Бокситогорский МР,2019,49.256,11.16,320.164,47362.0,31.7,???,???,???,???,1979.982,???,???,27686.793,4598.311,???,???,3414.6,358.774,-99
Бокситогорский МР,2019-3,49.256,10.985,315.2384,46140.0,31.7,???,???,???,???,1377.064,???,???,20678.314,3786.182,???,???,2568.114,130.35,-113
Бокситогорский МР,2019-2,49.256,10.755,320.1,45117.0,31.7,???,???,???,???,998.529,???,???,18022.751,2961.075,???,???,1681.731,62.496,-45
Бокситогорский МР,2019-1,49.256,10.143,359.5,43013.0,31.7,???,???,???,???,605.371,???,???,6387.504,1995.894,???,???,801.762,47.94,3
Бокситогорский МР,2018,50.019,9.488,295.1121,42099.0,31.7,???,???,???,???,1362.496,???,???,25606.317,2782.037,???,???,1784.922,-,-186
Бокситогорский МР,2018-3,50.019,9.443,320.1216,41710.0,31.6,???,???,???,???,933.694,???,???,18625.789,1234.476,???,???,1324.856,-,-8
Бокситогорский МР,2018-2,50.019,9.48,435.1652999999999,40794.0,31.6,???,???,???,???,230.447,???,???,12083.096,410.039,???,???,881.178,-,-29
Бокситогорский МР,2018-1,50.019,9.044,375.1425,39828.0,31.6,???,???,???,???,70.58,???,???,5630.76,24.256,???,???,430.526,-,-52
Бокситогорский МР,2017,50.412,9.46,362.9664,37264.0,31.3,???,???,???,???,1631.148,???,???,22342.067,193.648,???,???,1761.789,…,154
