oktmo,name,year,inflow,whereabouts
41603000,Бокситогорский муниципальный район,2011,1364.0,В пределах России
41603000,Бокситогорский муниципальный район,2011,709.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2011,655.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2011,175.0,Международная
41603000,Бокситогорский муниципальный район,2011,154.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2011,21.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2011,830.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2012,1991.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2012,1700.0,В пределах России
41603000,Бокситогорский муниципальный район,2012,806.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2012,894.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2012,291.0,Международная
41603000,Бокситогорский муниципальный район,2012,266.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2012,25.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2012,1185.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2013,2314.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2013,1894.0,В пределах России
41603000,Бокситогорский муниципальный район,2013,946.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2013,948.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2013,420.0,Международная
41603000,Бокситогорский муниципальный район,2013,399.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2013,21.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2013,1368.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2014,2483.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2014,2069.0,В пределах России
41603000,Бокситогорский муниципальный район,2014,977.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2014,1092.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2014,414.0,Международная
41603000,Бокситогорский муниципальный район,2014,393.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2014,21.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2014,1506.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2015,2459.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2015,1994.0,В пределах России
41603000,Бокситогорский муниципальный район,2015,904.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2015,1090.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2015,465.0,Международная
41603000,Бокситогорский муниципальный район,2015,425.0,Со странами СНГ
