oktmo,name,year,inflow,whereabouts
41603000,Бокситогорский муниципальный район,2015,1749.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2015,1389.0,В пределах России
41603000,Бокситогорский муниципальный район,2015,592.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2015,797.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2015,360.0,Международная
41603000,Бокситогорский муниципальный район,2015,328.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2015,32.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2015,1157.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2016,1702.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2016,1400.0,В пределах России
41603000,Бокситогорский муниципальный район,2016,648.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2016,752.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2016,302.0,Международная
41603000,Бокситогорский муниципальный район,2016,285.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2016,17.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2016,1054.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2017,1701.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2017,1381.0,В пределах России
41603000,Бокситогорский муниципальный район,2017,594.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2017,787.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2017,320.0,Международная
41603000,Бокситогорский муниципальный район,2017,311.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2017,9.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2017,1107.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2018,1620.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2018,1357.0,В пределах России
41603000,Бокситогорский муниципальный район,2018,632.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2018,725.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2018,263.0,Международная
41603000,Бокситогорский муниципальный район,2018,256.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2018,7.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2018,988.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2019,1547.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2019,1295.0,В пределах России
41603000,Бокситогорский муниципальный район,2019,577.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2019,718.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2019,252.0,Международная
41603000,Бокситогорский муниципальный район,2019,243.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2019,9.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2019,970.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2020,1513.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2020,1242.0,В пределах России
41603000,Бокситогорский муниципальный район,2020,571.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2020,671.0,Межрегиональная
