oktmo,name,year,outflow,whereabouts
41603000,Бокситогорский муниципальный район,2011,1673.0,В пределах России
41603000,Бокситогорский муниципальный район,2011,609.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2011,1064.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2011,16.0,Международная
41603000,Бокситогорский муниципальный район,2011,6.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2011,10.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2011,1080.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2012,2067.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2012,2042.0,В пределах России
41603000,Бокситогорский муниципальный район,2012,929.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2012,1113.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2012,25.0,Международная
41603000,Бокситогорский муниципальный район,2012,16.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2012,9.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2012,1138.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2013,2153.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2013,2042.0,В пределах России
41603000,Бокситогорский муниципальный район,2013,917.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2013,1125.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2013,111.0,Международная
41603000,Бокситогорский муниципальный район,2013,107.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2013,4.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2013,1236.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2014,2740.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2014,2551.0,В пределах России
41603000,Бокситогорский муниципальный район,2014,978.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2014,1573.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2014,189.0,Международная
41603000,Бокситогорский муниципальный район,2014,167.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2014,22.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2014,1762.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2015,2436.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2015,2201.0,В пределах России
41603000,Бокситогорский муниципальный район,2015,1040.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2015,1161.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2015,235.0,Международная
41603000,Бокситогорский муниципальный район,2015,213.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2015,22.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2015,1396.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2016,2317.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2016,2122.0,В пределах России
41603000,Бокситогорский муниципальный район,2016,1032.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2016,1090.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2016,195.0,Международная
41603000,Бокситогорский муниципальный район,2016,171.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2016,24.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2016,1285.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2017,2279.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2017,2089.0,В пределах России
41603000,Бокситогорский муниципальный район,2017,1070.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2017,1019.0,Межрегиональная
