oktmo,name,year,outflow,whereabouts
41603000,Бокситогорский муниципальный район,2015,1761.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2015,1556.0,В пределах России
41603000,Бокситогорский муниципальный район,2015,694.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2015,862.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2015,205.0,Международная
41603000,Бокситогорский муниципальный район,2015,187.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2015,18.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2015,1067.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2016,1606.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2016,1464.0,В пределах России
41603000,Бокситогорский муниципальный район,2016,686.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2016,778.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2016,142.0,Международная
41603000,Бокситогорский муниципальный район,2016,128.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2016,14.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2016,920.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2017,1597.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2017,1455.0,В пределах России
41603000,Бокситогорский муниципальный район,2017,717.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2017,738.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2017,142.0,Международная
41603000,Бокситогорский муниципальный район,2017,130.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2017,12.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2017,880.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2018,1784.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2018,1612.0,В пределах России
41603000,Бокситогорский муниципальный район,2018,801.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2018,811.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2018,172.0,Международная
41603000,Бокситогорский муниципальный район,2018,162.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2018,10.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2018,983.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2019,1635.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2019,1500.0,В пределах России
41603000,Бокситогорский муниципальный район,2019,756.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2019,744.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2019,135.0,Международная
41603000,Бокситогорский муниципальный район,2019,123.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2019,12.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2019,879.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2020,1498.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2020,1311.0,В пределах России
41603000,Бокситогорский муниципальный район,2020,623.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2020,688.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2020,187.0,Международная
41603000,Бокситогорский муниципальный район,2020,179.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2020,8.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2020,875.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2021,1529.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2021,1438.0,В пределах России
41603000,Бокситогорский муниципальный район,2021,637.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2021,801.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2021,91.0,Международная
41603000,Бокситогорский муниципальный район,2021,88.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2021,3.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2021,892.0,Внешняя (для региона)  миграция
41603000,Бокситогорский муниципальный район,2022,1591.0,"Миграция, всего"
41603000,Бокситогорский муниципальный район,2022,1322.0,В пределах России
41603000,Бокситогорский муниципальный район,2022,617.0,Внутрирегиональная
41603000,Бокситогорский муниципальный район,2022,705.0,Межрегиональная
41603000,Бокситогорский муниципальный район,2022,269.0,Международная
41603000,Бокситогорский муниципальный район,2022,264.0,Со странами СНГ
41603000,Бокситогорский муниципальный район,2022,5.0,С другими зарубежными странами
41603000,Бокситогорский муниципальный район,2022,974.0,Внешняя (для региона)  миграция
41603101,Бокситогорское,2015,429.0,"Миграция, всего"
41603101,Бокситогорское,2015,396.0,В пределах России
41603101,Бокситогорское,2015,115.0,Внутрирегиональная
41603101,Бокситогорское,2015,281.0,Межрегиональная
41603101,Бокситогорское,2015,33.0,Международная
41603101,Бокситогорское,2015,26.0,Со странами СНГ
41603101,Бокситогорское,2015,7.0,С другими зарубежными странами
41603101,Бокситогорское,2015,314.0,Внешняя (для региона)  миграция
41603101,Бокситогорское,2016,413.0,"Миграция, всего"
41603101,Бокситогорское,2016,378.0,В пределах России
41603101,Бокситогорское,2016,120.0,Внутрирегиональная
41603101,Бокситогорское,2016,258.0,Межрегиональная
41603101,Бокситогорское,2016,35.0,Международная
41603101,Бокситогорское,2016,35.0,Со странами СНГ
41603101,Бокситогорское,2016,293.0,Внешняя (для региона)  миграция
41603101,Бокситогорское,2017,438.0,"Миграция, всего"
41603101,Бокситогорское,2017,403.0,В пределах России
