oktmo,name,year,whereabouts,saldo
41603000,Бокситогорский муниципальный район,2015,"Миграция, всего",-12.0
41603000,Бокситогорский муниципальный район,2015,В пределах России,-167.0
41603000,Бокситогорский муниципальный район,2015,Внутрирегиональная,-102.0
41603000,Бокситогорский муниципальный район,2015,Межрегиональная,-65.0
41603000,Бокситогорский муниципальный район,2015,Международная,155.0
41603000,Бокситогорский муниципальный район,2015,Со странами СНГ,141.0
41603000,Бокситогорский муниципальный район,2015,С другими зарубежными странами,14.0
41603000,Бокситогорский муниципальный район,2015,Внешняя (для региона)  миграция,90.0
41603000,Бокситогорский муниципальный район,2016,"Миграция, всего",96.0
41603000,Бокситогорский муниципальный район,2016,В пределах России,-64.0
41603000,Бокситогорский муниципальный район,2016,Внутрирегиональная,-38.0
41603000,Бокситогорский муниципальный район,2016,Межрегиональная,-26.0
41603000,Бокситогорский муниципальный район,2016,Международная,160.0
41603000,Бокситогорский муниципальный район,2016,Со странами СНГ,157.0
41603000,Бокситогорский муниципальный район,2016,С другими зарубежными странами,3.0
41603000,Бокситогорский муниципальный район,2016,Внешняя (для региона)  миграция,134.0
41603000,Бокситогорский муниципальный район,2017,"Миграция, всего",104.0
41603000,Бокситогорский муниципальный район,2017,В пределах России,-74.0
41603000,Бокситогорский муниципальный район,2017,Внутрирегиональная,-123.0
41603000,Бокситогорский муниципальный район,2017,Межрегиональная,49.0
41603000,Бокситогорский муниципальный район,2017,Международная,178.0
41603000,Бокситогорский муниципальный район,2017,Со странами СНГ,181.0
41603000,Бокситогорский муниципальный район,2017,С другими зарубежными странами,-3.0
41603000,Бокситогорский муниципальный район,2017,Внешняя (для региона)  миграция,227.0
41603000,Бокситогорский муниципальный район,2018,"Миграция, всего",-164.0
41603000,Бокситогорский муниципальный район,2018,В пределах России,-255.0
41603000,Бокситогорский муниципальный район,2018,Внутрирегиональная,-169.0
41603000,Бокситогорский муниципальный район,2018,Межрегиональная,-86.0
41603000,Бокситогорский муниципальный район,2018,Международная,91.0
41603000,Бокситогорский муниципальный район,2018,Со странами СНГ,94.0
41603000,Бокситогорский муниципальный район,2018,С другими зарубежными странами,-3.0
41603000,Бокситогорский муниципальный район,2018,Внешняя (для региона)  миграция,5.0
