oktmo,name,year,whereabouts,total saldo
41603000,Бокситогорский муниципальный район,2012,"Миграция, всего",-76.0
41603000,Бокситогорский муниципальный район,2013,"Миграция, всего",161.0
41603000,Бокситогорский муниципальный район,2014,"Миграция, всего",-257.0
41603000,Бокситогорский муниципальный район,2015,"Миграция, всего",23.0
41603000,Бокситогорский муниципальный район,2016,"Миграция, всего",169.0
41603000,Бокситогорский муниципальный район,2017,"Миграция, всего",154.0
41603000,Бокситогорский муниципальный район,2018,"Миграция, всего",-186.0
41603000,Бокситогорский муниципальный район,2019,"Миграция, всего",-99.0
41603000,Бокситогорский муниципальный район,2020,"Миграция, всего",15.0
41603000,Бокситогорский муниципальный район,2021,"Миграция, всего",-39.0
41603000,Бокситогорский муниципальный район,2022,"Миграция, всего",36.0
41603101,Бокситогорское,2011,"Миграция, всего",-114.0
41603101,Бокситогорское,2012,"Миграция, всего",-72.0
41603101,Бокситогорское,2013,"Миграция, всего",95.0
41603101,Бокситогорское,2014,"Миграция, всего",-344.0
41603101,Бокситогорское,2015,"Миграция, всего",151.0
41603101,Бокситогорское,2016,"Миграция, всего",148.0
41603101,Бокситогорское,2017,"Миграция, всего",159.0
41603101,Бокситогорское,2018,"Миграция, всего",45.0
41603101,Бокситогорское,2019,"Миграция, всего",5.0
41603101,Бокситогорское,2021,"Миграция, всего",-224.0
41603101,Бокситогорское,2022,"Миграция, всего",-82.0
41603102,Пикалёвское,2011,"Миграция, всего",38.0
41603102,Пикалёвское,2012,"Миграция, всего",-108.0
41603102,Пикалёвское,2013,"Миграция, всего",-22.0
41603102,Пикалёвское,2014,"Миграция, всего",51.0
41603102,Пикалёвское,2015,"Миграция, всего",-53.0
41603102,Пикалёвское,2016,"Миграция, всего",8.0
41603102,Пикалёвское,2017,"Миграция, всего",-25.0
41603102,Пикалёвское,2018,"Миграция, всего",19.0
41603102,Пикалёвское,2019,"Миграция, всего",-58.0
41603102,Пикалёвское,2021,"Миграция, всего",64.0
41603102,Пикалёвское,2022,"Миграция, всего",-9.0
41603155,Ефимовское,2011,"Миграция, всего",-36.0
41603155,Ефимовское,2012,"Миграция, всего",-31.0
41603155,Ефимовское,2013,"Миграция, всего",3.0
41603155,Ефимовское,2014,"Миграция, всего",-56.0
41603155,Ефимовское,2015,"Миграция, всего",-90.0
41603155,Ефимовское,2016,"Миграция, всего",-25.0
41603155,Ефимовское,2017,"Миграция, всего",-39.0
41603155,Ефимовское,2018,"Миграция, всего",-126.0
41603155,Ефимовское,2019,"Миграция, всего",-20.0
41603155,Ефимовское,2020,"Миграция, всего",-94.0
41603155,Ефимовское,2021,"Миграция, всего",39.0
41603155,Ефимовское,2022,"Миграция, всего",16.0
41603408,Анисимовское,2011,"Миграция, всего",-55.0
41603408,Анисимовское,2012,"Миграция, всего",-6.0
41603408,Анисимовское,2013,"Миграция, всего",-14.0
41603408,Анисимовское,2014,"Миграция, всего",-1.0
41603412,Большедворское,2011,"Миграция, всего",21.0
41603412,Большедворское,2012,"Миграция, всего",34.0
41603412,Большедворское,2013,"Миграция, всего",21.0
41603412,Большедворское,2014,"Миграция, всего",-38.0
41603412,Большедворское,2015,"Миграция, всего",20.0
41603412,Большедворское,2016,"Миграция, всего",4.0
41603412,Большедворское,2017,"Миграция, всего",-12.0
41603412,Большедворское,2018,"Миграция, всего",11.0
41603412,Большедворское,2019,"Миграция, всего",-22.0
41603412,Большедворское,2020,"Миграция, всего",11.0
41603412,Большедворское,2021,"Миграция, всего",-1.0
41603412,Большедворское,2022,"Миграция, всего",32.0
41603416,Борское,2011,"Миграция, всего",10.0
41603416,Борское,2012,"Миграция, всего",19.0
41603416,Борское,2013,"Миграция, всего",57.0
41603416,Борское,2014,"Миграция, всего",161.0
41603416,Борское,2015,"Миграция, всего",14.0
41603416,Борское,2016,"Миграция, всего",-8.0
41603416,Борское,2017,"Миграция, всего",31.0
41603416,Борское,2018,"Миграция, всего",-29.0
41603416,Борское,2019,"Миграция, всего",-7.0
41603416,Борское,2020,"Миграция, всего",39.0
41603416,Борское,2021,"Миграция, всего",5.0
41603416,Борское,2022,"Миграция, всего",4.0
41603432,Заборьевское,2011,"Миграция, всего",-15.0
41603432,Заборьевское,2012,"Миграция, всего",-29.0
41603432,Заборьевское,2013,"Миграция, всего",-15.0
41603432,Заборьевское,2014,"Миграция, всего",-30.0
41603434,Климовское,2011,"Миграция, всего",-8.0
41603434,Климовское,2012,"Миграция, всего",43.0
41603434,Климовское,2013,"Миграция, всего",20.0
41603434,Климовское,2014,"Миграция, всего",22.0
41603434,Климовское,2015,"Миграция, всего",-5.0
41603434,Климовское,2016,"Миграция, всего",25.0
41603434,Климовское,2017,"Миграция, всего",2.0
41603434,Климовское,2018,"Миграция, всего",-36.0
41603434,Климовское,2019,"Миграция, всего",-3.0
41603460,Лидское,2011,"Миграция, всего",-14.0
41603460,Лидское,2012,"Миграция, всего",47.0
41603460,Лидское,2013,"Миграция, всего",-28.0
41603460,Лидское,2014,"Миграция, всего",-15.0
41603460,Лидское,2015,"Миграция, всего",-9.0
41603460,Лидское,2016,"Миграция, всего",-17.0
41603460,Лидское,2017,"Миграция, всего",-13.0
41603460,Лидское,2018,"Миграция, всего",-32.0
41603460,Лидское,2019,"Миграция, всего",-28.0
41603460,Лидское,2021,"Миграция, всего",36.0
41603460,Лидское,2022,"Миграция, всего",42.0
41603472,Радогощинское,2011,"Миграция, всего",16.0
