0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,risk
0.0782,0.0691,0.0604,0.06143,0.06024,0.0761,0.07825,0.07184,0.05725,0.052,0.1497,0.08405,0.0662,0.03522,0.0649,0.06015,0.0533,0.0593,0.0561,0.0652,0.0742,0.07025,0.0599,0.06046,0.1606,0.0938,0.0796,0.0423,0.0
0.078,0.0715,0.06238,0.05545,0.06335,0.0697,0.0773,0.07104,0.06006,0.05173,0.1456,0.0843,0.06866,0.041,0.06647,0.05942,0.05542,0.05356,0.05588,0.0618,0.07324,0.06964,0.06396,0.05634,0.1575,0.09424,0.0809,0.05176,0.0535279805352798
0.0784,0.07214,0.064,0.05087,0.06476,0.063,0.0794,0.0706,0.06238,0.05167,0.1384,0.0865,0.06964,0.0481,0.06854,0.06128,0.05453,0.05222,0.05453,0.05624,0.0716,0.07074,0.06616,0.05603,0.1489,0.0922,0.0841,0.06287,0.0340632603406326
0.0771,0.07605,0.06415,0.05215,0.0628,0.06018,0.0781,0.07135,0.0651,0.0528,0.132,0.0851,0.0725,0.05063,0.0684,0.06305,0.0565,0.0524,0.05347,0.05234,0.07056,0.0697,0.0712,0.0561,0.1412,0.08875,0.0861,0.0702,0.27412814274128144
0.0724,0.0778,0.0664,0.05344,0.06073,0.05658,0.078,0.07513,0.0667,0.05707,0.125,0.08154,0.07477,0.05432,0.06354,0.0667,0.05695,0.0542,0.05695,0.04883,0.06476,0.07587,0.07104,0.05832,0.136,0.08435,0.08984,0.07263,0.3503649635036496
0.0654,0.0785,0.0715,0.05814,0.05258,0.06107,0.07355,0.0769,0.0717,0.05902,0.1182,0.0766,0.0783,0.05853,0.06158,0.0635,0.06094,0.05338,0.05444,0.04993,0.0625,0.0772,0.07214,0.06058,0.1327,0.0826,0.09265,0.07587,0.3617193836171939
0.0643,0.078,0.074,0.06122,0.049,0.0671,0.06683,0.0774,0.0729,0.0629,0.11304,0.07184,0.0791,0.06247,0.05777,0.06525,0.06177,0.05585,0.0516,0.04892,0.06207,0.0777,0.0724,0.06665,0.1283,0.0793,0.094,0.07855,0.1435523114355231
0.06165,0.07874,0.07587,0.0658,0.04895,0.0693,0.06287,0.08185,0.07434,0.0648,0.1049,0.06305,0.08417,0.0637,0.05182,0.0703,0.064,0.05875,0.05222,0.05182,0.0588,0.078,0.07434,0.07135,0.1189,0.07166,0.09503,0.083,0.1354420113544201
0.0752,0.0641,0.05383,0.044,0.0314,0.05,0.06366,0.0643,0.06683,0.07153,0.2017,0.1117,0.06665,0.03525,0.0728,0.0547,0.05972,0.04584,0.02554,0.04263,0.06354,0.06335,0.06213,0.06396,0.2091,0.1154,0.08026,0.04102,0.0
0.07513,0.06494,0.05515,0.04645,0.02715,0.04886,0.06122,0.064,0.0693,0.0625,0.1969,0.11743,0.0671,0.04385,0.0703,0.06058,0.05447,0.04858,0.02318,0.03964,0.0612,0.06058,0.064,0.0614,0.2008,0.1171,0.0872,0.0508,0.0
0.0758,0.06635,0.05753,0.04166,0.02777,0.04584,0.05994,0.0615,0.0721,0.05862,0.1909,0.11725,0.0747,0.05002,0.0679,0.065,0.0522,0.04688,0.02792,0.0322,0.05463,0.0585,0.0656,0.0591,0.192,0.1231,0.0911,0.0638,0.0
0.072,0.0667,0.05917,0.04477,0.03302,0.0379,0.05585,0.06226,0.0696,0.0607,0.1835,0.11945,0.0813,0.05383,0.0681,0.0671,0.0492,0.05002,0.03384,0.02596,0.0488,0.05814,0.06476,0.0577,0.187,0.1221,0.0976,0.06976,0.0
0.06946,0.0729,0.0629,0.04745,0.0386,0.03043,0.04904,0.06586,0.0672,0.05927,0.1748,0.1172,0.0895,0.0554,0.05936,0.0707,0.0505,0.05072,0.03787,0.02652,0.04355,0.0623,0.0625,0.0583,0.1785,0.1191,0.1042,0.076,0.0
0.068,0.07623,0.06525,0.04675,0.0402,0.02852,0.047,0.0654,0.06384,0.06824,0.1666,0.1026,0.1005,0.0608,0.0547,0.0712,0.05338,0.05206,0.04205,0.02287,0.0392,0.061,0.06384,0.0634,0.1693,0.112,0.1155,0.0795,0.0
0.07794,0.0662,0.0613,0.05255,0.05902,0.07434,0.0738,0.0729,0.06714,0.05637,0.161,0.0857,0.06015,0.03162,0.06744,0.05768,0.05307,0.05502,0.04703,0.0656,0.07306,0.07416,0.0597,0.05957,0.1733,0.0965,0.0748,0.04303,0.0
0.076,0.0682,0.06097,0.0507,0.05615,0.07336,0.0738,0.0701,0.0714,0.0542,0.156,0.0881,0.06247,0.0387,0.0653,0.05914,0.05496,0.05176,0.0488,0.0582,0.0742,0.0728,0.06155,0.05753,0.1691,0.0972,0.0779,0.05164,0.0
0.0727,0.07336,0.0614,0.04858,0.04465,0.0816,0.07196,0.06866,0.0719,0.05594,0.1492,0.08875,0.0659,0.04538,0.0643,0.06177,0.05255,0.05032,0.05066,0.05283,0.0727,0.0715,0.0652,0.05444,0.1624,0.1001,0.0789,0.0625,0.0
0.0695,0.0766,0.0633,0.0466,0.0377,0.0816,0.0732,0.069,0.071,0.05902,0.1459,0.0911,0.0663,0.0493,0.0615,0.06586,0.05396,0.0501,0.0534,0.04642,0.0706,0.07007,0.0696,0.05603,0.1552,0.098,0.0815,0.0679,0.0
0.0671,0.08136,0.0647,0.04587,0.04175,0.0729,0.0766,0.0672,0.0747,0.05957,0.1376,0.08856,0.07184,0.0503,0.0601,0.06836,0.05542,0.04974,0.05624,0.04462,0.069,0.0713,0.0729,0.05634,0.1444,0.0926,0.0892,0.0698,0.0
0.062,0.0825,0.06793,0.04626,0.042,0.06805,0.07623,0.0707,0.07355,0.06635,0.131,0.0856,0.07764,0.0502,0.05542,0.06836,0.0592,0.04886,0.0532,0.0453,0.063,0.0736,0.0745,0.0623,0.1399,0.0905,0.095,0.0708,0.0
0.0568,0.0818,0.0735,0.05325,0.03943,0.06415,0.0774,0.0736,0.07086,0.07294,0.12177,0.07733,0.08276,0.05457,0.05145,0.0688,0.06238,0.0508,0.05402,0.04715,0.05667,0.0745,0.0756,0.0652,0.1335,0.0867,0.0964,0.07684,0.0
0.05542,0.07965,0.07916,0.05978,0.0378,0.05905,0.0807,0.07355,0.0711,0.075,0.11456,0.0708,0.0855,0.05786,0.0472,0.0692,0.0678,0.05133,0.0538,0.05206,0.0528,0.0739,0.07587,0.06964,0.1267,0.08014,0.1008,0.0787,0.0
0.0647,0.0725,0.0649,0.0508,0.0434,0.04025,0.05862,0.0682,0.0696,0.0657,0.1688,0.102,0.07605,0.05453,0.06195,0.06793,0.0644,0.04565,0.032,0.0352,0.05408,0.06866,0.07184,0.06195,0.1742,0.10815,0.0866,0.0674,0.0
0.06104,0.07465,0.06537,0.05215,0.0482,0.03656,0.05966,0.06537,0.06696,0.0701,0.1594,0.1013,0.0794,0.05966,0.05847,0.06793,0.06793,0.04575,0.03815,0.03018,0.0488,0.06396,0.07556,0.06665,0.1666,0.10724,0.09564,0.067,0.0
