oktmo,name,year,avgemployers
1601000,Алейский муниципальный район,2011,1962.0
1601000,Алейский муниципальный район,2012,2111.0
1601000,Алейский муниципальный район,2013,1628.0
1601000,Алейский муниципальный район,2014,1755.0
1601000,Алейский муниципальный район,2015,1723.0
1601000,Алейский муниципальный район,2016,1605.0
1602000,Алтайский муниципальный район,2011,4077.0
1602000,Алтайский муниципальный район,2012,4112.0
1602000,Алтайский муниципальный район,2013,3866.0
1602000,Алтайский муниципальный район,2014,3686.0
1602000,Алтайский муниципальный район,2015,3353.0
1602000,Алтайский муниципальный район,2016,3319.0
1603000,Баевский муниципальный район,2011,1752.0
1603000,Баевский муниципальный район,2012,1729.0
1603000,Баевский муниципальный район,2013,1625.0
1603000,Баевский муниципальный район,2014,1437.0
1603000,Баевский муниципальный район,2015,1356.0
1603000,Баевский муниципальный район,2016,1132.0
1604000,Бийский муниципальный район,2011,6374.0
1604000,Бийский муниципальный район,2012,6107.0
1604000,Бийский муниципальный район,2013,5607.0
1604000,Бийский муниципальный район,2014,5460.0
1604000,Бийский муниципальный район,2015,5053.0
1604000,Бийский муниципальный район,2016,4647.0
1605000,Благовещенский муниципальный район,2011,7402.0
1605000,Благовещенский муниципальный район,2012,7098.0
1605000,Благовещенский муниципальный район,2013,6711.0
1605000,Благовещенский муниципальный район,2014,6231.0
1605000,Благовещенский муниципальный район,2015,6108.0
1605000,Благовещенский муниципальный район,2016,5911.0
1606000,Бурлинский муниципальный район,2011,2392.0
1606000,Бурлинский муниципальный район,2012,2221.0
1606000,Бурлинский муниципальный район,2013,2183.0
1606000,Бурлинский муниципальный район,2014,1806.0
1606000,Бурлинский муниципальный район,2015,1837.0
1606000,Бурлинский муниципальный район,2016,1744.0
1607000,Быстроистокский муниципальный район,2011,1592.0
1607000,Быстроистокский муниципальный район,2012,1468.0
1607000,Быстроистокский муниципальный район,2013,1414.0
1607000,Быстроистокский муниципальный район,2014,1363.0
1607000,Быстроистокский муниципальный район,2015,1317.0
1607000,Быстроистокский муниципальный район,2016,1276.0
1608000,Волчихинский муниципальный район,2011,3370.0
1608000,Волчихинский муниципальный район,2012,3152.0
1608000,Волчихинский муниципальный район,2013,3036.0
1608000,Волчихинский муниципальный район,2014,2980.0
1608000,Волчихинский муниципальный район,2015,2921.0
1608000,Волчихинский муниципальный район,2016,2876.0
1609000,Егорьевский муниципальный район,2011,2403.0
1609000,Егорьевский муниципальный район,2012,2336.0
1609000,Егорьевский муниципальный район,2013,2257.0
1609000,Егорьевский муниципальный район,2014,2137.0
1609000,Егорьевский муниципальный район,2015,2091.0
1609000,Егорьевский муниципальный район,2016,2028.0
1610000,Ельцовский муниципальный район,2011,980.0
1610000,Ельцовский муниципальный район,2012,912.0
1610000,Ельцовский муниципальный район,2013,882.0
1610000,Ельцовский муниципальный район,2014,811.0
1610000,Ельцовский муниципальный район,2015,771.0
1610000,Ельцовский муниципальный район,2016,752.0
1611000,Завьяловский муниципальный район,2011,4507.0
1611000,Завьяловский муниципальный район,2012,4167.0
1611000,Завьяловский муниципальный район,2013,3814.0
1611000,Завьяловский муниципальный район,2014,3620.0
1611000,Завьяловский муниципальный район,2015,3436.0
1611000,Завьяловский муниципальный район,2016,3406.0
1612000,Залесовский муниципальный район,2011,2561.0
1612000,Залесовский муниципальный район,2012,2459.0
1612000,Залесовский муниципальный район,2013,2205.0
1612000,Залесовский муниципальный район,2014,1943.0
1612000,Залесовский муниципальный район,2015,1776.0
1612000,Залесовский муниципальный район,2016,1723.0
1613000,Заринский муниципальный район,2011,3153.0
1613000,Заринский муниципальный район,2012,3136.0
1613000,Заринский муниципальный район,2013,2881.0
1613000,Заринский муниципальный район,2014,2600.0
