oktmo,name,year,badcompanies
1601000,Алейский муниципальный район,2010,1.0
1601000,Алейский муниципальный район,2011,2.0
1601000,Алейский муниципальный район,2012,1.0
1601000,Алейский муниципальный район,2013,1.0
1601000,Алейский муниципальный район,2014,1.0
1602000,Алтайский муниципальный район,2009,5.0
1602000,Алтайский муниципальный район,2010,5.0
1602000,Алтайский муниципальный район,2011,7.0
1602000,Алтайский муниципальный район,2012,7.0
1602000,Алтайский муниципальный район,2013,5.0
1602000,Алтайский муниципальный район,2014,5.0
1602000,Алтайский муниципальный район,2015,6.0
1602000,Алтайский муниципальный район,2016,3.0
1602000,Алтайский муниципальный район,2018,5.0
1602000,Алтайский муниципальный район,2019,4.0
1602000,Алтайский муниципальный район,2020,6.0
1602000,Алтайский муниципальный район,2021,5.0
1602000,Алтайский муниципальный район,2022,4.0
1602407,Алтайский сельсовет,2016,3.0
1603000,Баевский муниципальный район,2009,5.0
1603000,Баевский муниципальный район,2010,4.0
1603000,Баевский муниципальный район,2011,2.0
1603000,Баевский муниципальный район,2012,3.0
1603000,Баевский муниципальный район,2013,2.0
1603000,Баевский муниципальный район,2014,5.0
1603000,Баевский муниципальный район,2015,4.0
1604000,Бийский муниципальный район,2009,4.0
1604000,Бийский муниципальный район,2010,2.0
1604000,Бийский муниципальный район,2011,1.0
1604000,Бийский муниципальный район,2013,2.0
1604000,Бийский муниципальный район,2014,2.0
1604000,Бийский муниципальный район,2015,2.0
1604000,Бийский муниципальный район,2016,1.0
1604000,Бийский муниципальный район,2022,3.0
1605000,Благовещенский муниципальный район,2009,9.0
1605000,Благовещенский муниципальный район,2010,2.0
1605000,Благовещенский муниципальный район,2011,1.0
1605000,Благовещенский муниципальный район,2012,4.0
1605000,Благовещенский муниципальный район,2013,2.0
1605000,Благовещенский муниципальный район,2014,2.0
1605000,Благовещенский муниципальный район,2015,2.0
1605000,Благовещенский муниципальный район,2016,1.0
1605000,Благовещенский муниципальный район,2020,3.0
1605000,Благовещенский муниципальный район,2022,3.0
1606000,Бурлинский муниципальный район,2009,4.0
1606000,Бурлинский муниципальный район,2010,2.0
1606000,Бурлинский муниципальный район,2011,2.0
1606000,Бурлинский муниципальный район,2012,2.0
1606000,Бурлинский муниципальный район,2013,3.0
1606000,Бурлинский муниципальный район,2014,3.0
1606000,Бурлинский муниципальный район,2015,1.0
1606000,Бурлинский муниципальный район,2016,1.0
1606000,Бурлинский муниципальный район,2017,3.0
1606000,Бурлинский муниципальный район,2018,3.0
1606411,Бурлинский сельсовет,2016,1.0
1607000,Быстроистокский муниципальный район,2009,2.0
1607000,Быстроистокский муниципальный район,2013,1.0
1608000,Волчихинский муниципальный район,2009,1.0
1608000,Волчихинский муниципальный район,2010,3.0
1608000,Волчихинский муниципальный район,2011,3.0
1608000,Волчихинский муниципальный район,2014,2.0
1608000,Волчихинский муниципальный район,2015,1.0
1608000,Волчихинский муниципальный район,2016,1.0
1608000,Волчихинский муниципальный район,2018,4.0
1608000,Волчихинский муниципальный район,2019,3.0
1608421,Волчихинский сельсовет,2016,1.0
1609000,Егорьевский муниципальный район,2009,2.0
1609000,Егорьевский муниципальный район,2010,2.0
1609000,Егорьевский муниципальный район,2011,2.0
1609000,Егорьевский муниципальный район,2014,1.0
1609000,Егорьевский муниципальный район,2016,1.0
1610000,Ельцовский муниципальный район,2009,1.0
1610000,Ельцовский муниципальный район,2011,1.0
1610000,Ельцовский муниципальный район,2012,1.0
1610000,Ельцовский муниципальный район,2018,3.0
1611000,Завьяловский муниципальный район,2009,5.0
1611000,Завьяловский муниципальный район,2010,1.0
1611000,Завьяловский муниципальный район,2011,2.0
1611000,Завьяловский муниципальный район,2012,7.0
1611000,Завьяловский муниципальный район,2013,4.0
1611000,Завьяловский муниципальный район,2014,5.0
1611000,Завьяловский муниципальный район,2015,3.0
1611000,Завьяловский муниципальный район,2016,5.0
1611000,Завьяловский муниципальный район,2017,5.0
1611000,Завьяловский муниципальный район,2018,4.0
1611000,Завьяловский муниципальный район,2021,3.0
1611000,Завьяловский муниципальный район,2022,3.0
1611434,Завьяловский сельсовет,2016,3.0
1612000,Залесовский муниципальный район,2009,2.0
1612000,Залесовский муниципальный район,2010,1.0
1612000,Залесовский муниципальный район,2011,3.0
1612000,Залесовский муниципальный район,2012,3.0
1612000,Залесовский муниципальный район,2013,3.0
1612000,Залесовский муниципальный район,2014,2.0
1612000,Залесовский муниципальный район,2015,2.0
1613000,Заринский муниципальный район,2009,2.0
1613000,Заринский муниципальный район,2010,2.0
1613000,Заринский муниципальный район,2012,1.0
1613000,Заринский муниципальный район,2015,1.0
1613000,Заринский муниципальный район,2016,1.0
1614000,Змеиногорский муниципальный район,2009,4.0
1614000,Змеиногорский муниципальный район,2010,1.0
1614000,Змеиногорский муниципальный район,2011,3.0
1614000,Змеиногорский муниципальный район,2012,2.0
1614000,Змеиногорский муниципальный район,2013,2.0
