oktmo,name,year,docsnum
1601000,Алейский муниципальный район,2008,8.0
1601000,Алейский муниципальный район,2009,8.0
1601000,Алейский муниципальный район,2010,9.0
1601000,Алейский муниципальный район,2011,8.0
1601000,Алейский муниципальный район,2012,6.0
1601000,Алейский муниципальный район,2013,6.0
1601417,Боровской сельсовет,2008,1.0
1601417,Боровской сельсовет,2009,1.0
1601417,Боровской сельсовет,2010,1.0
1601417,Боровской сельсовет,2011,1.0
1601417,Боровской сельсовет,2012,1.0
1601417,Боровской сельсовет,2013,1.0
1601420,Дружбинский сельсовет,2008,1.0
1601420,Дружбинский сельсовет,2009,1.0
1601420,Дружбинский сельсовет,2010,1.0
1601420,Дружбинский сельсовет,2011,1.0
1601420,Дружбинский сельсовет,2012,1.0
1601420,Дружбинский сельсовет,2013,1.0
1601432,Кашинский сельсовет,2008,1.0
1601432,Кашинский сельсовет,2009,1.0
1601432,Кашинский сельсовет,2010,1.0
1601432,Кашинский сельсовет,2011,2.0
1601432,Кашинский сельсовет,2012,1.0
1601432,Кашинский сельсовет,2013,1.0
1601464,Моховской сельсовет,2008,2.0
1601464,Моховской сельсовет,2009,2.0
1601464,Моховской сельсовет,2010,2.0
1601464,Моховской сельсовет,2011,2.0
1601464,Моховской сельсовет,2012,2.0
1601464,Моховской сельсовет,2013,2.0
1601468,Осколковский сельсовет,2008,1.0
1601468,Осколковский сельсовет,2009,1.0
1601468,Осколковский сельсовет,2010,2.0
1601473,Плотавский сельсовет,2008,2.0
1601473,Плотавский сельсовет,2009,2.0
1601473,Плотавский сельсовет,2010,2.0
1601473,Плотавский сельсовет,2011,2.0
1601473,Плотавский сельсовет,2012,1.0
1601473,Плотавский сельсовет,2013,1.0
1602000,Алтайский муниципальный район,2008,50.0
1602000,Алтайский муниципальный район,2009,46.0
1602000,Алтайский муниципальный район,2010,44.0
1602000,Алтайский муниципальный район,2011,42.0
1602000,Алтайский муниципальный район,2012,50.0
1602000,Алтайский муниципальный район,2013,51.0
1602405,Айский сельсовет,2008,2.0
1602405,Айский сельсовет,2009,3.0
1602405,Айский сельсовет,2010,3.0
1602405,Айский сельсовет,2011,3.0
1602405,Айский сельсовет,2012,3.0
1602405,Айский сельсовет,2013,2.0
1602407,Алтайский сельсовет,2008,47.0
1602407,Алтайский сельсовет,2009,42.0
1602407,Алтайский сельсовет,2010,41.0
1602407,Алтайский сельсовет,2011,39.0
1602407,Алтайский сельсовет,2012,47.0
1602407,Алтайский сельсовет,2013,48.0
1602423,Куяганский сельсовет,2008,1.0
1602423,Куяганский сельсовет,2009,1.0
1602423,Куяганский сельсовет,2013,1.0
1603000,Баевский муниципальный район,2008,29.0
1603000,Баевский муниципальный район,2009,31.0
1603000,Баевский муниципальный район,2010,29.0
1603000,Баевский муниципальный район,2011,29.0
1603000,Баевский муниципальный район,2012,32.0
1603000,Баевский муниципальный район,2013,31.0
1603407,Баевский сельсовет,2008,28.0
1603407,Баевский сельсовет,2009,30.0
1603407,Баевский сельсовет,2010,28.0
1603407,Баевский сельсовет,2011,28.0
1603407,Баевский сельсовет,2012,31.0
1603407,Баевский сельсовет,2013,30.0
1603480,Ситниковский сельсовет,2008,1.0
1603480,Ситниковский сельсовет,2009,1.0
1603480,Ситниковский сельсовет,2010,1.0
1603480,Ситниковский сельсовет,2011,1.0
1603480,Ситниковский сельсовет,2012,1.0
1603480,Ситниковский сельсовет,2013,1.0
1604000,Бийский муниципальный район,2008,59.0
1604000,Бийский муниципальный район,2009,62.0
1604000,Бийский муниципальный район,2010,57.0
1604000,Бийский муниципальный район,2011,57.0
1604000,Бийский муниципальный район,2012,67.0
1604000,Бийский муниципальный район,2013,63.0
1604417,Верх-Катунский сельсовет,2008,2.0
1604417,Верх-Катунский сельсовет,2009,2.0
1604417,Верх-Катунский сельсовет,2010,3.0
1604417,Верх-Катунский сельсовет,2011,3.0
1604417,Верх-Катунский сельсовет,2012,3.0
1604417,Верх-Катунский сельсовет,2013,3.0
1604437,Лесной сельсовет,2008,2.0
1604437,Лесной сельсовет,2009,1.0
1604437,Лесной сельсовет,2010,2.0
1604437,Лесной сельсовет,2011,1.0
1604437,Лесной сельсовет,2012,2.0
1604437,Лесной сельсовет,2013,1.0
1604455,Малоенисейский сельсовет,2008,3.0
1604455,Малоенисейский сельсовет,2009,9.0
1604455,Малоенисейский сельсовет,2010,12.0
1604455,Малоенисейский сельсовет,2011,8.0
1604455,Малоенисейский сельсовет,2012,6.0
1604455,Малоенисейский сельсовет,2013,6.0
1604459,Малоугреневский сельсовет,2011,1.0
1604459,Малоугреневский сельсовет,2012,1.0
1604459,Малоугреневский сельсовет,2013,1.0
1604464,Новиковский сельсовет,2008,8.0
1604464,Новиковский сельсовет,2009,8.0
1604464,Новиковский сельсовет,2010,1.0
1604464,Новиковский сельсовет,2011,1.0
1604464,Новиковский сельсовет,2012,1.0
1604464,Новиковский сельсовет,2013,1.0
1604470,Первомайский сельсовет,2008,39.0
1604470,Первомайский сельсовет,2009,37.0
1604470,Первомайский сельсовет,2010,32.0
1604470,Первомайский сельсовет,2011,36.0
1604470,Первомайский сельсовет,2012,48.0
1604470,Первомайский сельсовет,2013,46.0
1604483,Сростинский сельсовет,2008,4.0
1604483,Сростинский сельсовет,2009,4.0
1604483,Сростинский сельсовет,2010,5.0
1604483,Сростинский сельсовет,2011,5.0
1604483,Сростинский сельсовет,2012,5.0
1604483,Сростинский сельсовет,2013,4.0
1604488,Усятский сельсовет,2010,1.0
1604488,Усятский сельсовет,2011,1.0
1604488,Усятский сельсовет,2012,1.0
1604488,Усятский сельсовет,2013,1.0
1604495,Шебалинский сельсовет,2008,1.0
1604495,Шебалинский сельсовет,2009,1.0
1604495,Шебалинский сельсовет,2010,1.0
1604495,Шебалинский сельсовет,2011,1.0
1605000,Благовещенский муниципальный район,2008,75.0
1605000,Благовещенский муниципальный район,2009,71.0
1605000,Благовещенский муниципальный район,2010,66.0
1605000,Благовещенский муниципальный район,2011,61.0
1605000,Благовещенский муниципальный район,2012,59.0
1605000,Благовещенский муниципальный район,2013,55.0
1605151,Благовещенский поссовет,2008,42.0
1605151,Благовещенский поссовет,2009,42.0
1605151,Благовещенский поссовет,2010,40.0
1605151,Благовещенский поссовет,2011,36.0
1605151,Благовещенский поссовет,2012,33.0
1605151,Благовещенский поссовет,2013,35.0
1605157,Степноозёрский поссовет,2008,28.0
1605157,Степноозёрский поссовет,2009,24.0
1605157,Степноозёрский поссовет,2010,21.0
1605157,Степноозёрский поссовет,2011,21.0
1605157,Степноозёрский поссовет,2012,22.0
1605157,Степноозёрский поссовет,2013,18.0
1605420,Гляденьский сельсовет,2008,1.0
1605420,Гляденьский сельсовет,2009,1.0
1605420,Гляденьский сельсовет,2010,1.0
1605420,Гляденьский сельсовет,2011,1.0
1605420,Гляденьский сельсовет,2012,1.0
1605436,Леньковский сельсовет,2008,2.0
1605436,Леньковский сельсовет,2009,2.0
1605436,Леньковский сельсовет,2010,2.0
1605436,Леньковский сельсовет,2011,2.0
1605436,Леньковский сельсовет,2012,2.0
1605436,Леньковский сельсовет,2013,2.0
1605452,Николаевский сельсовет,2008,1.0
1605452,Николаевский сельсовет,2009,1.0
1605452,Николаевский сельсовет,2010,1.0
1605456,Новокулундинский сельсовет,2008,1.0
1605456,Новокулундинский сельсовет,2009,1.0
1605456,Новокулундинский сельсовет,2010,1.0
1605456,Новокулундинский сельсовет,2011,1.0
1605456,Новокулундинский сельсовет,2012,1.0
1606000,Бурлинский муниципальный район,2008,29.0
1606000,Бурлинский муниципальный район,2009,27.0
1606000,Бурлинский муниципальный район,2010,26.0
1606000,Бурлинский муниципальный район,2011,26.0
1606000,Бурлинский муниципальный район,2012,26.0
1606000,Бурлинский муниципальный район,2013,22.0
1606411,Бурлинский сельсовет,2008,28.0
1606411,Бурлинский сельсовет,2009,26.0
1606411,Бурлинский сельсовет,2010,25.0
1606411,Бурлинский сельсовет,2011,25.0
1606411,Бурлинский сельсовет,2012,25.0
1606411,Бурлинский сельсовет,2013,22.0
1606477,Устьянский сельсовет,2008,1.0
1606477,Устьянский сельсовет,2009,1.0
1606477,Устьянский сельсовет,2010,1.0
1606477,Устьянский сельсовет,2011,1.0
1606477,Устьянский сельсовет,2012,1.0
1607000,Быстроистокский муниципальный район,2008,22.0
1607000,Быстроистокский муниципальный район,2009,23.0
1607000,Быстроистокский муниципальный район,2010,20.0
1607000,Быстроистокский муниципальный район,2011,18.0
1607000,Быстроистокский муниципальный район,2012,20.0
1607000,Быстроистокский муниципальный район,2013,19.0
1607403,Акутихинский сельсовет,2008,1.0
1607403,Акутихинский сельсовет,2009,1.0
1607405,Быстроистокский сельсовет,2008,18.0
