oktmo,name,year,goodcompincome
1601000,Алейский муниципальный район,2010,54685.0
1601000,Алейский муниципальный район,2011,5412.0
1601000,Алейский муниципальный район,2012,41602.0
1601000,Алейский муниципальный район,2013,28793.0
1601000,Алейский муниципальный район,2014,11680.0
1601000,Алейский муниципальный район,2015,53859.0
1601000,Алейский муниципальный район,2016,70769.0
1601000,Алейский муниципальный район,2019,185581.0
1601000,Алейский муниципальный район,2020,312392.0
1602000,Алтайский муниципальный район,2009,42419.0
1602000,Алтайский муниципальный район,2010,27421.0
1602000,Алтайский муниципальный район,2011,38199.0
1602000,Алтайский муниципальный район,2012,15863.0
1602000,Алтайский муниципальный район,2013,15136.0
1602000,Алтайский муниципальный район,2014,24081.0
1602000,Алтайский муниципальный район,2015,24803.0
1602000,Алтайский муниципальный район,2016,36105.0
1602000,Алтайский муниципальный район,2017,45748.0
1602000,Алтайский муниципальный район,2019,886.0
1602000,Алтайский муниципальный район,2020,12867.0
1602000,Алтайский муниципальный район,2021,16646.0
1602000,Алтайский муниципальный район,2022,21654.0
1602407,Алтайский сельсовет,2016,26627.0
1603000,Баевский муниципальный район,2009,7132.0
1603000,Баевский муниципальный район,2010,6805.0
1603000,Баевский муниципальный район,2011,4231.0
1603000,Баевский муниципальный район,2012,1506.0
1603000,Баевский муниципальный район,2013,1058.0
1603000,Баевский муниципальный район,2014,2.0
1604000,Бийский муниципальный район,2009,131105.0
1604000,Бийский муниципальный район,2010,223137.0
1604000,Бийский муниципальный район,2011,254342.0
1604000,Бийский муниципальный район,2012,206079.0
1604000,Бийский муниципальный район,2013,194866.0
1604000,Бийский муниципальный район,2014,173520.0
1604000,Бийский муниципальный район,2015,292545.0
1604000,Бийский муниципальный район,2016,367035.0
1604000,Бийский муниципальный район,2017,247353.0
1604000,Бийский муниципальный район,2018,236711.0
1604000,Бийский муниципальный район,2019,302566.0
1604000,Бийский муниципальный район,2020,352728.0
1604000,Бийский муниципальный район,2021,441370.0
1604000,Бийский муниципальный район,2022,347656.0
