oktmo,name,year,musartschool
1602000,Алтайский муниципальный район,2007,2.0
1602000,Алтайский муниципальный район,2008,2.0
1602000,Алтайский муниципальный район,2009,2.0
1602000,Алтайский муниципальный район,2010,2.0
1602000,Алтайский муниципальный район,2011,2.0
1602000,Алтайский муниципальный район,2012,2.0
1602000,Алтайский муниципальный район,2013,2.0
1602000,Алтайский муниципальный район,2014,2.0
1602000,Алтайский муниципальный район,2015,2.0
1602000,Алтайский муниципальный район,2016,1.0
1602000,Алтайский муниципальный район,2017,1.0
1602407,Алтайский сельсовет,2007,2.0
1602407,Алтайский сельсовет,2008,2.0
1602407,Алтайский сельсовет,2009,2.0
1602407,Алтайский сельсовет,2010,2.0
1602407,Алтайский сельсовет,2011,2.0
1602407,Алтайский сельсовет,2012,2.0
1602407,Алтайский сельсовет,2013,2.0
1602407,Алтайский сельсовет,2014,2.0
1602407,Алтайский сельсовет,2015,2.0
1602407,Алтайский сельсовет,2016,1.0
1602407,Алтайский сельсовет,2017,1.0
1603000,Баевский муниципальный район,2007,1.0
1603000,Баевский муниципальный район,2008,1.0
1603000,Баевский муниципальный район,2009,1.0
1603000,Баевский муниципальный район,2010,1.0
1603000,Баевский муниципальный район,2011,1.0
1603000,Баевский муниципальный район,2012,1.0
1603000,Баевский муниципальный район,2013,1.0
1603000,Баевский муниципальный район,2014,1.0
1603000,Баевский муниципальный район,2015,1.0
1603000,Баевский муниципальный район,2016,1.0
1603000,Баевский муниципальный район,2017,1.0
1603407,Баевский сельсовет,2007,1.0
1603407,Баевский сельсовет,2008,1.0
1603407,Баевский сельсовет,2009,1.0
1603407,Баевский сельсовет,2010,1.0
1603407,Баевский сельсовет,2011,1.0
1603407,Баевский сельсовет,2012,1.0
1603407,Баевский сельсовет,2013,1.0
1603407,Баевский сельсовет,2014,1.0
1603407,Баевский сельсовет,2015,1.0
1603407,Баевский сельсовет,2016,1.0
1603407,Баевский сельсовет,2017,1.0
1604000,Бийский муниципальный район,2007,1.0
1604000,Бийский муниципальный район,2008,1.0
1604000,Бийский муниципальный район,2009,1.0
1604000,Бийский муниципальный район,2010,1.0
1604000,Бийский муниципальный район,2011,1.0
1604000,Бийский муниципальный район,2012,1.0
1604000,Бийский муниципальный район,2013,1.0
1604000,Бийский муниципальный район,2014,1.0
1604000,Бийский муниципальный район,2015,1.0
1604000,Бийский муниципальный район,2016,1.0
1604000,Бийский муниципальный район,2017,1.0
1604470,Первомайский сельсовет,2007,1.0
1604470,Первомайский сельсовет,2008,1.0
1604470,Первомайский сельсовет,2009,1.0
1604470,Первомайский сельсовет,2010,1.0
1604470,Первомайский сельсовет,2011,1.0
1604470,Первомайский сельсовет,2012,1.0
1604470,Первомайский сельсовет,2013,1.0
1604470,Первомайский сельсовет,2014,1.0
1604470,Первомайский сельсовет,2015,1.0
1604470,Первомайский сельсовет,2016,1.0
1604470,Первомайский сельсовет,2017,1.0
1605000,Благовещенский муниципальный район,2007,1.0
1605000,Благовещенский муниципальный район,2008,1.0
1605000,Благовещенский муниципальный район,2009,1.0
1605000,Благовещенский муниципальный район,2010,1.0
1605000,Благовещенский муниципальный район,2011,1.0
1605000,Благовещенский муниципальный район,2012,1.0
1605000,Благовещенский муниципальный район,2013,1.0
1605000,Благовещенский муниципальный район,2014,1.0
1605000,Благовещенский муниципальный район,2015,1.0
1605000,Благовещенский муниципальный район,2016,1.0
1605000,Благовещенский муниципальный район,2017,1.0
1605151,Благовещенский поссовет,2007,1.0
1605151,Благовещенский поссовет,2008,1.0
1605151,Благовещенский поссовет,2009,1.0
1605151,Благовещенский поссовет,2010,1.0
1605151,Благовещенский поссовет,2011,1.0
1605151,Благовещенский поссовет,2012,1.0
1605151,Благовещенский поссовет,2013,1.0
1605151,Благовещенский поссовет,2014,1.0
1605151,Благовещенский поссовет,2015,1.0
1605151,Благовещенский поссовет,2016,1.0
1605151,Благовещенский поссовет,2017,1.0
1605157,Степноозёрский поссовет,2008,0.0
1606000,Бурлинский муниципальный район,2007,1.0
1606000,Бурлинский муниципальный район,2008,1.0
1606000,Бурлинский муниципальный район,2009,1.0
1606000,Бурлинский муниципальный район,2010,1.0
1606000,Бурлинский муниципальный район,2011,1.0
1606000,Бурлинский муниципальный район,2012,1.0
1606000,Бурлинский муниципальный район,2013,1.0
1606000,Бурлинский муниципальный район,2014,1.0
1606000,Бурлинский муниципальный район,2015,1.0
1606000,Бурлинский муниципальный район,2016,1.0
1606000,Бурлинский муниципальный район,2017,1.0
1606411,Бурлинский сельсовет,2007,1.0
1606411,Бурлинский сельсовет,2008,1.0
1606411,Бурлинский сельсовет,2009,1.0
1606411,Бурлинский сельсовет,2010,1.0
1606411,Бурлинский сельсовет,2011,1.0
1606411,Бурлинский сельсовет,2012,1.0
1606411,Бурлинский сельсовет,2013,1.0
1606411,Бурлинский сельсовет,2014,1.0
1606411,Бурлинский сельсовет,2015,1.0
1606411,Бурлинский сельсовет,2016,1.0
1606411,Бурлинский сельсовет,2017,1.0
1607000,Быстроистокский муниципальный район,2007,1.0
1607000,Быстроистокский муниципальный район,2008,1.0
1607000,Быстроистокский муниципальный район,2009,1.0
1607000,Быстроистокский муниципальный район,2010,1.0
1607000,Быстроистокский муниципальный район,2011,1.0
1607000,Быстроистокский муниципальный район,2012,1.0
1607000,Быстроистокский муниципальный район,2013,1.0
1607000,Быстроистокский муниципальный район,2014,1.0
1607000,Быстроистокский муниципальный район,2015,1.0
1607000,Быстроистокский муниципальный район,2016,1.0
1607000,Быстроистокский муниципальный район,2017,1.0
1607405,Быстроистокский сельсовет,2007,1.0
1607405,Быстроистокский сельсовет,2008,1.0
1607405,Быстроистокский сельсовет,2009,1.0
1607405,Быстроистокский сельсовет,2010,1.0
1607405,Быстроистокский сельсовет,2011,1.0
1607405,Быстроистокский сельсовет,2012,1.0
1607405,Быстроистокский сельсовет,2013,1.0
1607405,Быстроистокский сельсовет,2014,1.0
1607405,Быстроистокский сельсовет,2015,1.0
1607405,Быстроистокский сельсовет,2016,1.0
1607405,Быстроистокский сельсовет,2017,1.0
1608000,Волчихинский муниципальный район,2007,1.0
1608000,Волчихинский муниципальный район,2008,1.0
1608000,Волчихинский муниципальный район,2009,1.0
1608000,Волчихинский муниципальный район,2010,1.0
1608000,Волчихинский муниципальный район,2011,1.0
1608000,Волчихинский муниципальный район,2012,1.0
1608000,Волчихинский муниципальный район,2013,1.0
1608000,Волчихинский муниципальный район,2014,1.0
1608000,Волчихинский муниципальный район,2015,1.0
1608000,Волчихинский муниципальный район,2016,1.0
1608000,Волчихинский муниципальный район,2017,1.0
1608421,Волчихинский сельсовет,2007,1.0
1608421,Волчихинский сельсовет,2008,1.0
1608421,Волчихинский сельсовет,2009,1.0
1608421,Волчихинский сельсовет,2010,1.0
1608421,Волчихинский сельсовет,2011,1.0
1608421,Волчихинский сельсовет,2012,1.0
1608421,Волчихинский сельсовет,2013,1.0
1608421,Волчихинский сельсовет,2014,1.0
1608421,Волчихинский сельсовет,2015,1.0
1608421,Волчихинский сельсовет,2016,1.0
1608421,Волчихинский сельсовет,2017,1.0
1609000,Егорьевский муниципальный район,2007,1.0
1609000,Егорьевский муниципальный район,2008,1.0
1609000,Егорьевский муниципальный район,2009,1.0
1609000,Егорьевский муниципальный район,2010,1.0
1609000,Егорьевский муниципальный район,2011,1.0
1609000,Егорьевский муниципальный район,2012,1.0
1609000,Егорьевский муниципальный район,2013,1.0
1609000,Егорьевский муниципальный район,2014,1.0
1609000,Егорьевский муниципальный район,2015,1.0
1609000,Егорьевский муниципальный район,2016,1.0
1609000,Егорьевский муниципальный район,2017,1.0
1609433,Новоегорьевский сельсовет,2007,1.0
1609433,Новоегорьевский сельсовет,2008,1.0
1609433,Новоегорьевский сельсовет,2009,1.0
1609433,Новоегорьевский сельсовет,2010,1.0
1609433,Новоегорьевский сельсовет,2011,1.0
1609433,Новоегорьевский сельсовет,2012,1.0
1609433,Новоегорьевский сельсовет,2013,1.0
1609433,Новоегорьевский сельсовет,2014,1.0
1609433,Новоегорьевский сельсовет,2015,1.0
1609433,Новоегорьевский сельсовет,2016,1.0
1609433,Новоегорьевский сельсовет,2017,1.0
1610000,Ельцовский муниципальный район,2007,1.0
1610000,Ельцовский муниципальный район,2008,1.0
1610000,Ельцовский муниципальный район,2009,1.0
1610000,Ельцовский муниципальный район,2010,1.0
1610000,Ельцовский муниципальный район,2011,1.0
1610000,Ельцовский муниципальный район,2012,1.0
1610000,Ельцовский муниципальный район,2013,1.0
1610000,Ельцовский муниципальный район,2014,1.0
1610000,Ельцовский муниципальный район,2015,1.0
1610000,Ельцовский муниципальный район,2016,1.0
1610000,Ельцовский муниципальный район,2017,1.0
1610422,Ельцовский сельсовет,2007,1.0
1610422,Ельцовский сельсовет,2008,1.0
1610422,Ельцовский сельсовет,2009,1.0
1610422,Ельцовский сельсовет,2010,1.0
1610422,Ельцовский сельсовет,2011,1.0
1610422,Ельцовский сельсовет,2012,1.0
1610422,Ельцовский сельсовет,2013,1.0
1610422,Ельцовский сельсовет,2014,1.0
1610422,Ельцовский сельсовет,2015,1.0
1610422,Ельцовский сельсовет,2016,1.0
1610422,Ельцовский сельсовет,2017,1.0
1611000,Завьяловский муниципальный район,2007,1.0
1611000,Завьяловский муниципальный район,2008,1.0
1611000,Завьяловский муниципальный район,2009,1.0
1611000,Завьяловский муниципальный район,2010,1.0
1611000,Завьяловский муниципальный район,2011,1.0
1611000,Завьяловский муниципальный район,2012,1.0
1611000,Завьяловский муниципальный район,2013,1.0
1611000,Завьяловский муниципальный район,2014,1.0
1611000,Завьяловский муниципальный район,2015,1.0
1611000,Завьяловский муниципальный район,2016,1.0
1611000,Завьяловский муниципальный район,2017,1.0
1611434,Завьяловский сельсовет,2007,1.0
1611434,Завьяловский сельсовет,2008,1.0
1611434,Завьяловский сельсовет,2009,1.0
1611434,Завьяловский сельсовет,2010,1.0
1611434,Завьяловский сельсовет,2011,1.0
1611434,Завьяловский сельсовет,2012,1.0
1611434,Завьяловский сельсовет,2013,1.0
1611434,Завьяловский сельсовет,2014,1.0
1611434,Завьяловский сельсовет,2015,1.0
1611434,Завьяловский сельсовет,2016,1.0
1611434,Завьяловский сельсовет,2017,1.0
1612000,Залесовский муниципальный район,2007,1.0
1612000,Залесовский муниципальный район,2008,1.0
1612000,Залесовский муниципальный район,2009,1.0
1612000,Залесовский муниципальный район,2010,1.0
1612000,Залесовский муниципальный район,2011,1.0
1612000,Залесовский муниципальный район,2012,1.0
1612000,Залесовский муниципальный район,2013,1.0
1612000,Залесовский муниципальный район,2014,1.0
1612000,Залесовский муниципальный район,2015,1.0
1612000,Залесовский муниципальный район,2016,1.0
1612000,Залесовский муниципальный район,2017,1.0
1612426,Залесовский сельсовет,2007,1.0
1612426,Залесовский сельсовет,2008,1.0
1612426,Залесовский сельсовет,2009,1.0
1612426,Залесовский сельсовет,2010,1.0
1612426,Залесовский сельсовет,2011,1.0
1612426,Залесовский сельсовет,2012,1.0
1612426,Залесовский сельсовет,2013,1.0
1612426,Залесовский сельсовет,2014,1.0
1612426,Залесовский сельсовет,2015,1.0
1612426,Залесовский сельсовет,2016,1.0
1612426,Залесовский сельсовет,2017,1.0
1613000,Заринский муниципальный район,2007,1.0
1613000,Заринский муниципальный район,2008,1.0
1613000,Заринский муниципальный район,2009,1.0
1613000,Заринский муниципальный район,2010,1.0
1613000,Заринский муниципальный район,2011,1.0
1613000,Заринский муниципальный район,2012,1.0
1613000,Заринский муниципальный район,2013,1.0
1613000,Заринский муниципальный район,2014,1.0
1613000,Заринский муниципальный район,2015,1.0
1613000,Заринский муниципальный район,2016,1.0
1613000,Заринский муниципальный район,2017,1.0
1613428,Голухинский сельсовет,2007,1.0
1613428,Голухинский сельсовет,2008,1.0
1613428,Голухинский сельсовет,2009,1.0
1613428,Голухинский сельсовет,2010,1.0
1613428,Голухинский сельсовет,2011,1.0
1613428,Голухинский сельсовет,2012,1.0
1613428,Голухинский сельсовет,2013,1.0
1613428,Голухинский сельсовет,2014,1.0
1613428,Голухинский сельсовет,2015,1.0
1613428,Голухинский сельсовет,2016,1.0
1613428,Голухинский сельсовет,2017,1.0
1614000,Змеиногорский муниципальный район,2007,2.0
1614000,Змеиногорский муниципальный район,2008,2.0
1614000,Змеиногорский муниципальный район,2009,4.0
1614000,Змеиногорский муниципальный район,2010,4.0
1614000,Змеиногорский муниципальный район,2011,4.0
1614000,Змеиногорский муниципальный район,2012,4.0
1614000,Змеиногорский муниципальный район,2013,4.0
1614000,Змеиногорский муниципальный район,2014,4.0
1614000,Змеиногорский муниципальный район,2015,4.0
1614000,Змеиногорский муниципальный район,2016,1.0
1614000,Змеиногорский муниципальный район,2017,1.0
1614101,город Змеиногорск,2009,2.0
1614101,город Змеиногорск,2010,2.0
1614101,город Змеиногорск,2011,2.0
1614101,город Змеиногорск,2012,2.0
1614101,город Змеиногорск,2013,2.0
1614101,город Змеиногорск,2014,2.0
1614101,город Змеиногорск,2015,2.0
1614101,город Змеиногорск,2016,1.0
1614101,город Змеиногорск,2017,1.0
1614422,Барановский сельсовет,2007,1.0
1614422,Барановский сельсовет,2008,1.0
1614422,Барановский сельсовет,2009,1.0
1614422,Барановский сельсовет,2010,1.0
1614422,Барановский сельсовет,2011,1.0
1614422,Барановский сельсовет,2012,1.0
1614422,Барановский сельсовет,2013,1.0
1614422,Барановский сельсовет,2014,1.0
1614422,Барановский сельсовет,2015,1.0
1614433,Карамышевский сельсовет,2007,1.0
1614433,Карамышевский сельсовет,2008,1.0
1614433,Карамышевский сельсовет,2009,1.0
1614433,Карамышевский сельсовет,2010,1.0
1614433,Карамышевский сельсовет,2011,1.0
1614433,Карамышевский сельсовет,2012,1.0
1614433,Карамышевский сельсовет,2013,1.0
1614433,Карамышевский сельсовет,2014,1.0
1614433,Карамышевский сельсовет,2015,1.0
1615000,Калманский муниципальный район,2007,2.0
1615000,Калманский муниципальный район,2008,2.0
1615000,Калманский муниципальный район,2009,1.0
1615000,Калманский муниципальный район,2010,1.0
1615000,Калманский муниципальный район,2011,1.0
1615000,Калманский муниципальный район,2012,1.0
1615000,Калманский муниципальный район,2013,1.0
1615000,Калманский муниципальный район,2014,1.0
1615000,Калманский муниципальный район,2015,1.0
1615000,Калманский муниципальный район,2016,1.0
1615000,Калманский муниципальный район,2017,1.0
1615427,Калманский сельсовет,2007,1.0
1615427,Калманский сельсовет,2008,1.0
1615427,Калманский сельсовет,2009,1.0
1615427,Калманский сельсовет,2010,1.0
1615427,Калманский сельсовет,2011,1.0
1615427,Калманский сельсовет,2012,1.0
1615427,Калманский сельсовет,2013,1.0
1615427,Калманский сельсовет,2014,1.0
1615427,Калманский сельсовет,2015,1.0
1615427,Калманский сельсовет,2016,1.0
1615427,Калманский сельсовет,2017,1.0
1615457,Новоромановский сельсовет,2007,1.0
1615457,Новоромановский сельсовет,2008,1.0
1616000,Каменский муниципальный район,2007,7.0
1616000,Каменский муниципальный район,2008,7.0
1616000,Каменский муниципальный район,2009,6.0
1616000,Каменский муниципальный район,2010,1.0
1616000,Каменский муниципальный район,2011,1.0
1616000,Каменский муниципальный район,2012,1.0
1616000,Каменский муниципальный район,2013,1.0
1616000,Каменский муниципальный район,2014,1.0
1616000,Каменский муниципальный район,2015,1.0
1616000,Каменский муниципальный район,2016,5.0
1616000,Каменский муниципальный район,2017,1.0
1616101,г Камень-на-Оби,2016,4.0
1616101,г Камень-на-Оби,2017,1.0
1616417,Гоноховский сельсовет,2007,1.0
1616417,Гоноховский сельсовет,2008,1.0
1616417,Гоноховский сельсовет,2009,1.0
1616437,Корниловский сельсовет,2007,1.0
1616437,Корниловский сельсовет,2008,1.0
1616437,Корниловский сельсовет,2009,1.0
1616461,Новоярковский сельсовет,2007,2.0
