oktmo,name,year,theatres
01659000,Шипуновский муниципальный район,2012,0.0
01701000,город Барнаул,2007,5.0
01701000,город Барнаул,2008,4.0
01701000,город Барнаул,2009,4.0
01701000,город Барнаул,2010,4.0
01701000,город Барнаул,2011,4.0
01701000,город Барнаул,2012,4.0
01701000,город Барнаул,2013,4.0
01701000,город Барнаул,2014,4.0
01701000,город Барнаул,2015,4.0
01701000,город Барнаул,2016,4.0
01701000,город Барнаул,2017,4.0
01705000,город Бийск,2007,1.0
01705000,город Бийск,2008,1.0
01705000,город Бийск,2009,1.0
01705000,город Бийск,2010,1.0
01705000,город Бийск,2011,1.0
01705000,город Бийск,2012,1.0
01705000,город Бийск,2013,1.0
01705000,город Бийск,2014,1.0
01705000,город Бийск,2015,1.0
01705000,город Бийск,2016,1.0
01705000,город Бийск,2017,1.0
01713000,город Новоалтайск,2012,0.0
01716000,город Рубцовск,2007,2.0
01716000,город Рубцовск,2008,2.0
01716000,город Рубцовск,2009,2.0
01716000,город Рубцовск,2010,2.0
01716000,город Рубцовск,2011,2.0
01716000,город Рубцовск,2012,2.0
01716000,город Рубцовск,2013,1.0
01716000,город Рубцовск,2014,1.0
01716000,город Рубцовск,2015,1.0
01716000,город Рубцовск,2016,1.0
01716000,город Рубцовск,2017,1.0
01719000,город Славгород,2012,0.0
03643000,Северский муниципальный район,2017,0.0
03655000,Туапсинский муниципальный район,2008,1.0
03655000,Туапсинский муниципальный район,2009,1.0
03655000,Туапсинский муниципальный район,2010,1.0
03655000,Туапсинский муниципальный район,2011,1.0
03655000,Туапсинский муниципальный район,2012,1.0
03655000,Туапсинский муниципальный район,2013,1.0
03655000,Туапсинский муниципальный район,2014,1.0
03655000,Туапсинский муниципальный район,2015,1.0
03655000,Туапсинский муниципальный район,2016,1.0
03655000,Туапсинский муниципальный район,2017,1.0
03655101,Туапсинское,2008,1.0
03655101,Туапсинское,2009,1.0
03655101,Туапсинское,2010,1.0
03655101,Туапсинское,2011,1.0
03655101,Туапсинское,2012,1.0
03655101,Туапсинское,2013,1.0
03655101,Туапсинское,2014,1.0
03655101,Туапсинское,2015,1.0
03655101,Туапсинское,2016,1.0
03655101,Туапсинское,2017,1.0
03701000,город Краснодар,2007,3.0
03701000,город Краснодар,2008,4.0
03701000,город Краснодар,2009,4.0
03701000,город Краснодар,2010,4.0
03701000,город Краснодар,2011,4.0
03701000,город Краснодар,2012,4.0
03701000,город Краснодар,2013,3.0
03701000,город Краснодар,2014,3.0
03701000,город Краснодар,2015,3.0
03701000,город Краснодар,2016,5.0
03701000,город Краснодар,2017,6.0
03705000,город Армавир,2007,1.0
03705000,город Армавир,2008,1.0
03705000,город Армавир,2009,1.0
03705000,город Армавир,2010,1.0
03705000,город Армавир,2011,1.0
03705000,город Армавир,2012,1.0
03705000,город Армавир,2013,1.0
03705000,город Армавир,2014,1.0
03705000,город Армавир,2015,1.0
03705000,город Армавир,2016,1.0
03705000,город Армавир,2017,1.0
03732000,город Туапсе,2007,1.0
04601434,Покровский сельсовет,2012,0.0
04601434,Покровский сельсовет,2013,0.0
04601443,Туровский сельсовет,2013,0.0
04606000,Бирилюсский муниципальный район,2012,0.0
04606000,Бирилюсский муниципальный район,2013,0.0
04610000,Большемуртинский муниципальный район,2011,0.0
04610000,Большемуртинский муниципальный район,2012,0.0
04610000,Большемуртинский муниципальный район,2013,0.0
04610000,Большемуртинский муниципальный район,2014,0.0
04610000,Большемуртинский муниципальный район,2015,0.0
04610410,Еловский сельсовет,2014,0.0
04610410,Еловский сельсовет,2015,0.0
04619000,Ирбейский муниципальный район,2014,0.0
04619000,Ирбейский муниципальный район,2015,0.0
04620000,Казачинский муниципальный район,2013,0.0
04621000,Канский муниципальный район,2015,0.0
04635000,Мотыгинский муниципальный район,2007,1.0
04635000,Мотыгинский муниципальный район,2008,1.0
04635000,Мотыгинский муниципальный район,2009,1.0
04635000,Мотыгинский муниципальный район,2010,1.0
04635000,Мотыгинский муниципальный район,2011,1.0
04635000,Мотыгинский муниципальный район,2012,1.0
04635000,Мотыгинский муниципальный район,2013,1.0
04635000,Мотыгинский муниципальный район,2014,1.0
04635000,Мотыгинский муниципальный район,2015,1.0
04635000,Мотыгинский муниципальный район,2016,1.0
04635000,Мотыгинский муниципальный район,2017,1.0
04635151,поселок Мотыгино,2007,1.0
04635151,поселок Мотыгино,2008,1.0
04635151,поселок Мотыгино,2009,1.0
04635151,поселок Мотыгино,2010,1.0
04635151,поселок Мотыгино,2011,1.0
04635151,поселок Мотыгино,2012,1.0
04635151,поселок Мотыгино,2013,1.0
04635151,поселок Мотыгино,2014,1.0
04635151,поселок Мотыгино,2015,1.0
04635151,поселок Мотыгино,2016,1.0
04635151,поселок Мотыгино,2017,1.0
04639000,Нижнеингашский муниципальный район,2011,0.0
04639000,Нижнеингашский муниципальный район,2013,0.0
04648000,Саянский муниципальный район,2015,0.0
04648428,Нагорновский сельсовет,2015,0.0
04652000,Тасеевский муниципальный район,2012,0.0
04652000,Тасеевский муниципальный район,2013,0.0
04655000,Тюхтетский муниципальный район,2012,0.0
04655406,Двинский сельсовет,2014,0.0
04655407,Зареченский сельсовет,2015,0.0
04656101,город Ужур,2014,0.0
04656101,город Ужур,2015,0.0
04656419,Малоимышский сельсовет,2011,0.0
04656419,Малоимышский сельсовет,2012,0.0
04658000,Шарыповский муниципальный район,2015,0.0
04658420,Холмогорский сельсовет,2011,0.0
04658420,Холмогорский сельсовет,2012,0.0
04658420,Холмогорский сельсовет,2013,0.0
04701000,город Красноярск,2007,7.0
04701000,город Красноярск,2008,5.0
04701000,город Красноярск,2009,5.0
04701000,город Красноярск,2010,5.0
04701000,город Красноярск,2011,5.0
04701000,город Красноярск,2012,5.0
04701000,город Красноярск,2013,5.0
04701000,город Красноярск,2014,5.0
04701000,город Красноярск,2015,5.0
04701000,город Красноярск,2016,5.0
04701000,город Красноярск,2017,5.0
04703000,город Ачинск,2007,1.0
04703000,город Ачинск,2008,1.0
04703000,город Ачинск,2009,1.0
04703000,город Ачинск,2010,1.0
04703000,город Ачинск,2011,1.0
04703000,город Ачинск,2012,1.0
04703000,город Ачинск,2013,1.0
04703000,город Ачинск,2014,1.0
04703000,город Ачинск,2015,1.0
04703000,город Ачинск,2016,1.0
04703000,город Ачинск,2017,1.0
04706000,город Боготол,2011,0.0
04706000,город Боготол,2012,0.0
04706000,город Боготол,2013,0.0
04706000,город Боготол,2014,0.0
04707000,город Бородино,2014,0.0
04707000,город Бородино,2015,0.0
04720000,город Канск,2007,1.0
04720000,город Канск,2008,1.0
04720000,город Канск,2009,1.0
04720000,город Канск,2010,1.0
04720000,город Канск,2011,1.0
04720000,город Канск,2012,1.0
04720000,город Канск,2013,1.0
04720000,город Канск,2014,1.0
04720000,город Канск,2015,1.0
04720000,город Канск,2016,1.0
04720000,город Канск,2017,1.0
04722000,город Лесосибирск,2007,1.0
04722000,город Лесосибирск,2008,1.0
04722000,город Лесосибирск,2009,1.0
04722000,город Лесосибирск,2010,1.0
04722000,город Лесосибирск,2011,1.0
04722000,город Лесосибирск,2012,1.0
04722000,город Лесосибирск,2013,1.0
04722000,город Лесосибирск,2014,1.0
04722000,город Лесосибирск,2015,1.0
04722000,город Лесосибирск,2016,1.0
04722000,город Лесосибирск,2017,1.0
04723000,город Минусинск,2007,1.0
04723000,город Минусинск,2008,1.0
04723000,город Минусинск,2009,1.0
04723000,город Минусинск,2010,1.0
04723000,город Минусинск,2011,1.0
04723000,город Минусинск,2012,1.0
04723000,город Минусинск,2013,1.0
04723000,город Минусинск,2014,1.0
04723000,город Минусинск,2015,1.0
04723000,город Минусинск,2016,1.0
04723000,город Минусинск,2017,1.0
04726000,город Назарово,2011,0.0
04729000,город Норильск,2007,1.0
04729000,город Норильск,2008,1.0
04729000,город Норильск,2009,1.0
04729000,город Норильск,2010,1.0
04729000,город Норильск,2011,1.0
04729000,город Норильск,2012,1.0
04729000,город Норильск,2013,1.0
04729000,город Норильск,2014,1.0
04729000,город Норильск,2015,1.0
04729000,город Норильск,2016,1.0
04729000,город Норильск,2017,1.0
04733000,город Сосновоборск,2009,0.0
04733000,город Сосновоборск,2010,0.0
04733000,город Сосновоборск,2011,0.0
04733000,город Сосновоборск,2014,0.0
04733000,город Сосновоборск,2015,0.0
04740000,город Шарыпово,2007,1.0
04740000,город Шарыпово,2008,1.0
04740000,город Шарыпово,2009,1.0
04740000,город Шарыпово,2010,1.0
04740000,город Шарыпово,2011,1.0
04740000,город Шарыпово,2012,1.0
04740000,город Шарыпово,2013,1.0
04740000,город Шарыпово,2014,1.0
04740000,город Шарыпово,2015,1.0
04740000,город Шарыпово,2016,1.0
04740000,город Шарыпово,2017,1.0
05610000,Кавалеровский муниципальный район,2013,
05610151,Кавалеровское,2013,
05626154,Липовецкое,2013,
05630000,Партизанский муниципальный район,2013,
05630000,Партизанский муниципальный район,2014,0.0
05630402,Владимиро-Александровское,2013,
05630402,Владимиро-Александровское,2014,0.0
05630404,Екатериновское,2013,
05630404,Екатериновское,2014,0.0
05630406,Золотодолинское,2013,
05630410,Новицкое,2013,
05630410,Новицкое,2014,0.0
05630413,Новолитовское,2014,0.0
05630419,Сергеевское,2013,
05630419,Сергеевское,2014,0.0
05637000,Спасский муниципальный район,2014,0.0
05650000,Хорольский муниципальный район,2014,0.0
05650156,Ярославское,2014,0.0
05701000,Владивостокский,2007,5.0
05701000,Владивостокский,2008,4.0
05701000,Владивостокский,2009,4.0
05701000,Владивостокский,2010,4.0
05701000,Владивостокский,2011,4.0
05701000,Владивостокский,2012,4.0
05701000,Владивостокский,2013,5.0
05701000,Владивостокский,2014,5.0
05701000,Владивостокский,2015,5.0
05701000,Владивостокский,2016,5.0
05701000,Владивостокский,2017,5.0
05705000,Артемовский,2013,
05705000,Артемовский,2014,0.0
05707000,Дальнегорский,2013,
05707000,Дальнегорский,2014,0.0
05708000,Дальнереченский,2013,
05714000,Находкинский,2007,1.0
05714000,Находкинский,2008,1.0
05714000,Находкинский,2009,1.0
05714000,Находкинский,2010,1.0
05714000,Находкинский,2011,1.0
05714000,Находкинский,2012,1.0
05714000,Находкинский,2013,1.0
05714000,Находкинский,2014,1.0
05714000,Находкинский,2015,1.0
05714000,Находкинский,2016,1.0
05714000,Находкинский,2017,1.0
05717000,Партизанский,2013,
05717000,Партизанский,2014,0.0
05723000,Уссурийский,2007,2.0
05723000,Уссурийский,2008,2.0
05723000,Уссурийский,2009,2.0
05723000,Уссурийский,2010,2.0
05723000,Уссурийский,2011,2.0
05723000,Уссурийский,2012,2.0
05723000,Уссурийский,2013,2.0
05723000,Уссурийский,2014,2.0
05723000,Уссурийский,2015,2.0
05723000,Уссурийский,2016,2.0
05723000,Уссурийский,2017,2.0
07602402,Александровский сельсовет,2016,0.0
07602404,село Грушевское,2016,0.0
07602407,Калиновский сельсовет,2016,0.0
07602410,Круглолесский сельсовет,2016,0.0
07602413,Новокавказский сельсовет,2016,0.0
07602416,Саблинский сельсовет,2016,0.0
07602419,село Северное,2016,0.0
07602422,Средненский сельсовет,2016,0.0
07605402,Айгурский сельсовет,2016,0.0
07605404,село Апанасенковское,2016,0.0
07605407,село Белые Копани,2016,0.0
07605410,село Воздвиженское,2016,0.0
07605413,село Вознесеновское,2016,0.0
07605416,Дербетовский сельсовет,2016,0.0
07605419,село Дивное,2016,0.0
07605422,село Киевка,2016,0.0
07605422,село Киевка,2017,0.0
07605425,село Малая Джалга,2016,0.0
07605425,село Малая Джалга,2017,0.0
07605428,село Манычское,2016,0.0
07605431,село Рагули,2016,0.0
07607402,Арзгирский сельсовет,2016,0.0
07607403,село Каменная Балка,2016,0.0
07607404,Новоромановский сельсовет,2016,0.0
07607407,село Петропавловское,2016,0.0
07607410,село Родниковское,2016,0.0
07607413,село Садовое,2016,0.0
07607416,село Серафимовское,2016,0.0
07607422,Чограйский сельсовет,2016,0.0
07610101,город Благодарный,2016,0.0
07610101,город Благодарный,2017,0.0
07610402,Александрийский сельсовет,2016,0.0
07610404,село Алексеевское,2016,0.0
07610406,хутор Большевик,2016,0.0
07610407,село Бурлацкое,2016,0.0
07610410,село Елизаветинское,2016,0.0
07610413,Каменнобалковский сельсовет,2016,0.0
07610416,Красноключевский сельсовет,2016,0.0
07610417,село Мирное,2016,0.0
07610419,село Сотниковское,2016,0.0
07610422,село Спасское,2016,0.0
07610425,Ставропольский сельсовет,2016,0.0
07610427,село Шишкино,2016,0.0
07610428,аул Эдельбай,2016,0.0
07612101,город Будённовск,2016,0.0
07612101,город Будённовск,2017,0.0
07612402,село Архангельское,2016,0.0
07612402,село Архангельское,2017,0.0
07612404,Архиповский сельсовет,2016,0.0
07612404,Архиповский сельсовет,2017,0.0
07612407,Искровский сельсовет,2016,0.0
07612407,Искровский сельсовет,2017,0.0
07612409,Краснооктябрьский сельсовет,2014,0.0
07612409,Краснооктябрьский сельсовет,2016,0.0
07612409,Краснооктябрьский сельсовет,2017,0.0
07612410,Новожизненский сельсовет,2016,0.0
07612410,Новожизненский сельсовет,2017,0.0
07612413,Орловский сельсовет,2016,0.0
07612413,Орловский сельсовет,2017,0.0
07612416,Покойненский сельсовет,2016,0.0
07612416,Покойненский сельсовет,2017,0.0
07612419,село Прасковея,2016,0.0
07612419,село Прасковея,2017,0.0
07612420,Преображенский сельсовет,2016,0.0
07612420,Преображенский сельсовет,2017,0.0
07612422,Стародубский сельсовет,2014,0.0
07612422,Стародубский сельсовет,2016,0.0
07612422,Стародубский сельсовет,2017,0.0
07612425,Терский сельсовет,2016,0.0
07612425,Терский сельсовет,2017,0.0
07612427,село Толстово-Васюковское,2014,0.0
07612427,село Толстово-Васюковское,2016,0.0
07612427,село Толстово-Васюковское,2017,0.0
07612429,Томузловский сельсовет,2016,0.0
07612429,Томузловский сельсовет,2017,0.0
07615402,Александрийский сельсовет,2016,0.0
07615403,Балковский сельсовет,2016,0.0
07615404,станица Георгиевская,2013,0.0
07615404,станица Георгиевская,2014,0.0
07615404,станица Георгиевская,2016,0.0
07615406,село Краснокумское,2016,0.0
07615408,Крутоярский сельсовет,2016,0.0
07615410,станица Лысогорская,2016,0.0
07615413,Незлобненский сельсовет,2014,0.0
07615413,Незлобненский сельсовет,2016,0.0
07615415,посёлок Новый,2016,0.0
07615416,село Новозаведенное,2014,0.0
07615416,село Новозаведенное,2016,0.0
07615419,село Обильное,2014,0.0
07615419,село Обильное,2016,0.0
07615422,станица Подгорная,2016,0.0
07615425,Ульяновский сельсовет,2013,0.0
07615425,Ульяновский сельсовет,2014,0.0
07615425,Ульяновский сельсовет,2016,0.0
07615428,Урухский сельсовет,2014,0.0
07615428,Урухский сельсовет,2016,0.0
07615431,Шаумяновский сельсовет,2014,0.0
07615431,Шаумяновский сельсовет,2016,0.0
07617401,село Бешпагир,2016,0.0
07617404,Грачёвский сельсовет,2016,0.0
07617404,Грачёвский сельсовет,2017,0.0
07617407,Красный сельсовет,2016,0.0
07617410,Кугультинский сельсовет,2016,0.0
07617413,Сергиевский сельсовет,2016,0.0
07617416,Спицевский сельсовет,2016,0.0
07617419,Старомарьевский сельсовет,2016,0.0
07617422,село Тугулук,2016,0.0
07620101,город Изобильный,2016,0.0
07620101,город Изобильный,2017,0.0
07620153,посёлок Рыздвяный,2016,0.0
07620155,посёлок Солнечнодольск,2016,0.0
07620402,станица Баклановская,2016,0.0
07620404,Каменнобродский сельсовет,2016,0.0
07620407,Московский сельсовет,2016,0.0
07620409,Новоизобильненский сельсовет,2016,0.0
07620410,станица Новотроицкая,2016,0.0
07620412,Передовой сельсовет,2016,0.0
07620413,Подлужненский сельсовет,2016,0.0
07620414,село Птичье,2016,0.0
07620416,Рождественский сельсовет,2016,0.0
07620418,хутор Спорный,2016,0.0
07620419,Староизобильненский сельсовет,2016,0.0
07620422,село Тищенское,2016,0.0
07622101,город Ипатово,2008,0.0
07622101,город Ипатово,2016,0.0
07622101,город Ипатово,2017,0.0
07622402,Большевистский сельсовет,2016,0.0
07622402,Большевистский сельсовет,2017,0.0
07622404,село Большая Джалга,2016,0.0
07622404,село Большая Джалга,2017,0.0
07622407,село Бурукшун,2016,0.0
07622407,село Бурукшун,2017,0.0
07622410,Винодельненский сельсовет,2016,0.0
07622410,Винодельненский сельсовет,2017,0.0
07622413,Добровольно-Васильевский сельсовет,2016,0.0
07622413,Добровольно-Васильевский сельсовет,2017,0.0
07622416,Золотарёвский сельсовет,2016,0.0
07622416,Золотарёвский сельсовет,2017,0.0
07622422,Кевсалинский сельсовет,2016,0.0
07622422,Кевсалинский сельсовет,2017,0.0
07622425,Красочный сельсовет,2016,0.0
07622425,Красочный сельсовет,2017,0.0
