oktmo,name,year,visiblecompanies
1601000,Алейский муниципальный район,2010,5.0
1601000,Алейский муниципальный район,2011,4.0
1601000,Алейский муниципальный район,2012,7.0
1601000,Алейский муниципальный район,2013,4.0
1601000,Алейский муниципальный район,2014,4.0
1601000,Алейский муниципальный район,2015,4.0
1601000,Алейский муниципальный район,2016,4.0
1601000,Алейский муниципальный район,2018,3.0
1601000,Алейский муниципальный район,2019,3.0
1601000,Алейский муниципальный район,2020,3.0
1602000,Алтайский муниципальный район,2009,17.0
1602000,Алтайский муниципальный район,2010,18.0
1602000,Алтайский муниципальный район,2011,15.0
1602000,Алтайский муниципальный район,2012,16.0
1602000,Алтайский муниципальный район,2013,12.0
1602000,Алтайский муниципальный район,2014,11.0
1602000,Алтайский муниципальный район,2015,9.0
1602000,Алтайский муниципальный район,2016,7.0
1602000,Алтайский муниципальный район,2017,7.0
1602000,Алтайский муниципальный район,2018,7.0
1602000,Алтайский муниципальный район,2019,7.0
1602000,Алтайский муниципальный район,2020,9.0
1602000,Алтайский муниципальный район,2021,8.0
1602000,Алтайский муниципальный район,2022,7.0
1602407,Алтайский сельсовет,2016,5.0
1603000,Баевский муниципальный район,2009,8.0
1603000,Баевский муниципальный район,2010,6.0
1603000,Баевский муниципальный район,2011,4.0
1603000,Баевский муниципальный район,2012,5.0
1603000,Баевский муниципальный район,2013,5.0
1603000,Баевский муниципальный район,2014,6.0
1603000,Баевский муниципальный район,2015,4.0
1603000,Баевский муниципальный район,2020,3.0
1604000,Бийский муниципальный район,2009,23.0
1604000,Бийский муниципальный район,2010,20.0
1604000,Бийский муниципальный район,2011,17.0
1604000,Бийский муниципальный район,2012,14.0
1604000,Бийский муниципальный район,2013,14.0
1604000,Бийский муниципальный район,2014,13.0
1604000,Бийский муниципальный район,2015,12.0
1604000,Бийский муниципальный район,2016,9.0
1604000,Бийский муниципальный район,2017,8.0
1604000,Бийский муниципальный район,2018,8.0
1604000,Бийский муниципальный район,2019,9.0
1604000,Бийский муниципальный район,2020,10.0
1604000,Бийский муниципальный район,2021,9.0
1604000,Бийский муниципальный район,2022,10.0
1605000,Благовещенский муниципальный район,2009,22.0
1605000,Благовещенский муниципальный район,2010,20.0
1605000,Благовещенский муниципальный район,2011,15.0
1605000,Благовещенский муниципальный район,2012,14.0
1605000,Благовещенский муниципальный район,2013,14.0
1605000,Благовещенский муниципальный район,2014,10.0
1605000,Благовещенский муниципальный район,2015,9.0
1605000,Благовещенский муниципальный район,2016,8.0
1605000,Благовещенский муниципальный район,2017,7.0
1605000,Благовещенский муниципальный район,2018,7.0
1605000,Благовещенский муниципальный район,2019,8.0
1605000,Благовещенский муниципальный район,2020,10.0
1605000,Благовещенский муниципальный район,2021,10.0
1605000,Благовещенский муниципальный район,2022,10.0
1606000,Бурлинский муниципальный район,2009,10.0
1606000,Бурлинский муниципальный район,2010,10.0
1606000,Бурлинский муниципальный район,2011,9.0
1606000,Бурлинский муниципальный район,2012,7.0
1606000,Бурлинский муниципальный район,2013,8.0
1606000,Бурлинский муниципальный район,2014,5.0
1606000,Бурлинский муниципальный район,2015,5.0
1606000,Бурлинский муниципальный район,2016,4.0
1606000,Бурлинский муниципальный район,2017,4.0
1606000,Бурлинский муниципальный район,2018,3.0
1606000,Бурлинский муниципальный район,2019,3.0
1606000,Бурлинский муниципальный район,2020,4.0
1606000,Бурлинский муниципальный район,2021,3.0
1606000,Бурлинский муниципальный район,2022,3.0
1606411,Бурлинский сельсовет,2016,3.0
1607000,Быстроистокский муниципальный район,2009,5.0
1607000,Быстроистокский муниципальный район,2010,4.0
1607000,Быстроистокский муниципальный район,2011,4.0
1607000,Быстроистокский муниципальный район,2012,3.0
1607000,Быстроистокский муниципальный район,2013,3.0
1607000,Быстроистокский муниципальный район,2014,3.0
1608000,Волчихинский муниципальный район,2009,7.0
1608000,Волчихинский муниципальный район,2010,7.0
1608000,Волчихинский муниципальный район,2011,7.0
1608000,Волчихинский муниципальный район,2012,6.0
1608000,Волчихинский муниципальный район,2013,5.0
1608000,Волчихинский муниципальный район,2014,5.0
1608000,Волчихинский муниципальный район,2015,4.0
1608000,Волчихинский муниципальный район,2016,4.0
1608000,Волчихинский муниципальный район,2017,4.0
1608000,Волчихинский муниципальный район,2018,6.0
1608000,Волчихинский муниципальный район,2019,6.0
1608000,Волчихинский муниципальный район,2020,7.0
1608000,Волчихинский муниципальный район,2021,5.0
1608000,Волчихинский муниципальный район,2022,5.0
1608421,Волчихинский сельсовет,2016,4.0
1609000,Егорьевский муниципальный район,2009,7.0
1609000,Егорьевский муниципальный район,2010,7.0
1609000,Егорьевский муниципальный район,2011,6.0
1609000,Егорьевский муниципальный район,2012,3.0
1609000,Егорьевский муниципальный район,2013,3.0
1609000,Егорьевский муниципальный район,2014,3.0
1609000,Егорьевский муниципальный район,2015,3.0
1609000,Егорьевский муниципальный район,2016,3.0
1609000,Егорьевский муниципальный район,2017,3.0
1609000,Егорьевский муниципальный район,2018,3.0
1609000,Егорьевский муниципальный район,2019,3.0
1609000,Егорьевский муниципальный район,2020,4.0
1609000,Егорьевский муниципальный район,2021,4.0
1609000,Егорьевский муниципальный район,2022,3.0
1610000,Ельцовский муниципальный район,2009,2.0
1610000,Ельцовский муниципальный район,2010,2.0
1610000,Ельцовский муниципальный район,2011,2.0
1610000,Ельцовский муниципальный район,2012,1.0
1610000,Ельцовский муниципальный район,2013,1.0
1610000,Ельцовский муниципальный район,2018,4.0
1611000,Завьяловский муниципальный район,2009,14.0
1611000,Завьяловский муниципальный район,2010,13.0
1611000,Завьяловский муниципальный район,2011,12.0
1611000,Завьяловский муниципальный район,2012,12.0
1611000,Завьяловский муниципальный район,2013,10.0
1611000,Завьяловский муниципальный район,2014,9.0
1611000,Завьяловский муниципальный район,2015,8.0
1611000,Завьяловский муниципальный район,2016,8.0
1611000,Завьяловский муниципальный район,2017,8.0
1611000,Завьяловский муниципальный район,2018,8.0
1611000,Завьяловский муниципальный район,2019,8.0
1611000,Завьяловский муниципальный район,2020,8.0
1611000,Завьяловский муниципальный район,2021,8.0
1611000,Завьяловский муниципальный район,2022,8.0
1611434,Завьяловский сельсовет,2016,3.0
1612000,Залесовский муниципальный район,2009,6.0
1612000,Залесовский муниципальный район,2010,5.0
1612000,Залесовский муниципальный район,2011,6.0
1612000,Залесовский муниципальный район,2012,6.0
1612000,Залесовский муниципальный район,2013,8.0
1612000,Залесовский муниципальный район,2014,5.0
