oktmo,name,year,inflow
01601000,Алейский муниципальный район,2010,520.0
01602000,Алтайский муниципальный район,2010,1007.0
01603000,Баевский муниципальный район,2010,87.0
01604000,Бийский муниципальный район,2010,879.0
01605000,Благовещенский муниципальный район,2010,479.0
01605151,Благовещенский поссовет,2010,215.0
01605157,Степноозёрский поссовет,2010,31.0
01606000,Бурлинский муниципальный район,2010,259.0
01607000,Быстроистокский муниципальный район,2010,164.0
01608000,Волчихинский муниципальный район,2010,183.0
01609000,Егорьевский муниципальный район,2010,329.0
01610000,Ельцовский муниципальный район,2010,182.0
01611000,Завьяловский муниципальный район,2010,414.0
01612000,Залесовский муниципальный район,2010,293.0
01613000,Заринский муниципальный район,2010,395.0
01614000,Змеиногорский муниципальный район,2010,489.0
01614101,город Змеиногорск,2010,252.0
01615000,Калманский муниципальный район,2010,123.0
01616000,Каменский муниципальный район,2010,415.0
01617000,Ключевский муниципальный район,2010,218.0
01618000,Косихинский муниципальный район,2010,226.0
01619000,Красногорский муниципальный район,2010,273.0
01620000,Краснощёковский муниципальный район,2010,267.0
01621000,Крутихинский муниципальный район,2010,147.0
01622000,Кулундинский муниципальный район,2010,617.0
01623000,Курьинский муниципальный район,2010,156.0
01624000,Кытмановский муниципальный район,2010,285.0
01625000,Локтевский муниципальный район,2010,365.0
01625101,город Горняк,2010,196.0
01626000,Мамонтовский муниципальный район,2010,457.0
01627000,Михайловский муниципальный район,2010,356.0
01627154,Малиновоозёрский поссовет,2010,61.0
01628000,Новичихинский муниципальный район,2010,249.0
01629000,Зональный муниципальный район,2010,475.0
01630000,Павловский муниципальный район,2010,897.0
01631000,Панкрушихинский муниципальный район,2010,203.0
01632000,Первомайский муниципальный район,2010,1186.0
01633000,Петропавловский муниципальный район,2010,254.0
01634000,Поспелихинский муниципальный район,2010,305.0
01635000,Ребрихинский муниципальный район,2010,380.0
01636000,Родинский муниципальный район,2010,397.0
01637000,Романовский муниципальный район,2010,220.0
01638000,Рубцовский муниципальный район,2010,693.0
01639000,Славгородский муниципальный район,2010,458.0
01640000,Смоленский муниципальный район,2010,490.0
01641000,Суетский муниципальный район,2010,114.0
01642000,Советский муниципальный район,2010,393.0
01643000,Солонешенский муниципальный район,2010,114.0
01644000,Солтонский муниципальный район,2010,141.0
01645000,Шелаболихинский муниципальный район,2010,287.0
01646000,Табунский муниципальный район,2010,197.0
01647000,Тальменский муниципальный район,2010,1065.0
01647151,Тальменский поссовет,2010,517.0
01648000,Тогульский муниципальный район,2010,235.0
01649000,Топчихинский муниципальный район,2010,374.0
01650000,Третьяковский муниципальный район,2010,266.0
01651000,Троицкий муниципальный район,2010,566.0
01652000,Тюменцевский муниципальный район,2010,180.0
01653000,Угловский муниципальный район,2010,296.0
01654000,Усть-Калманский муниципальный район,2010,227.0
01655000,Усть-Пристанский муниципальный район,2010,115.0
01656000,Хабарский муниципальный район,2010,348.0
01657000,Целинный муниципальный район,2010,313.0
01658000,Чарышский муниципальный район,2010,182.0
01659000,Шипуновский муниципальный район,2010,522.0
01660000,Немецкий национальный муниципальный район,2010,372.0
01701000,город Барнаул,2010,11370.0
01703000,город Алейск,2010,845.0
01704000,город Белокуриха,2010,173.0
01705000,город Бийск,2010,2660.0
01706000,город Заринск,2010,1006.0
01710000,город Камень-на-Оби,2010,705.0
01713000,город Новоалтайск,2010,1571.0
01716000,город Рубцовск,2010,2465.0
01719000,город Славгород,2010,913.0
01730000,город Яровое,2010,416.0
03601000,Абинский муниципальный район,2010,1722.0
03605000,Апшеронский муниципальный район,2010,2071.0
03607000,Белоглинский муниципальный район,2010,451.0
03608000,Белореченский муниципальный район,2010,1710.0
03610000,Брюховецкий муниципальный район,2010,464.0
03612000,Выселковский муниципальный район,2010,998.0
03613000,Гулькевичский муниципальный район,2010,1542.0
03614000,Динской муниципальный район,2010,1917.0
03616000,Ейский муниципальный район,2010,1733.0
03618000,Кавказский муниципальный район,2010,1998.0
03619000,Калининский муниципальный район,2010,637.0
03620000,Каневской муниципальный район,2010,1066.0
03621000,Кореновский муниципальный район,2010,1412.0
03623000,Красноармейский муниципальный район,2010,1713.0
03624000,Крыловский муниципальный район,2010,386.0
03625000,Крымский муниципальный район,2010,2628.0
03627000,Курганинский муниципальный район,2010,3025.0
03628000,Кущевский муниципальный район,2010,996.0
03630000,Лабинский муниципальный район,2010,1443.0
03632000,Ленинградский муниципальный район,2010,977.0
03633000,Мостовский муниципальный район,2010,916.0
03634000,Новокубанский муниципальный район,2010,1199.0
03635000,Новопокровский муниципальный район,2010,392.0
03637000,Отрадненский муниципальный район,2010,989.0
03639000,Павловский муниципальный район,2010,919.0
03641000,Приморско-Ахтарский муниципальный район,2010,1186.0
03643000,Северский муниципальный район,2010,1463.0
03645000,Славянский муниципальный район,2010,1678.0
03647000,Староминский муниципальный район,2010,463.0
03649000,Тбилисский муниципальный район,2010,591.0
03651000,Темрюкский муниципальный район,2010,1682.0
03653000,Тимашевский муниципальный район,2010,2466.0
03654000,Тихорецкий муниципальный район,2010,1496.0
03655000,Туапсинский муниципальный район,2010,1878.0
03656000,Успенский муниципальный район,2010,441.0
03657000,Усть-Лабинский муниципальный район,2010,1227.0
03659000,Щербиновский муниципальный район,2010,426.0
03701000,город Краснодар,2010,13718.0
03703000,город-курорт Анапа,2010,3777.0
03705000,город Армавир,2010,2399.0
03708000,город-курорт Геленджик,2010,2076.0
03709000,город Горячий Ключ,2010,1458.0
03720000,город Новороссийск,2010,5623.0
03726000,город-курорт Сочи,2010,7014.0
04601000,Абанский муниципальный район,2010,299.0
04603000,Ачинский муниципальный район,2010,667.0
04604000,Балахтинский муниципальный район,2010,382.0
04604151,поселок Балахта,2010,84.0
04605000,Березовский муниципальный район,2010,672.0
04605151,поселок Березовка,2010,251.0
04606000,Бирилюсский муниципальный район,2010,125.0
04606154,поселок Рассвет,2010,53.0
04608000,Боготольский муниципальный район,2010,59.0
04609000,Богучанский муниципальный район,2010,663.0
04610000,Большемуртинский муниципальный район,2010,480.0
04610151,поселок Большая Мурта,2010,145.0
04610155,поселок Предивинск,2010,37.0
04611000,Большеулуйский муниципальный район,2010,159.0
04613000,Дзержинский муниципальный район,2010,234.0
04614000,Емельяновский муниципальный район,2010,1491.0
04614151,поселок Емельяново,2010,348.0
04614156,поселок Памяти 13 Борцов,2010,145.0
04615000,Енисейский муниципальный район,2010,191.0
04615155,поселок Подтесово,2010,19.0
04616000,Ермаковский муниципальный район,2010,391.0
04617000,Идринский муниципальный район,2010,225.0
04618000,Иланский муниципальный район,2010,382.0
04618101,город Иланский,2010,222.0
04619000,Ирбейский муниципальный район,2010,319.0
04620000,Казачинский муниципальный район,2010,206.0
04621000,Канский муниципальный район,2010,460.0
04622000,Каратузский муниципальный район,2010,311.0
04624000,Кежемский муниципальный район,2010,969.0
04624101,город Кодинск,2010,822.0
04626000,Козульский муниципальный район,2010,467.0
04626151,поселок Козулька,2010,174.0
04626154,поселок Новочернореченский,2010,117.0
04628000,Краснотуранский муниципальный район,2010,333.0
04630000,Курагинский муниципальный район,2010,1352.0
04630102,город Артемовск,2010,37.0
04630151,поселок Курагино,2010,329.0
04630152,поселок Большая Ирба,2010,129.0
04630153,поселок Кошурниково,2010,92.0
04630154,поселок Краснокаменск,2010,100.0
04630156,поселок Чибижек,2010,7.0
04631000,Манский муниципальный район,2010,273.0
04633000,Минусинский муниципальный район,2010,636.0
04635000,Мотыгинский муниципальный район,2010,408.0
04635151,поселок Мотыгино,2010,101.0
04635154,поселок Раздолинск,2010,42.0
04635157,поселок Южно-Енисейск,2010,19.0
04637000,Назаровский муниципальный район,2010,527.0
04639000,Нижнеингашский муниципальный район,2010,489.0
04639151,поселок Нижний Ингаш,2010,98.0
04639154,поселок Нижняя Пойма,2010,69.0
04639157,поселок Поканаевский,2010,13.0
04639160,поселок Тинской,2010,154.0
04641000,Новоселовский муниципальный район,2010,259.0
04643000,Партизанский муниципальный район,2010,216.0
04645000,Пировский муниципальный район,2010,150.0
04647000,Рыбинский муниципальный район,2010,874.0
04647101,город Заозерный,2010,274.0
04647155,поселок Ирша,2010,61.0
04647160,поселок Саянский,2010,52.0
04647165,поселок Урал,2010,40.0
04648000,Саянский муниципальный район,2010,233.0
04649000,Северо-Енисейский муниципальный район,2010,187.0
04650000,Эвенкийский муниципальный район,2010,273.0
04650402,поселок Тура,2010,170.0
04650405,село Байкит,2010,56.0
04650471,поселок Стрелка-Чуня,2010,47.0
04651000,Сухобузимский муниципальный район,2010,411.0
04652000,Тасеевский муниципальный район,2010,101.0
04653000,Таймырский Долгано-Ненецкий муниципальный район,2010,768.0
04653101,Дудинка,2010,667.0
04653155,Диксон,2010,32.0
04653417,Караул,2010,16.0
04653419,Хатанга,2010,53.0
04654000,Туруханский муниципальный район,2010,234.0
04654117,город Игарка,2010,78.0
04654156,поселок Светлогорск,2010,17.0
04655000,Тюхтетский муниципальный район,2010,128.0
04656000,Ужурский муниципальный район,2010,443.0
04656101,город Ужур,2010,271.0
04657000,Уярский муниципальный район,2010,403.0
04657101,город Уяр,2010,218.0
04658000,Шарыповский муниципальный район,2010,693.0
04659000,Шушенский муниципальный район,2010,1072.0
04659151,поселок Шушенское,2010,480.0
04701000,город Красноярск,2010,24717.0
04703000,город Ачинск,2010,1412.0
04706000,город Боготол,2010,150.0
04707000,город Бородино,2010,403.0
04709000,город Дивногорск,2010,863.0
04712000,город Енисейск,2010,385.0
04720000,город Канск,2010,1121.0
04722000,город Лесосибирск,2010,1230.0
04723000,город Минусинск,2010,1662.0
04726000,город Назарово,2010,843.0
04729000,город Норильск,2010,4348.0
04733000,город Сосновоборск,2010,1274.0
04740000,город Шарыпово,2010,1560.0
04775000,поселок Кедровый,2010,274.0
05602000,Анучинский муниципальный район,2010,552.0
05607000,Дальнереченский муниципальный район,2010,118.0
05610000,Кавалеровский муниципальный район,2010,577.0
05612000,Кировский муниципальный район,2010,349.0
05614000,Красноармейский муниципальный район,2010,246.0
05617000,Лазовский муниципальный район,2010,81.0
05620000,Михайловский муниципальный район,2010,527.0
05623000,Надеждинский муниципальный район,2010,575.0
05626000,Октябрьский муниципальный район,2010,554.0
05628000,Ольгинский муниципальный район,2010,76.0
05630000,Партизанский муниципальный район,2010,567.0
05632000,Пограничный муниципальный район,2010,320.0
05634000,Пожарский муниципальный район,2010,544.0
05637000,Спасский муниципальный район,2010,560.0
05640000,Тернейский муниципальный район,2010,133.0
05646000,Ханкайский муниципальный район,2010,186.0
05648000,Хасанский муниципальный район,2010,607.0
05650000,Хорольский муниципальный район,2010,484.0
05653000,Черниговский муниципальный район,2010,844.0
05655000,Чугуевский муниципальный район,2010,75.0
05657000,Шкотовский муниципальный район,2010,602.0
05659000,Яковлевский муниципальный район,2010,421.0
05701000,Владивостокский,2010,5186.0
05703000,Арсеньевский,2010,774.0
05705000,Артемовский,2010,1549.0
05707000,Дальнегорский,2010,583.0
05708000,Дальнереченский,2010,398.0
05711000,Лесозаводский,2010,707.0
05714000,Находкинский,2010,1085.0
05717000,Партизанский,2010,737.0
05720000,Спасск-Дальний,2010,750.0
05723000,Уссурийский,2010,2381.0
07602000,Александровский муниципальный район,2010,469.0
07605000,Апанасенковский муниципальный район,2010,376.0
07607000,Арзгирский муниципальный район,2010,324.0
07610000,Благодарненский муниципальный район,2010,260.0
07610101,город Благодарный,2010,260.0
07612000,Будённовский муниципальный район,2010,1031.0
07615000,Георгиевский муниципальный район,2010,1280.0
07617000,Грачёвский муниципальный район,2010,703.0
07620000,Изобильненский муниципальный район,2010,793.0
07620101,город Изобильный,2010,585.0
07620153,посёлок Рыздвяный,2010,86.0
07620155,посёлок Солнечнодольск,2010,122.0
07622000,Ипатовский муниципальный район,2010,396.0
07622101,город Ипатово,2010,396.0
07625000,Кировский муниципальный район,2010,343.0
07625101,город Новопавловск,2010,343.0
07628000,Кочубеевский муниципальный район,2010,1172.0
07630000,Красногвардейский муниципальный район,2010,352.0
