oktmo,name,year,inflow
08701000,город Хабаровск,2011,1226.0
22602000,Ардатовский муниципальный район,2011,2.0
22602000,Ардатовский муниципальный район,2011,4.0
22602000,Ардатовский муниципальный район,2011,6.0
22603000,Арзамасский муниципальный район,2011,2.0
22603000,Арзамасский муниципальный район,2011,71.0
22603000,Арзамасский муниципальный район,2011,73.0
22605000,Балахнинский муниципальный район,2011,54.0
22605000,Балахнинский муниципальный район,2011,8.0
22605000,Балахнинский муниципальный район,2011,62.0
22607000,Богородский муниципальный район,2011,43.0
22607000,Богородский муниципальный район,2011,80.0
22607000,Богородский муниципальный район,2011,123.0
22609000,Большеболдинский муниципальный район,2011,1.0
22610000,Большемурашкинский муниципальный район,2011,23.0
22610000,Большемурашкинский муниципальный район,2011,15.0
22610000,Большемурашкинский муниципальный район,2011,38.0
22612000,Бутурлинский муниципальный район,2011,9.0
22612000,Бутурлинский муниципальный район,2011,7.0
22612000,Бутурлинский муниципальный район,2011,16.0
22614000,Вадский муниципальный район,2011,1.0
22615000,Варнавинский муниципальный район,2011,4.0
22615000,Варнавинский муниципальный район,2011,7.0
22615000,Варнавинский муниципальный район,2011,11.0
22617000,Вачский муниципальный район,2011,3.0
22618000,Ветлужский муниципальный район,2011,3.0
22618000,Ветлужский муниципальный район,2011,9.0
22618000,Ветлужский муниципальный район,2011,12.0
22619000,Вознесенский муниципальный район,2011,5.0
22619000,Вознесенский муниципальный район,2011,4.0
22619000,Вознесенский муниципальный район,2011,9.0
22621000,Воротынский муниципальный район,2011,4.0
22621000,Воротынский муниципальный район,2011,1.0
22621000,Воротынский муниципальный район,2011,5.0
22622000,Воскресенский муниципальный район,2011,12.0
22622000,Воскресенский муниципальный район,2011,26.0
22622000,Воскресенский муниципальный район,2011,38.0
22626000,Гагинский муниципальный район,2011,1.0
22628000,Городецкий муниципальный район,2011,77.0
22628000,Городецкий муниципальный район,2011,33.0
22628000,Городецкий муниципальный район,2011,110.0
22630000,Дальнеконстантиновский муниципальный район,2011,2.0
22630000,Дальнеконстантиновский муниципальный район,2011,35.0
22630000,Дальнеконстантиновский муниципальный район,2011,37.0
22631000,Володарский муниципальный район,2011,30.0
22631000,Володарский муниципальный район,2011,64.0
22631000,Володарский муниципальный район,2011,94.0
22632000,Дивеевский муниципальный район,2011,18.0
22633000,Княгининский муниципальный район,2011,21.0
22633000,Княгининский муниципальный район,2011,9.0
22633000,Княгининский муниципальный район,2011,30.0
22634000,Ковернинский муниципальный район,2011,17.0
22634000,Ковернинский муниципальный район,2011,2.0
22634000,Ковернинский муниципальный район,2011,19.0
22635000,Краснобаковский муниципальный район,2011,6.0
22635000,Краснобаковский муниципальный район,2011,1.0
22635000,Краснобаковский муниципальный район,2011,7.0
22636000,Краснооктябрьский муниципальный район,2011,14.0
22637000,Кстовский муниципальный район,2011,79.0
22637000,Кстовский муниципальный район,2011,99.0
22637000,Кстовский муниципальный район,2011,178.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,3.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,2.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,5.0
22639000,Лукояновский муниципальный район,2011,6.0
22639000,Лукояновский муниципальный район,2011,7.0
22639000,Лукояновский муниципальный район,2011,13.0
22640000,Лысковский муниципальный район,2011,14.0
22640000,Лысковский муниципальный район,2011,24.0
22640000,Лысковский муниципальный район,2011,38.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,19.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,7.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,26.0
22642000,Павловский муниципальный район,2011,57.0
22642000,Павловский муниципальный район,2011,7.0
