oktmo,name,year,outflow
01601000,Алейский муниципальный район,2019,5.0
01601402,Алейский сельсовет,2019,3.0
01601432,Кашинский сельсовет,2019,1.0
01601485,Урюпинский сельсовет,2019,1.0
01602000,Алтайский муниципальный район,2019,3.0
01602407,Алтайский сельсовет,2019,2.0
01602423,Куяганский сельсовет,2019,1.0
01604000,Бийский муниципальный район,2019,32.0
01604410,Большеугреневский сельсовет,2019,2.0
01604415,Верх-Бехтемирский сельсовет,2019,2.0
01604417,Верх-Катунский сельсовет,2019,3.0
01604422,Енисейский сельсовет,2019,1.0
01604424,Заринский сельсовет,2019,3.0
01604459,Малоугреневский сельсовет,2019,4.0
01604470,Первомайский сельсовет,2019,6.0
01604480,Светлоозёрский сельсовет,2019,2.0
01604483,Сростинский сельсовет,2019,1.0
01604488,Усятский сельсовет,2019,3.0
01604495,Шебалинский сельсовет,2019,5.0
01605000,Благовещенский муниципальный район,2019,26.0
01605151,Благовещенский поссовет,2019,12.0
01605157,Степноозёрский поссовет,2019,1.0
01605420,Гляденьский сельсовет,2019,2.0
01605436,Леньковский сельсовет,2019,4.0
01605452,Николаевский сельсовет,2019,1.0
01605458,Орлеанский сельсовет,2019,2.0
01605494,Яготинский сельсовет,2019,4.0
01606000,Бурлинский муниципальный район,2019,21.0
01606411,Бурлинский сельсовет,2019,7.0
01606422,Михайловский сельсовет,2019,3.0
01606444,Новосельский сельсовет,2019,4.0
01606455,Ореховский сельсовет,2019,1.0
01606466,Партизанский сельсовет,2019,3.0
01606477,Устьянский сельсовет,2019,3.0
01607000,Быстроистокский муниципальный район,2019,1.0
01607455,Хлеборобный сельсовет,2019,1.0
01608000,Волчихинский муниципальный район,2019,18.0
01608421,Волчихинский сельсовет,2019,18.0
01609000,Егорьевский муниципальный район,2019,15.0
01609411,Кругло-Семенцовский сельсовет,2019,3.0
01609428,Малошелковниковский сельсовет,2019,1.0
01609433,Новоегорьевский сельсовет,2019,10.0
01609455,Сростинский сельсовет,2019,1.0
01611000,Завьяловский муниципальный район,2019,11.0
01611416,Глубоковский сельсовет,2019,1.0
01611423,Гоноховский сельсовет,2019,1.0
01611434,Завьяловский сельсовет,2019,3.0
01611445,Камышенский сельсовет,2019,3.0
01611456,Малиновский сельсовет,2019,1.0
01611469,Светловский сельсовет,2019,1.0
01611489,Чистоозёрский сельсовет,2019,1.0
01612000,Залесовский муниципальный район,2019,14.0
01612412,Борисовский сельсовет,2019,1.0
01612426,Залесовский сельсовет,2019,10.0
01612459,Пещерский сельсовет,2019,2.0
01612492,Шатуновский сельсовет,2019,1.0
01613000,Заринский муниципальный район,2019,3.0
01613488,Тягунский сельсовет,2019,1.0
01613494,Шпагинский сельсовет,2019,2.0
01614000,Змеиногорский муниципальный район,2019,26.0
01614101,город Змеиногорск,2019,21.0
01614422,Барановский сельсовет,2019,1.0
01614433,Карамышевский сельсовет,2019,2.0
01614444,Кузьминский сельсовет,2019,2.0
01615000,Калманский муниципальный район,2019,2.0
01615427,Калманский сельсовет,2019,2.0
01616000,Каменский муниципальный район,2019,50.0
01616101,г Камень-на-Оби,2019,33.0
01616437,Корниловский сельсовет,2019,5.0
