oktmo,name,year,saldo
1601000,Алейский муниципальный район,2018,7.0
1601423,Дубровский сельсовет,2018,0.0
1601426,Заветильичёвский сельсовет,2018,0.0
1603000,Баевский муниципальный район,2018,3.0
1604000,Бийский муниципальный район,2018,-27.0
1604415,Верх-Бехтемирский сельсовет,2018,-2.0
1604417,Верх-Катунский сельсовет,2018,-2.0
1604422,Енисейский сельсовет,2018,-2.0
1604424,Заринский сельсовет,2018,-3.0
1604437,Лесной сельсовет,2018,-1.0
1604455,Малоенисейский сельсовет,2018,-3.0
1604459,Малоугреневский сельсовет,2018,3.0
1604470,Первомайский сельсовет,2018,-2.0
1604483,Сростинский сельсовет,2018,0.0
1604488,Усятский сельсовет,2018,-7.0
1604495,Шебалинский сельсовет,2018,6.0
1605000,Благовещенский муниципальный район,2018,-22.0
1605151,Благовещенский поссовет,2018,-12.0
1605157,Степноозёрский поссовет,2018,4.0
1605420,Гляденьский сельсовет,2018,-10.0
1605436,Леньковский сельсовет,2018,-1.0
1605447,Нижнекучукский сельсовет,2018,1.0
1605456,Новокулундинский сельсовет,2018,1.0
1605458,Орлеанский сельсовет,2018,-3.0
1605483,Шимолинский сельсовет,2018,2.0
1605494,Яготинский сельсовет,2018,4.0
1606000,Бурлинский муниципальный район,2018,-6.0
1606411,Бурлинский сельсовет,2018,0.0
1606455,Ореховский сельсовет,2018,-1.0
1608000,Волчихинский муниципальный район,2018,4.0
1608421,Волчихинский сельсовет,2018,5.0
1608478,Солоновский сельсовет,2018,-1.0
1609000,Егорьевский муниципальный район,2018,-2.0
1609411,Кругло-Семенцовский сельсовет,2018,1.0
1609433,Новоегорьевский сельсовет,2018,-5.0
1609455,Сростинский сельсовет,2018,0.0
1610000,Ельцовский муниципальный район,2018,0.0
1611000,Завьяловский муниципальный район,2018,-7.0
1611423,Гоноховский сельсовет,2018,1.0
1611434,Завьяловский сельсовет,2018,-5.0
1612000,Залесовский муниципальный район,2018,-1.0
1612426,Залесовский сельсовет,2018,2.0
1613000,Заринский муниципальный район,2018,14.0
1613428,Голухинский сельсовет,2018,0.0
1613461,Новозыряновский сельсовет,2018,0.0
1613474,Смазневский сельсовет,2018,1.0
1613487,Стародраченинский сельсовет,2018,2.0
1613492,Хмелевский сельсовет,2018,0.0
1614000,Змеиногорский муниципальный район,2018,19.0
1614101,город Змеиногорск,2018,16.0
1615000,Калманский муниципальный район,2018,-1.0
1615457,Новоромановский сельсовет,2018,2.0
1616000,Каменский муниципальный район,2018,-17.0
1616101,г Камень-на-Оби,2018,-23.0
1616437,Корниловский сельсовет,2018,1.0
1616461,Новоярковский сельсовет,2018,0.0
1616482,Рыбинский сельсовет,2018,-1.0
1616486,Столбовский сельсовет,2018,0.0
1616490,Телеутский сельсовет,2018,5.0
1617000,Ключевский муниципальный район,2018,-9.0
1617415,Истимисский сельсовет,2018,-1.0
1617424,Ключевский сельсовет,2018,-3.0
1617468,Покровский сельсовет,2018,0.0
1617479,Северский сельсовет,2018,0.0
1619000,Красногорский муниципальный район,2018,3.0
1619407,Быстрянский сельсовет,2018,1.0
1620000,Краснощёковский муниципальный район,2018,5.0
1620481,Харловский сельсовет,2018,0.0
1621000,Крутихинский муниципальный район,2018,7.0
1621430,Крутихинский сельсовет,2018,2.0
1622000,Кулундинский муниципальный район,2018,79.0
1622411,Ананьевский сельсовет,2018,0.0
1622433,Воздвиженский сельсовет,2018,7.0
1622455,Константиновский сельсовет,2018,2.0
1622460,Кулундинский сельсовет,2018,69.0
1622466,Курский сельсовет,2018,0.0
1622472,Мирабилитский сельсовет,2018,-1.0
1622477,Октябрьский сельсовет,2018,6.0
1622488,Семёновский сельсовет,2018,-3.0
