oktmo,name,year,outflow
08701000,город Хабаровск,2011,7928.0
22602000,Ардатовский муниципальный район,2011,124.0
22602000,Ардатовский муниципальный район,2011,138.0
22602000,Ардатовский муниципальный район,2011,262.0
22603000,Арзамасский муниципальный район,2011,32.0
22603000,Арзамасский муниципальный район,2011,168.0
22603000,Арзамасский муниципальный район,2011,200.0
22605000,Балахнинский муниципальный район,2011,284.0
22605000,Балахнинский муниципальный район,2011,47.0
22605000,Балахнинский муниципальный район,2011,331.0
22607000,Богородский муниципальный район,2011,143.0
22607000,Богородский муниципальный район,2011,180.0
22607000,Богородский муниципальный район,2011,323.0
22609000,Большеболдинский муниципальный район,2011,99.0
22610000,Большемурашкинский муниципальный район,2011,38.0
22610000,Большемурашкинский муниципальный район,2011,50.0
22610000,Большемурашкинский муниципальный район,2011,88.0
22612000,Бутурлинский муниципальный район,2011,21.0
22612000,Бутурлинский муниципальный район,2011,52.0
22612000,Бутурлинский муниципальный район,2011,73.0
22614000,Вадский муниципальный район,2011,79.0
22615000,Варнавинский муниципальный район,2011,13.0
22615000,Варнавинский муниципальный район,2011,38.0
22615000,Варнавинский муниципальный район,2011,51.0
22617000,Вачский муниципальный район,2011,34.0
22617000,Вачский муниципальный район,2011,104.0
22617000,Вачский муниципальный район,2011,138.0
22618000,Ветлужский муниципальный район,2011,101.0
22618000,Ветлужский муниципальный район,2011,64.0
22618000,Ветлужский муниципальный район,2011,165.0
22619000,Вознесенский муниципальный район,2011,29.0
22619000,Вознесенский муниципальный район,2011,88.0
22619000,Вознесенский муниципальный район,2011,117.0
22621000,Воротынский муниципальный район,2011,30.0
22621000,Воротынский муниципальный район,2011,87.0
22621000,Воротынский муниципальный район,2011,117.0
22622000,Воскресенский муниципальный район,2011,28.0
22622000,Воскресенский муниципальный район,2011,79.0
22622000,Воскресенский муниципальный район,2011,107.0
22626000,Гагинский муниципальный район,2011,87.0
22628000,Городецкий муниципальный район,2011,267.0
22628000,Городецкий муниципальный район,2011,86.0
22628000,Городецкий муниципальный район,2011,353.0
22630000,Дальнеконстантиновский муниципальный район,2011,71.0
22630000,Дальнеконстантиновский муниципальный район,2011,60.0
22630000,Дальнеконстантиновский муниципальный район,2011,131.0
22631000,Володарский муниципальный район,2011,263.0
22631000,Володарский муниципальный район,2011,481.0
22631000,Володарский муниципальный район,2011,744.0
22632000,Дивеевский муниципальный район,2011,177.0
22633000,Княгининский муниципальный район,2011,10.0
22633000,Княгининский муниципальный район,2011,43.0
22633000,Княгининский муниципальный район,2011,53.0
22634000,Ковернинский муниципальный район,2011,26.0
22634000,Ковернинский муниципальный район,2011,73.0
22634000,Ковернинский муниципальный район,2011,99.0
22635000,Краснобаковский муниципальный район,2011,71.0
22635000,Краснобаковский муниципальный район,2011,50.0
22635000,Краснобаковский муниципальный район,2011,121.0
22636000,Краснооктябрьский муниципальный район,2011,205.0
22637000,Кстовский муниципальный район,2011,187.0
22637000,Кстовский муниципальный район,2011,202.0
22637000,Кстовский муниципальный район,2011,389.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,329.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,130.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,459.0
22639000,Лукояновский муниципальный район,2011,91.0
22639000,Лукояновский муниципальный район,2011,77.0
22639000,Лукояновский муниципальный район,2011,168.0
22640000,Лысковский муниципальный район,2011,87.0
22640000,Лысковский муниципальный район,2011,105.0
22640000,Лысковский муниципальный район,2011,192.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,135.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,70.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,205.0
22642000,Павловский муниципальный район,2011,209.0
22642000,Павловский муниципальный район,2011,55.0
22642000,Павловский муниципальный район,2011,264.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2011,30.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2011,89.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2011,119.0
22645000,Пильнинский муниципальный район,2011,47.0
22645000,Пильнинский муниципальный район,2011,157.0
22645000,Пильнинский муниципальный район,2011,204.0
22646000,Починковский муниципальный район,2011,197.0
22648000,Сергачский муниципальный район,2011,89.0
22648000,Сергачский муниципальный район,2011,107.0
22648000,Сергачский муниципальный район,2011,196.0
22649000,Сеченовский муниципальный район,2011,122.0
22650000,Сосновский муниципальный район,2011,13.0
22650000,Сосновский муниципальный район,2011,34.0
22650000,Сосновский муниципальный район,2011,47.0
22651000,Спасский муниципальный район,2011,47.0
22652000,Тонкинский муниципальный район,2011,38.0
22652000,Тонкинский муниципальный район,2011,76.0
22653000,Тоншаевский муниципальный район,2011,91.0
22653000,Тоншаевский муниципальный район,2011,55.0
22653000,Тоншаевский муниципальный район,2011,146.0
22654000,Уренский муниципальный район,2011,79.0
22654000,Уренский муниципальный район,2011,84.0
22654000,Уренский муниципальный район,2011,163.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2011,68.0
