oktmo,name,year,inflow
01601000,Алейский муниципальный район,2013,856.0
01601402,Алейский сельсовет,2013,110.0
01601404,Александровский сельсовет,2013,21.0
01601408,Безголосовский сельсовет,2013,22.0
01601413,Большепанюшевский сельсовет,2013,33.0
01601417,Боровской сельсовет,2013,72.0
01601419,Ветельский сельсовет,2013,10.0
01601420,Дружбинский сельсовет,2013,67.0
01601423,Дубровский сельсовет,2013,33.0
01601426,Заветильичёвский сельсовет,2013,108.0
01601430,Кабаковский сельсовет,2013,16.0
01601432,Кашинский сельсовет,2013,46.0
01601438,Кировский сельсовет,2013,37.0
01601440,Краснопартизанский сельсовет,2013,15.0
01601460,Малиновский сельсовет,2013,3.0
01601464,Моховской сельсовет,2013,22.0
01601468,Осколковский сельсовет,2013,37.0
01601473,Плотавский сельсовет,2013,37.0
01601475,Савинский сельсовет,2013,22.0
01601477,Совхозный сельсовет,2013,37.0
01601485,Урюпинский сельсовет,2013,19.0
01601496,Фрунзенский сельсовет,2013,61.0
01601498,Чапаевский сельсовет,2013,28.0
01602000,Алтайский муниципальный район,2013,478.0
01602405,Айский сельсовет,2013,36.0
01602407,Алтайский сельсовет,2013,289.0
01602412,Беловский сельсовет,2013,1.0
01602423,Куяганский сельсовет,2013,19.0
01602427,Куячинский сельсовет,2013,8.0
01602435,Макарьевский сельсовет,2013,7.0
01602446,Нижнекаменский сельсовет,2013,37.0
01602457,Пролетарский сельсовет,2013,15.0
01602468,Россошинский сельсовет,2013,17.0
01602479,Старобелокурихинский сельсовет,2013,49.0
01603000,Баевский муниципальный район,2013,197.0
01603407,Баевский сельсовет,2013,73.0
01603416,Верх-Пайвинский сельсовет,2013,3.0
01603419,Верх-Чуманский сельсовет,2013,12.0
01603434,Нижнепайвинский сельсовет,2013,1.0
01603437,Нижнечуманский сельсовет,2013,38.0
01603455,Паклинский сельсовет,2013,21.0
01603458,Плотавский сельсовет,2013,17.0
01603469,Прослаухинский сельсовет,2013,17.0
01603480,Ситниковский сельсовет,2013,15.0
01604000,Бийский муниципальный район,2013,606.0
01604410,Большеугреневский сельсовет,2013,2.0
01604415,Верх-Бехтемирский сельсовет,2013,8.0
01604417,Верх-Катунский сельсовет,2013,8.0
01604422,Енисейский сельсовет,2013,12.0
01604424,Заринский сельсовет,2013,31.0
01604434,Калининский сельсовет,2013,1.0
01604437,Лесной сельсовет,2013,105.0
01604455,Малоенисейский сельсовет,2013,47.0
01604459,Малоугреневский сельсовет,2013,41.0
01604464,Новиковский сельсовет,2013,26.0
01604470,Первомайский сельсовет,2013,216.0
01604480,Светлоозёрский сельсовет,2013,32.0
01604483,Сростинский сельсовет,2013,72.0
01604488,Усятский сельсовет,2013,5.0
01605000,Благовещенский муниципальный район,2013,700.0
01605151,Благовещенский поссовет,2013,368.0
01605157,Степноозёрский поссовет,2013,61.0
01605406,Алексеевский сельсовет,2013,14.0
01605420,Гляденьский сельсовет,2013,13.0
01605436,Леньковский сельсовет,2013,74.0
01605447,Нижнекучукский сельсовет,2013,29.0
01605452,Николаевский сельсовет,2013,16.0
01605456,Новокулундинский сельсовет,2013,33.0
01605458,Орлеанский сельсовет,2013,31.0
01605461,Суворовский сельсовет,2013,20.0
01605483,Шимолинский сельсовет,2013,20.0
01605494,Яготинский сельсовет,2013,21.0
01606000,Бурлинский муниципальный район,2013,263.0
01606411,Бурлинский сельсовет,2013,118.0
01606422,Михайловский сельсовет,2013,30.0
01606430,Новоандреевский сельсовет,2013,11.0
01606433,Новопесчанский сельсовет,2013,9.0
01606444,Новосельский сельсовет,2013,9.0
01606455,Ореховский сельсовет,2013,15.0
01606466,Партизанский сельсовет,2013,35.0
01606470,Рожковский сельсовет,2013,13.0
01606477,Устьянский сельсовет,2013,23.0
01607000,Быстроистокский муниципальный район,2013,274.0
01607403,Акутихинский сельсовет,2013,35.0
01607405,Быстроистокский сельсовет,2013,98.0
01607411,Верх-Ануйский сельсовет,2013,35.0
01607422,Верх-Озёрнинский сельсовет,2013,34.0
01607433,Новопокровский сельсовет,2013,23.0
01607437,Приобский сельсовет,2013,16.0
01607444,Усть-Ануйский сельсовет,2013,5.0
01607455,Хлеборобный сельсовет,2013,28.0
01608000,Волчихинский муниципальный район,2013,219.0
01608410,Берёзовский сельсовет,2013,12.0
01608414,Бор-Форпостовский сельсовет,2013,17.0
01608421,Волчихинский сельсовет,2013,98.0
01608423,Востровский сельсовет,2013,38.0
01608430,Коминтерновский сельсовет,2013,5.0
01608434,Малышево-Логовской сельсовет,2013,11.0
01608445,Новокормихинский сельсовет,2013,3.0
01608456,Пятковологовской сельсовет,2013,5.0
01608467,Селивёрстовский сельсовет,2013,7.0
01608478,Солоновский сельсовет,2013,10.0
01608489,Усть-Волчихинский сельсовет,2013,13.0
01609000,Егорьевский муниципальный район,2013,623.0
01609411,Кругло-Семенцовский сельсовет,2013,42.0
01609422,Лебяжинский сельсовет,2013,108.0
01609428,Малошелковниковский сельсовет,2013,54.0
01609433,Новоегорьевский сельсовет,2013,106.0
01609444,Первомайский сельсовет,2013,42.0
01609455,Сростинский сельсовет,2013,205.0
01609466,Титовский сельсовет,2013,33.0
01609490,Шубинский сельсовет,2013,33.0
01610000,Ельцовский муниципальный район,2013,115.0
01610422,Ельцовский сельсовет,2013,77.0
01610433,Мартыновский сельсовет,2013,23.0
01610444,Новокаменский сельсовет,2013,5.0
01610466,Пуштулимский сельсовет,2013,9.0
01610488,Черемшанский сельсовет,2013,1.0
01611000,Завьяловский муниципальный район,2013,486.0
01611411,Гилёвский сельсовет,2013,33.0
01611416,Глубоковский сельсовет,2013,41.0
01611423,Гоноховский сельсовет,2013,53.0
01611434,Завьяловский сельсовет,2013,165.0
01611445,Камышенский сельсовет,2013,25.0
01611456,Малиновский сельсовет,2013,40.0
01611467,Овечкинский сельсовет,2013,31.0
