oktmo,name,year,saldo
1601000,Алейский муниципальный район,2013,-86.0
1601402,Алейский сельсовет,2013,14.0
1601404,Александровский сельсовет,2013,-11.0
1601408,Безголосовский сельсовет,2013,6.0
1601413,Большепанюшевский сельсовет,2013,-8.0
1601417,Боровской сельсовет,2013,9.0
1601419,Ветельский сельсовет,2013,-21.0
1601420,Дружбинский сельсовет,2013,14.0
1601423,Дубровский сельсовет,2013,-44.0
1601426,Заветильичёвский сельсовет,2013,21.0
1601430,Кабаковский сельсовет,2013,-18.0
1601432,Кашинский сельсовет,2013,15.0
1601438,Кировский сельсовет,2013,-32.0
1601440,Краснопартизанский сельсовет,2013,0.0
1601460,Малиновский сельсовет,2013,-43.0
1601464,Моховской сельсовет,2013,-31.0
1601468,Осколковский сельсовет,2013,-7.0
1601473,Плотавский сельсовет,2013,26.0
1601475,Савинский сельсовет,2013,5.0
1601477,Совхозный сельсовет,2013,2.0
1601485,Урюпинский сельсовет,2013,-7.0
1601496,Фрунзенский сельсовет,2013,18.0
1601498,Чапаевский сельсовет,2013,6.0
1602000,Алтайский муниципальный район,2013,21.0
1602405,Айский сельсовет,2013,-3.0
1602407,Алтайский сельсовет,2013,53.0
1602412,Беловский сельсовет,2013,-5.0
1602423,Куяганский сельсовет,2013,10.0
1602427,Куячинский сельсовет,2013,-8.0
1602435,Макарьевский сельсовет,2013,-12.0
1602446,Нижнекаменский сельсовет,2013,-9.0
1602457,Пролетарский сельсовет,2013,-3.0
1602468,Россошинский сельсовет,2013,-6.0
1602479,Старобелокурихинский сельсовет,2013,4.0
1603000,Баевский муниципальный район,2013,-120.0
1603407,Баевский сельсовет,2013,-42.0
1603416,Верх-Пайвинский сельсовет,2013,-15.0
1603419,Верх-Чуманский сельсовет,2013,-3.0
1603434,Нижнепайвинский сельсовет,2013,-13.0
1603437,Нижнечуманский сельсовет,2013,-3.0
1603455,Паклинский сельсовет,2013,2.0
1603458,Плотавский сельсовет,2013,-38.0
1603469,Прослаухинский сельсовет,2013,-1.0
1603480,Ситниковский сельсовет,2013,-7.0
1604000,Бийский муниципальный район,2013,-278.0
1604410,Большеугреневский сельсовет,2013,-25.0
1604415,Верх-Бехтемирский сельсовет,2013,-10.0
1604417,Верх-Катунский сельсовет,2013,-71.0
1604422,Енисейский сельсовет,2013,-27.0
1604424,Заринский сельсовет,2013,-20.0
1604434,Калининский сельсовет,2013,-19.0
1604437,Лесной сельсовет,2013,61.0
1604455,Малоенисейский сельсовет,2013,-21.0
1604459,Малоугреневский сельсовет,2013,-35.0
1604464,Новиковский сельсовет,2013,-13.0
1604470,Первомайский сельсовет,2013,46.0
1604480,Светлоозёрский сельсовет,2013,-25.0
1604483,Сростинский сельсовет,2013,-16.0
1604488,Усятский сельсовет,2013,-60.0
1605000,Благовещенский муниципальный район,2013,-216.0
1605151,Благовещенский поссовет,2013,103.0
1605157,Степноозёрский поссовет,2013,-101.0
1605406,Алексеевский сельсовет,2013,-28.0
1605420,Гляденьский сельсовет,2013,-24.0
1605436,Леньковский сельсовет,2013,-32.0
1605447,Нижнекучукский сельсовет,2013,-2.0
1605452,Николаевский сельсовет,2013,-15.0
1605456,Новокулундинский сельсовет,2013,-36.0
1605458,Орлеанский сельсовет,2013,11.0
1605461,Суворовский сельсовет,2013,-19.0
1605483,Шимолинский сельсовет,2013,-50.0
1605494,Яготинский сельсовет,2013,-23.0
1606000,Бурлинский муниципальный район,2013,-88.0
1606411,Бурлинский сельсовет,2013,14.0
1606422,Михайловский сельсовет,2013,-12.0
1606430,Новоандреевский сельсовет,2013,-1.0
1606433,Новопесчанский сельсовет,2013,-20.0
1606444,Новосельский сельсовет,2013,-16.0
1606455,Ореховский сельсовет,2013,-4.0
1606466,Партизанский сельсовет,2013,-33.0
1606470,Рожковский сельсовет,2013,-11.0
1606477,Устьянский сельсовет,2013,-5.0
1607000,Быстроистокский муниципальный район,2013,-115.0
1607403,Акутихинский сельсовет,2013,-17.0
1607405,Быстроистокский сельсовет,2013,-55.0
1607411,Верх-Ануйский сельсовет,2013,-12.0
1607422,Верх-Озёрнинский сельсовет,2013,13.0
1607433,Новопокровский сельсовет,2013,-3.0
1607437,Приобский сельсовет,2013,-15.0
1607444,Усть-Ануйский сельсовет,2013,-6.0
1607455,Хлеборобный сельсовет,2013,-20.0
1608000,Волчихинский муниципальный район,2013,-259.0
1608410,Берёзовский сельсовет,2013,6.0
1608414,Бор-Форпостовский сельсовет,2013,0.0
1608421,Волчихинский сельсовет,2013,-144.0
1608423,Востровский сельсовет,2013,-10.0
1608430,Коминтерновский сельсовет,2013,-9.0
1608434,Малышево-Логовской сельсовет,2013,-18.0
1608445,Новокормихинский сельсовет,2013,-16.0
1608456,Пятковологовской сельсовет,2013,-11.0
1608467,Селивёрстовский сельсовет,2013,-27.0
1608478,Солоновский сельсовет,2013,-11.0
1608489,Усть-Волчихинский сельсовет,2013,-19.0
1609000,Егорьевский муниципальный район,2013,75.0
1609411,Кругло-Семенцовский сельсовет,2013,2.0
1609422,Лебяжинский сельсовет,2013,7.0
1609428,Малошелковниковский сельсовет,2013,10.0
1609433,Новоегорьевский сельсовет,2013,-33.0
1609444,Первомайский сельсовет,2013,-15.0
1609455,Сростинский сельсовет,2013,94.0
1609466,Титовский сельсовет,2013,-2.0
1609490,Шубинский сельсовет,2013,12.0
1610000,Ельцовский муниципальный район,2013,-23.0
1610422,Ельцовский сельсовет,2013,40.0
1610433,Мартыновский сельсовет,2013,-15.0
1610444,Новокаменский сельсовет,2013,-8.0
1610466,Пуштулимский сельсовет,2013,-10.0
1610488,Черемшанский сельсовет,2013,-9.0
1611000,Завьяловский муниципальный район,2013,-169.0
1611411,Гилёвский сельсовет,2013,-18.0
1611416,Глубоковский сельсовет,2013,-27.0
1611423,Гоноховский сельсовет,2013,-32.0
1611434,Завьяловский сельсовет,2013,-38.0
1611445,Камышенский сельсовет,2013,-11.0
1611456,Малиновский сельсовет,2013,7.0
1611467,Овечкинский сельсовет,2013,-1.0
1611469,Светловский сельсовет,2013,1.0
1611470,Тумановский сельсовет,2013,-11.0
1611478,Харитоновский сельсовет,2013,-15.0
1611486,Чернавский сельсовет,2013,-12.0
1611489,Чистоозёрский сельсовет,2013,-12.0
1612000,Залесовский муниципальный район,2013,-67.0
1612409,Большекалтайский сельсовет,2013,-16.0
1612412,Борисовский сельсовет,2013,-3.0
1612422,Думчевский сельсовет,2013,5.0
1612426,Залесовский сельсовет,2013,59.0
1612437,Кордонский сельсовет,2013,-14.0
1612459,Пещерский сельсовет,2013,-42.0
1612470,Тундрихинский сельсовет,2013,-54.0
1612481,Черёмушкинский сельсовет,2013,-13.0
1612492,Шатуновский сельсовет,2013,11.0
1613000,Заринский муниципальный район,2013,-228.0
1613406,Аламбайский сельсовет,2013,-6.0
1613420,Верх-Камышенский сельсовет,2013,-27.0
1613425,Воскресенский сельсовет,2013,-14.0
1613428,Голухинский сельсовет,2013,-45.0
1613430,Гоношихинский сельсовет,2013,-30.0
1613434,Гришинский сельсовет,2013,4.0
1613436,Жуланихинский сельсовет,2013,4.0
1613438,Зыряновский сельсовет,2013,-25.0
1613450,Комарский сельсовет,2013,-10.0
1613460,Новодраченинский сельсовет,2013,13.0
1613461,Новозыряновский сельсовет,2013,2.0
1613464,Новокопыловский сельсовет,2013,7.0
1613468,Новомоношкинский сельсовет,2013,-53.0
1613474,Смазневский сельсовет,2013,21.0
1613478,Сосновский сельсовет,2013,-12.0
1613487,Стародраченинский сельсовет,2013,6.0
1613488,Тягунский сельсовет,2013,-34.0
1613492,Хмелевский сельсовет,2013,-4.0
1613494,Шпагинский сельсовет,2013,-6.0
1613496,Яновский сельсовет,2013,-19.0
1614000,Змеиногорский муниципальный район,2013,-86.0
1614101,город Змеиногорск,2013,-59.0
1614422,Барановский сельсовет,2013,17.0
1614433,Карамышевский сельсовет,2013,8.0
1614444,Кузьминский сельсовет,2013,-5.0
1614450,Никольский сельсовет,2013,-7.0
1614455,Октябрьский сельсовет,2013,-6.0
1614466,Саввушинский сельсовет,2013,0.0
1614477,Таловский сельсовет,2013,-18.0
1614488,Черепановский сельсовет,2013,-16.0
1615000,Калманский муниципальный район,2013,209.0
1615409,Бурановский сельсовет,2013,53.0
1615414,Зимарёвский сельсовет,2013,17.0
1615425,Калистратихинский сельсовет,2013,-25.0
1615427,Калманский сельсовет,2013,-79.0
1615435,Кубанский сельсовет,2013,-17.0
1615450,Шиловский сельсовет,2013,21.0
1615457,Новоромановский сельсовет,2013,177.0
1615468,Обской сельсовет,2013,52.0
1615480,Усть-Алейский сельсовет,2013,0.0
1615485,Шадринский сельсовет,2013,10.0
1616000,Каменский муниципальный район,2013,-78.0
1616404,Аллакский сельсовет,2013,-15.0
1616413,Верх-Аллакский сельсовет,2013,-2.0
1616417,Гоноховский сельсовет,2013,2.0
1616437,Корниловский сельсовет,2013,0.0
1616461,Новоярковский сельсовет,2013,-4.0
1616468,Плотниковский сельсовет,2013,-24.0
1616473,Попереченский сельсовет,2013,-8.0
1616475,Пригородный сельсовет,2013,-6.0
1616482,Рыбинский сельсовет,2013,0.0
1616486,Столбовский сельсовет,2013,-20.0
1616494,Толстовский сельсовет,2013,-1.0
1616497,Филипповский сельсовет,2013,5.0
1617000,Ключевский муниципальный район,2013,-90.0
1617406,Васильчуковский сельсовет,2013,-4.0
1617412,Зелёнополянский сельсовет,2013,-6.0
1617415,Истимисский сельсовет,2013,-17.0
1617420,Каипский сельсовет,2013,-12.0
1617424,Ключевский сельсовет,2013,6.0
1617430,Марковский сельсовет,2013,-3.0
1617435,Новополтавский сельсовет,2013,-24.0
1617437,Новоцелинный сельсовет,2013,-5.0
1617446,Петуховский сельсовет,2013,-6.0
1617468,Покровский сельсовет,2013,-7.0
1617479,Северский сельсовет,2013,-12.0
1618000,Косихинский муниципальный район,2013,-270.0
1618406,Баюновский сельсовет,2013,-62.0
1618414,Верх-Жилинский сельсовет,2013,11.0
1618420,Глушинский сельсовет,2013,-5.0
1618425,Каркавинский сельсовет,2013,-12.0
1618430,Контошинский сельсовет,2013,-57.0
