oktmo,name,year,saldo
1601000,Алейский муниципальный район,2011,-803.0
1601402,Алейский сельсовет,2011,-346.0
1601404,Александровский сельсовет,2011,-24.0
1601408,Безголосовский сельсовет,2011,-5.0
1601413,Большепанюшевский сельсовет,2011,-55.0
1601417,Боровской сельсовет,2011,-51.0
1601419,Ветельский сельсовет,2011,-22.0
1601420,Дружбинский сельсовет,2011,-33.0
1601423,Дубровский сельсовет,2011,-10.0
1601426,Заветильичёвский сельсовет,2011,-28.0
1601430,Кабаковский сельсовет,2011,-17.0
1601432,Кашинский сельсовет,2011,0.0
1601438,Кировский сельсовет,2011,-82.0
1601440,Краснопартизанский сельсовет,2011,-18.0
1601460,Малиновский сельсовет,2011,-17.0
1601464,Моховской сельсовет,2011,-21.0
1601468,Осколковский сельсовет,2011,-1.0
1601473,Плотавский сельсовет,2011,-12.0
1601475,Савинский сельсовет,2011,-38.0
1601477,Совхозный сельсовет,2011,23.0
1601485,Урюпинский сельсовет,2011,3.0
1601496,Фрунзенский сельсовет,2011,-22.0
1601498,Чапаевский сельсовет,2011,-27.0
1602000,Алтайский муниципальный район,2011,108.0
1602405,Айский сельсовет,2011,-18.0
1602407,Алтайский сельсовет,2011,191.0
1602412,Беловский сельсовет,2011,-8.0
1602423,Куяганский сельсовет,2011,-11.0
1602427,Куячинский сельсовет,2011,-1.0
1602435,Макарьевский сельсовет,2011,-17.0
1602446,Нижнекаменский сельсовет,2011,-2.0
1602457,Пролетарский сельсовет,2011,-36.0
1602468,Россошинский сельсовет,2011,5.0
1602479,Старобелокурихинский сельсовет,2011,5.0
1603000,Баевский муниципальный район,2011,-331.0
1603407,Баевский сельсовет,2011,-159.0
1603416,Верх-Пайвинский сельсовет,2011,-26.0
1603419,Верх-Чуманский сельсовет,2011,-21.0
1603434,Нижнепайвинский сельсовет,2011,-2.0
1603437,Нижнечуманский сельсовет,2011,-68.0
1603455,Паклинский сельсовет,2011,-5.0
1603458,Плотавский сельсовет,2011,-18.0
