oktmo,name,year,outflow
07602000,Александровский муниципальный район,2008,939.0
07605000,Апанасенковский муниципальный район,2008,579.0
07607000,Арзгирский муниципальный район,2008,565.0
07610000,Благодарненский муниципальный район,2008,509.0
07610101,город Благодарный,2008,509.0
07612000,Будённовский муниципальный район,2008,1370.0
07615000,Георгиевский муниципальный район,2008,1572.0
07617000,Грачёвский муниципальный район,2008,610.0
07620000,Изобильненский муниципальный район,2008,998.0
07620101,город Изобильный,2008,632.0
07620153,посёлок Рыздвяный,2008,145.0
07620155,посёлок Солнечнодольск,2008,221.0
07622000,Ипатовский муниципальный район,2008,516.0
07622101,город Ипатово,2008,516.0
07625000,Кировский муниципальный район,2008,375.0
07625101,город Новопавловск,2008,375.0
07628000,Кочубеевский муниципальный район,2008,1476.0
07630000,Красногвардейский муниципальный район,2008,540.0
07632000,Андроповский муниципальный район,2008,560.0
07633000,Курский муниципальный район,2008,1051.0
07636000,Левокумский муниципальный район,2008,864.0
07639000,Минераловодский муниципальный район,2008,1073.0
07639101,город Минеральные Воды,2008,1227.0
07639152,посёлок Анджиевский,2008,93.0
07641000,Нефтекумский муниципальный район,2008,816.0
07641101,город Нефтекумск,2008,698.0
07641153,поселок Затеречный,2008,118.0
07643000,Новоалександровский муниципальный район,2008,341.0
07643101,город Новоалександровск,2008,341.0
07644000,Новоселицкий муниципальный район,2008,460.0
07646000,Петровский муниципальный район,2008,661.0
07646101,город Светлоград,2008,661.0
07648000,Предгорный муниципальный район,2008,1740.0
07650000,Советский муниципальный район,2008,707.0
07650101,город Зеленокумск,2008,707.0
07652000,Степновский муниципальный район,2008,477.0
07654000,Труновский муниципальный район,2008,565.0
07656000,Туркменский муниципальный район,2008,559.0
07658000,Шпаковский муниципальный район,2008,920.0
07658101,город Михайловск,2008,920.0
07701000,город Ставрополь,2008,5625.0
07702000,Город Буденновск (до 2015 года),2008,1513.0
07707000,город Георгиевск,2008,1471.0
07710000,город-курорт Ессентуки,2008,1445.0
07712000,город-курорт Железноводск,2008,501.0
07715000,город-курорт Кисловодск,2008,1472.0
07718000,город Лермонтов,2008,382.0
07724000,город Невинномысск,2008,1850.0
07727000,город-курорт Пятигорск,2008,2049.0
08603000,Амурский муниципальный район,2008,1442.0
08606000,Аяно-Майский муниципальный район,2008,121.0
08609000,Бикинский муниципальный район,2008,661.0
08612000,Ванинский муниципальный район,2008,880.0
08614000,Верхнебуреинский муниципальный район,2008,765.0
08617000,Вяземский муниципальный район,2008,491.0
08620000,Комсомольский муниципальный район,2008,775.0
08624000,Муниципальный район имени Лазо,2008,1013.0
08628000,Нанайский муниципальный район,2008,344.0
08631000,Николаевский муниципальный район,2008,828.0
08634000,Охотский муниципальный район,2008,438.0
08637000,Муниципальный район имени Полины Осипенко,2008,205.0
08642000,Советско-Гаванский муниципальный район,2008,917.0
08644000,Солнечный муниципальный район,2008,709.0
08646000,Тугуро-Чумиканский муниципальный район,2008,59.0
08650000,Ульчский муниципальный район,2008,506.0
08655000,Хабаровский муниципальный район,2008,2424.0
08701000,город Хабаровск,2008,7772.0
08709000,город Комсомольск-на-Амуре,2008,3704.0
11605000,Вельский муниципальный район,2008,779.0
11608000,Верхнетоемский муниципальный район,2008,360.0
11611000,Вилегодский муниципальный район,2008,212.0
11614000,Виноградовский муниципальный район,2008,204.0
11627000,Котласский муниципальный район,2008,446.0
11630000,Красноборский муниципальный район,2008,208.0
11635000,Ленский муниципальный район,2008,222.0
11638000,Лешуконский муниципальный район,2008,167.0
11642000,Мезенский муниципальный район,2008,251.0
11644000,Няндомский муниципальный район,2008,340.0
11648000,Пинежский муниципальный район,2008,458.0
11650000,Плесецкий муниципальный район,2008,808.0
11654000,Устьянский муниципальный район,2008,527.0
11656000,Холмогорский муниципальный район,2008,371.0
11658000,Шенкурский муниципальный район,2008,317.0
11710000,Котлас,2008,861.0
11712000,Новая Земля,2008,3.0
11851000,город Нарьян-Мар,2008,272.0
27606000,Гвардейский муниципальный район,2008,420.0
27615000,Зеленоградский муниципальный район,2008,409.0
27633000,Правдинский муниципальный район,2008,232.0
27701000,город Калининград,2008,3353.0
27705000,Балтийский,2008,497.0
27707000,Гурьевский г.о.,2008,578.0
27709000,Гусевский,2008,497.0
27713000,Краснознаменский г.о.,2008,217.0
27714000,Неманский г.о.,2008,335.0
27715000,Нестеровский г.о.,2008,262.0
27716000,Озерский г.о.,2008,211.0
27717000,Пионерский,2008,121.0
27718000,Полесский г.о.,2008,372.0
27725000,Светловский,2008,231.0
27727000,Славский г.о.,2008,369.0
27730000,Советский,2008,414.0
27739000,Черняховский г.о.,2008,723.0
29602000,Бабынинский муниципальный район,2008,432.0
29604000,Барятинский муниципальный район,2008,177.0
29606000,Боровский муниципальный район,2008,674.0
29606101,город Боровск,2008,89.0
29606105,город Балабаново,2008,343.0
29606157,город Ермолино,2008,79.0
29608000,Дзержинский муниципальный район,2008,817.0
29608101,город Кондрово,2008,162.0
29608155,ГП поселок Куровской,2008,48.0
29608157,поселок Полотняный Завод,2008,60.0
29608160,поселок Пятовский,2008,34.0
29608164,поселок Товарково,2008,208.0
29610000,Думиничский муниципальный район,2008,239.0
29610151,поселок Думиничи,2008,100.0
29612000,Жиздринский муниципальный район,2008,191.0
29612101,город Жиздра,2008,69.0
29613000,Жуковский муниципальный район,2008,905.0
29613101,город Жуков,2008,173.0
29613157,город Белоусово,2008,140.0
29613160,город Кременки,2008,281.0
29614000,Кировский муниципальный район,2008,620.0
29614101,город Киров,2008,285.0
29615000,Износковский муниципальный район,2008,145.0
29616000,Козельский муниципальный район,2008,964.0
29616101,город Козельск,2008,561.0
29616104,город Сосенский,2008,210.0
29618000,Куйбышевский муниципальный район,2008,93.0
29620000,Людиновский муниципальный район,2008,430.0
29620101,город Людиново,2008,343.0
29623000,Малоярославецкий муниципальный район,2008,788.0
29623101,город Малоярославец,2008,410.0
29625000,Медынский муниципальный район,2008,254.0
29625101,город Медынь,2008,123.0
29627000,Мещовский муниципальный район,2008,269.0
29627101,город Мещовск,2008,88.0
29629000,Мосальский муниципальный район,2008,175.0
29629101,город Мосальск,2008,56.0
29632000,Перемышльский муниципальный район,2008,241.0
29634000,Спас-Деменский муниципальный район,2008,151.0
29634101,город Спас-Деменск,2008,70.0
29636000,Сухиничский муниципальный район,2008,434.0
29636101,город Сухиничи,2008,262.0
29636157,поселок Середейский,2008,23.0
29638000,Тарусский муниципальный район,2008,268.0
29638101,город Таруса,2008,159.0
29642000,Ульяновский муниципальный район,2008,125.0
29644000,Ферзиковский муниципальный район,2008,274.0
29644403,поселок Дугна,2008,19.0
29646000,Хвастовичский муниципальный район,2008,181.0
29650000,Юхновский муниципальный район,2008,252.0
29650101,город Юхнов,2008,166.0
29701000,город Калуга,2008,2794.0
29715000,город Обнинск,2008,1095.0
57604000,Бардымский муниципальный район,2008,296.0
57605000,Александровский муниципальный район,2008,407.0
57606000,Березовский муниципальный район,2008,186.0
57608000,Большесосновский муниципальный район,2008,227.0
57612000,Верещагинский муниципальный район,2008,659.0
57614000,Горнозаводский муниципальный район,2008,397.0
57615000,Гремячинский муниципальный район,2008,303.0
57616000,Добрянский муниципальный район,2008,653.0
57617000,Губахинский муниципальный район,2008,501.0
57618000,Еловский муниципальный район,2008,182.0
57620000,Ильинский муниципальный район,2008,233.0
57622000,Карагайский муниципальный район,2008,253.0
57623000,Кизеловский муниципальный район,2008,555.0
57624000,Кишертский муниципальный район,2008,220.0
57626000,Красновишерский муниципальный район,2008,431.0
57627000,Краснокамский муниципальный район,2008,679.0
57628000,Куединский муниципальный район,2008,425.0
57630000,Кунгурский муниципальный район,2008,774.0
57632000,Лысьвенский муниципальный район,2008,607.0
57634000,Нытвенский муниципальный район,2008,631.0
57636000,Октябрьский муниципальный район,2008,905.0
57638000,Ординский муниципальный район,2008,217.0
57640000,Осинский муниципальный район,2008,522.0
57642000,Оханский муниципальный район,2008,191.0
57644000,Очерский муниципальный район,2008,276.0
57646000,Пермский муниципальный район,2008,1259.0
57648000,Сивинский муниципальный район,2008,180.0
57650000,Соликамский муниципальный район,2008,213.0
57651000,Суксунский муниципальный район,2008,228.0
57652000,Уинский муниципальный район,2008,220.0
57653000,Усольский муниципальный район,2008,271.0
57654000,Чайковский муниципальный район,2008,1843.0
57655000,Частинский муниципальный район,2008,165.0
57656000,Чердынский муниципальный район,2008,462.0
57657000,Чернушинский муниципальный район,2008,950.0
57658000,Чусовской муниципальный район,2008,659.0
57701000,Пермский,2008,6962.0
57708000,город Березники,2008,1806.0
57722000,Городской округ город Кунгур,2008,738.0
57730000,Соликамский,2008,1165.0
57814000,Гайнский муниципальный район,2008,243.0
57817000,Косинский муниципальный район,2008,137.0
57819000,Кочевский муниципальный район,2008,180.0
57821000,Кудымкарский муниципальный район,2008,363.0
57825000,Юрлинский муниципальный район,2008,159.0
57827000,Юсьвинский муниципальный район,2008,256.0
57851000,Городской округ город Кудымкар,2008,545.0
64628000,Невельский муниципальный район,2008,2315.0
