oktmo,name,year,saldo
7602000,Александровский муниципальный район,2008,-123.0
7605000,Апанасенковский муниципальный район,2008,-115.0
7607000,Арзгирский муниципальный район,2008,-242.0
7610000,Благодарненский муниципальный район,2008,-66.0
7610101,город Благодарный,2008,-66.0
7612000,Будённовский муниципальный район,2008,-348.0
7615000,Георгиевский муниципальный район,2008,635.0
7617000,Грачёвский муниципальный район,2008,234.0
7620000,Изобильненский муниципальный район,2008,257.0
7620101,город Изобильный,2008,312.0
7620153,посёлок Рыздвяный,2008,22.0
7620155,посёлок Солнечнодольск,2008,-77.0
7622000,Ипатовский муниципальный район,2008,92.0
7622101,город Ипатово,2008,92.0
7625000,Кировский муниципальный район,2008,-25.0
7625101,город Новопавловск,2008,-25.0
7628000,Кочубеевский муниципальный район,2008,226.0
7630000,Красногвардейский муниципальный район,2008,-65.0
7632000,Андроповский муниципальный район,2008,20.0
7633000,Курский муниципальный район,2008,25.0
7636000,Левокумский муниципальный район,2008,-248.0
7639000,Минераловодский муниципальный район,2008,-46.0
7639101,город Минеральные Воды,2008,237.0
7639152,посёлок Анджиевский,2008,54.0
7641000,Нефтекумский муниципальный район,2008,9.0
7641101,город Нефтекумск,2008,-76.0
7641153,поселок Затеречный,2008,85.0
7643000,Новоалександровский муниципальный район,2008,32.0
7643101,город Новоалександровск,2008,32.0
7644000,Новоселицкий муниципальный район,2008,-99.0
7646000,Петровский муниципальный район,2008,147.0
7646101,город Светлоград,2008,147.0
7648000,Предгорный муниципальный район,2008,600.0
7650000,Советский муниципальный район,2008,90.0
7650101,город Зеленокумск,2008,90.0
7652000,Степновский муниципальный район,2008,-80.0
7654000,Труновский муниципальный район,2008,0.0
7656000,Туркменский муниципальный район,2008,-259.0
7658000,Шпаковский муниципальный район,2008,678.0
7658101,город Михайловск,2008,678.0
7701000,город Ставрополь,2008,1304.0
7702000,Город Буденновск (до 2015 года),2008,-49.0
7707000,город Георгиевск,2008,-63.0
7710000,город-курорт Ессентуки,2008,705.0
7712000,город-курорт Железноводск,2008,66.0
7715000,город-курорт Кисловодск,2008,593.0
7718000,город Лермонтов,2008,1.0
7724000,город Невинномысск,2008,-141.0
7727000,город-курорт Пятигорск,2008,1273.0
8603000,Амурский муниципальный район,2008,-562.0
8606000,Аяно-Майский муниципальный район,2008,-93.0
8609000,Бикинский муниципальный район,2008,-352.0
8612000,Ванинский муниципальный район,2008,-330.0
8614000,Верхнебуреинский муниципальный район,2008,-321.0
8617000,Вяземский муниципальный район,2008,141.0
8620000,Комсомольский муниципальный район,2008,601.0
8624000,Муниципальный район имени Лазо,2008,-69.0
8628000,Нанайский муниципальный район,2008,29.0
8631000,Николаевский муниципальный район,2008,-538.0
8634000,Охотский муниципальный район,2008,-361.0
8637000,Муниципальный район имени Полины Осипенко,2008,-135.0
8642000,Советско-Гаванский муниципальный район,2008,-173.0
8644000,Солнечный муниципальный район,2008,-13.0
8646000,Тугуро-Чумиканский муниципальный район,2008,-40.0
8650000,Ульчский муниципальный район,2008,-228.0
8655000,Хабаровский муниципальный район,2008,1063.0
8701000,город Хабаровск,2008,2944.0
8709000,город Комсомольск-на-Амуре,2008,-857.0
11605000,Вельский муниципальный район,2008,-298.0
11608000,Верхнетоемский муниципальный район,2008,-318.0
