oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
4601000,Абанский муниципальный район,female,2012,743,639,667,471,604,713,740,713,652,822,1909,1053,753,276
4601000,Абанский муниципальный район,male,2012,850,668,589,640,748,811,744,664,677,788,1710,893,608,199
4603000,Ачинский муниципальный район,female,2012,481,388,376,548,650,558,568,492,446,545,1343,773,619,231
4603000,Ачинский муниципальный район,male,2012,591,423,375,501,722,600,547,477,460,545,1160,611,503,171
4604000,Балахтинский муниципальный район,female,2012,657,558,615,452,516,681,707,677,610,826,1774,948,743,327
4604000,Балахтинский муниципальный район,male,2012,702,604,641,521,544,661,678,652,601,728,1584,835,622,237
4605000,Березовский муниципальный район,female,2012,1222,1040,926,952,1551,1784,1545,1377,1160,1391,3006,1663,1185,532
4605000,Березовский муниципальный район,male,2012,1271,1112,966,1100,1541,1821,1596,1315,1171,1239,2403,1275,874,357
4606000,Бирилюсский муниципальный район,female,2012,346,251,301,242,300,361,324,339,366,440,962,514,368,154
4606000,Бирилюсский муниципальный район,male,2012,340,327,292,265,297,342,317,316,341,418,908,476,327,95
4608000,Боготольский муниципальный район,female,2012,409,322,278,312,472,440,360,333,304,385,773,417,332,141
4608000,Боготольский муниципальный район,male,2012,424,339,288,313,484,507,413,348,325,311,717,361,229,99
4609000,Богучанский муниципальный район,female,2012,1494,1436,1259,1090,1295,1753,1758,1668,1449,1630,3706,1934,1374,594
4609000,Богучанский муниципальный район,male,2012,1519,1435,1338,1131,1897,2655,2297,2112,1675,1890,3532,1857,1184,440
4610000,Большемуртинский муниципальный район,female,2012,623,551,503,417,579,720,576,577,522,692,1712,933,681,285
4610000,Большемуртинский муниципальный район,male,2012,620,534,510,412,628,735,627,561,493,616,1466,799,553,213
4611000,Большеулуйский муниципальный район,female,2012,269,192,242,194,247,291,236,251,256,310,645,355,272,89
4611000,Большеулуйский муниципальный район,male,2012,310,201,209,200,244,257,236,247,236,326,583,296,219,75
4613000,Дзержинский муниципальный район,female,2012,472,434,390,327,406,517,459,445,459,557,1218,651,501,166
4613000,Дзержинский муниципальный район,male,2012,493,471,391,382,447,508,497,485,410,533,1189,624,390,128
4614000,Емельяновский муниципальный район,female,2012,1456,1181,981,1045,1627,1886,1634,1443,1218,1524,3336,1809,1396,573
4614000,Емельяновский муниципальный район,male,2012,1438,1279,1170,1201,1809,2730,2751,2307,1815,1788,3285,1671,1212,432
4615000,Енисейский муниципальный район,female,2012,950,768,735,687,786,911,884,832,816,949,2159,1221,851,362
4615000,Енисейский муниципальный район,male,2012,898,796,760,750,1076,1137,1007,849,785,942,2077,1131,740,253
4616000,Ермаковский муниципальный район,female,2012,677,582,637,491,477,670,701,666,619,696,1701,936,813,330
4616000,Ермаковский муниципальный район,male,2012,758,621,635,499,580,709,665,604,574,615,1521,816,666,255
4617000,Идринский муниципальный район,female,2012,444,389,361,277,315,421,441,393,373,425,1084,599,381,157
4617000,Идринский муниципальный район,male,2012,472,406,458,296,368,445,429,390,323,436,944,530,341,125
4618000,Иланский муниципальный район,female,2012,915,780,726,565,887,1137,993,885,793,839,1908,1045,797,337
4618000,Иланский муниципальный район,male,2012,944,830,720,703,1022,1188,1037,819,810,781,1650,867,560,227
4619000,Ирбейский муниципальный район,female,2012,580,498,487,424,578,615,535,527,516,551,1320,714,478,206
4619000,Ирбейский муниципальный район,male,2012,633,537,543,471,597,646,583,530,461,591,1235,646,447,126
4620000,Казачинский муниципальный район,female,2012,343,352,278,272,340,379,354,322,311,403,1001,534,338,144
4620000,Казачинский муниципальный район,male,2012,374,333,282,269,355,447,377,358,315,412,888,482,296,99
4621000,Канский муниципальный район,female,2012,934,890,810,817,1028,1049,978,903,775,915,2055,1088,816,353
4621000,Канский муниципальный район,male,2012,987,886,797,742,1041,1100,991,895,740,922,1888,996,658,214
4622000,Каратузский муниципальный район,female,2012,527,480,468,288,354,469,532,576,452,573,1424,820,616,264
4622000,Каратузский муниципальный район,male,2012,606,484,457,356,430,515,508,477,437,545,1228,676,565,186
4624000,Кежемский муниципальный район,female,2012,646,617,557,439,599,902,900,748,618,758,1752,923,623,244
4624000,Кежемский муниципальный район,male,2012,734,687,546,456,987,1277,1218,931,702,808,1651,854,558,179
4626000,Козульский муниципальный район,female,2012,579,475,417,376,476,609,553,486,485,591,1400,711,495,229
4626000,Козульский муниципальный район,male,2012,525,507,446,476,798,727,630,539,480,567,1266,623,369,139
4628000,Краснотуранский муниципальный район,female,2012,481,435,447,324,428,510,521,509,425,579,1291,694,539,202
4628000,Краснотуранский муниципальный район,male,2012,541,439,506,427,449,554,503,474,414,512,1150,586,414,143
4630000,Курагинский муниципальный район,female,2012,1670,1417,1359,986,1219,1768,1635,1606,1387,1736,4109,2323,1838,706
4630000,Курагинский муниципальный район,male,2012,1782,1551,1457,1077,1342,1746,1646,1538,1301,1543,3473,1872,1401,440
4631000,Манский муниципальный район,female,2012,523,478,425,296,409,545,533,496,471,603,1396,765,610,233
4631000,Манский муниципальный район,male,2012,611,492,466,331,474,595,478,488,468,580,1249,684,456,188
4633000,Минусинский муниципальный район,female,2012,882,819,752,642,789,981,939,875,755,812,2185,1223,1009,370
4633000,Минусинский муниципальный район,male,2012,961,841,766,662,846,999,894,849,749,835,1835,1063,766,297
4635000,Мотыгинский муниципальный район,female,2012,596,535,492,357,433,575,570,594,498,542,1347,709,512,204
4635000,Мотыгинский муниципальный район,male,2012,579,519,524,418,561,576,578,568,472,574,1244,647,457,138
4637000,Назаровский муниципальный район,female,2012,849,770,782,622,847,935,917,805,683,820,1673,898,660,257
4637000,Назаровский муниципальный район,male,2012,879,806,781,696,886,993,861,821,676,776,1527,782,586,184
4639000,Нижнеингашский муниципальный район,female,2012,1021,944,968,786,1049,1348,1355,1284,1085,1183,2671,1492,1071,387
4639000,Нижнеингашский муниципальный район,male,2012,1064,935,993,838,1154,1252,1314,1200,1091,1139,2261,1179,798,278
4641000,Новоселовский муниципальный район,female,2012,458,440,366,302,341,476,502,434,485,573,1173,601,454,187
4641000,Новоселовский муниципальный район,male,2012,471,507,423,344,414,516,424,475,432,520,962,503,363,130
4643000,Партизанский муниципальный район,female,2012,351,312,290,195,209,336,341,338,304,424,918,493,357,151
4643000,Партизанский муниципальный район,male,2012,352,349,311,213,246,332,332,305,329,391,833,426,317,92
4645000,Пировский муниципальный район,female,2012,216,210,242,194,167,218,258,227,254,272,568,314,234,108
4645000,Пировский муниципальный район,male,2012,252,211,244,176,213,252,235,228,217,331,648,339,194,72
4647000,Рыбинский муниципальный район,female,2012,1139,949,860,753,952,1232,1133,1079,957,1061,2624,1438,1123,470
4647000,Рыбинский муниципальный район,male,2012,1197,1050,961,788,982,1205,1084,1019,919,1001,2207,1168,830,265
4648000,Саянский муниципальный район,female,2012,405,325,322,270,299,374,369,372,378,470,1082,568,396,188
4648000,Саянский муниципальный район,male,2012,408,319,321,298,364,403,357,376,310,459,964,506,373,131
4649000,Северо-Енисейский муниципальный район,female,2012,327,318,316,233,299,458,473,452,364,409,865,456,288,105
4649000,Северо-Енисейский муниципальный район,male,2012,401,369,287,235,428,602,626,571,504,582,897,441,265,79
4650000,Эвенкийский муниципальный район,female,2012,673,603,550,521,666,665,666,571,530,682,1124,581,340,145
4650000,Эвенкийский муниципальный район,male,2012,713,637,565,529,644,670,602,603,495,607,1150,563,325,123
4651000,Сухобузимский муниципальный район,female,2012,658,539,557,452,617,698,690,640,636,789,1803,995,787,338
4651000,Сухобузимский муниципальный район,male,2012,684,555,530,529,661,710,627,646,609,635,1536,871,609,234
4652000,Тасеевский муниципальный район,female,2012,410,325,366,286,468,466,389,391,422,485,1116,585,436,167
4652000,Тасеевский муниципальный район,male,2012,412,351,369,340,482,539,386,373,388,452,1026,544,366,107
4653000,Таймырский Долгано-Ненецкий муниципальный район,female,2012,1399,1314,1119,986,1229,1444,1503,1442,1313,1404,2639,1326,723,281
4653000,Таймырский Долгано-Ненецкий муниципальный район,male,2012,1509,1300,1175,990,1349,1458,1464,1419,1246,1229,2269,1108,524,175
4654000,Туруханский муниципальный район,female,2012,687,596,606,510,543,734,691,654,574,767,1525,822,524,220
4654000,Туруханский муниципальный район,male,2012,623,643,619,565,598,729,744,612,507,692,1451,776,475,139
4655000,Тюхтетский муниципальный район,female,2012,283,243,224,185,251,297,264,260,263,354,720,396,276,107
4655000,Тюхтетский муниципальный район,male,2012,313,256,222,227,301,300,272,253,288,335,742,399,251,81
4656000,Ужурский муниципальный район,female,2012,1178,1077,1001,895,1216,1387,1303,1169,1009,1167,2550,1335,940,385
4656000,Ужурский муниципальный район,male,2012,1264,1057,975,908,1230,1397,1226,1110,975,1082,2176,1109,738,278
4657000,Уярский муниципальный район,female,2012,663,560,512,407,633,744,740,759,624,702,1836,1029,739,354
4657000,Уярский муниципальный район,male,2012,725,604,559,450,714,1060,980,823,627,732,1559,807,603,199
4658000,Шарыповский муниципальный район,female,2012,549,444,475,383,402,526,471,473,445,564,1333,713,522,235
4658000,Шарыповский муниципальный район,male,2012,580,483,455,405,470,526,462,416,450,528,1162,621,463,163
4659000,Шушенский муниципальный район,female,2012,1054,846,851,1058,989,1076,1000,1053,955,1079,2882,1598,1492,643
4659000,Шушенский муниципальный район,male,2012,1074,887,804,872,931,1104,962,956,887,904,2252,1242,1070,448
4701000,город Красноярск,female,2012,26786,22355,18105,31714,57096,55302,46346,39717,33433,34323,38051,35374,31946,15943
4701000,город Красноярск,male,2012,28637,23449,19181,30108,51556,52557,43500,36264,30082,29301,29613,24134,19620,8333
4703000,город Ачинск,female,2012,3513,2925,2480,3122,4584,4880,4587,4853,3959,3858,4386,4549,4370,1917
4703000,город Ачинск,male,2012,3873,2818,2629,2874,3891,4788,4220,4070,3543,3127,3520,3041,2647,1049
4706000,город Боготол,female,2012,677,610,508,487,685,832,817,800,643,728,1761,992,797,331
4706000,город Боготол,male,2012,772,634,504,554,721,825,731,719,580,610,1314,696,537,194
4707000,город Бородино,female,2012,519,484,432,364,400,626,737,689,530,666,1683,922,646,215
4707000,город Бородино,male,2012,528,505,482,380,416,570,661,670,460,506,1330,688,470,156
4709000,город Дивногорск,female,2012,815,747,628,1366,1349,1259,1200,1177,1072,1088,2124,1297,1296,689
4709000,город Дивногорск,male,2012,906,743,689,1138,1264,1265,1084,1000,973,963,1549,886,813,372
4712000,город Енисейск,female,2012,646,535,475,448,530,836,816,745,588,609,1504,857,684,249
4712000,город Енисейск,male,2012,723,588,489,452,739,773,805,704,565,540,1151,591,464,186
4720000,город Канск,female,2012,2790,2439,2169,2607,3671,4007,3805,3753,3094,3181,7398,4075,3436,1486
4720000,город Канск,male,2012,3006,2583,2306,2529,3490,3822,3584,3392,2789,2847,5495,2881,2132,844
4722000,город Лесосибирск,female,2012,2261,1773,1682,1810,2504,2785,2705,2676,2083,2391,5111,2922,2276,958
4722000,город Лесосибирск,male,2012,2286,1951,1756,1722,2436,2802,2396,2354,1920,2040,3918,2219,1640,575
4723000,город Минусинск,female,2012,2209,1938,1634,2119,2594,2872,3049,2802,2025,2131,6139,3630,3054,1199
4723000,город Минусинск,male,2012,2330,2059,1810,1937,2688,2966,2972,2646,1997,1862,4401,2524,2193,832
4726000,город Назарово,female,2012,1515,1254,1140,1243,1609,2115,1980,1924,1736,2082,4536,2515,2111,896
4726000,город Назарово,male,2012,1599,1333,1220,1223,1722,2005,1856,1696,1515,1700,3549,1858,1514,532
4729000,город Норильск,female,2012,5564,5373,5315,5050,6057,8354,8938,9827,7909,7499,8081,5558,2749,837
4729000,город Норильск,male,2012,6040,5484,5583,5461,7618,9848,8971,9443,8611,7636,7220,4579,1813,462
4733000,город Сосновоборск,female,2012,1082,858,628,693,1188,1728,1609,1441,943,987,3221,1861,1566,486
4733000,город Сосновоборск,male,2012,1095,941,685,657,1259,1740,1723,1335,869,834,2189,1281,1064,384
4740000,город Шарыпово,female,2012,1374,1157,1143,1065,1614,2225,1778,1610,1487,2599,4301,2254,1488,516
4740000,город Шарыпово,male,2012,1540,1196,1273,1091,1672,2087,1575,1369,1161,1867,3443,1804,1077,356
4775000,поселок Кедровый,female,2012,171,167,148,93,191,244,242,226,201,170,340,183,139,51
4775000,поселок Кедровый,male,2012,181,181,171,111,162,189,205,206,155,178,230,127,78,31
5602000,Анучинский муниципальный район,female,2012,449,410,333,293,383,395,430,479,424,467,1119,631,510,288
5602000,Анучинский муниципальный район,male,2012,486,425,362,413,905,576,472,453,448,468,1029,555,454,204
5607000,Дальнереченский муниципальный район,female,2012,368,333,334,276,261,342,390,395,344,380,852,479,350,209
5607000,Дальнереченский муниципальный район,male,2012,383,390,367,274,333,390,409,420,381,431,807,453,315,134
5610000,Кавалеровский муниципальный район,female,2012,721,683,636,497,517,822,919,923,801,936,2252,1314,1170,538
5610000,Кавалеровский муниципальный район,male,2012,751,725,621,679,581,846,887,904,714,812,1852,1052,909,397
5612000,Кировский муниципальный район,female,2012,718,610,559,457,455,619,740,771,658,731,1800,1025,822,462
5612000,Кировский муниципальный район,male,2012,726,666,624,537,559,706,669,731,635,689,1473,789,671,308
5614000,Красноармейский муниципальный район,female,2012,595,597,499,358,373,627,690,646,587,626,1482,818,657,326
5614000,Красноармейский муниципальный район,male,2012,631,640,549,451,540,667,714,694,551,574,1280,714,592,235
5617000,Лазовский муниципальный район,female,2012,342,374,355,255,373,436,464,497,463,523,1204,678,634,279
5617000,Лазовский муниципальный район,male,2012,381,418,348,336,393,512,505,538,504,537,1167,636,480,198
5620000,Михайловский муниципальный район,female,2012,987,969,831,836,1141,1458,1415,1468,1268,1373,2714,1536,1284,617
5620000,Михайловский муниципальный район,male,2012,1026,961,933,879,1051,1173,1149,1178,1026,1103,2201,1219,917,446
5623000,Надеждинский муниципальный район,female,2012,1106,1007,861,887,1295,1536,1456,1357,1187,1335,2907,1629,1534,773
5623000,Надеждинский муниципальный район,male,2012,1172,1183,912,1083,2236,1614,1405,1364,1160,1266,2535,1345,1053,506
5626000,Октябрьский муниципальный район,female,2012,924,814,779,640,815,1129,1221,1145,915,1017,2177,1220,1078,587
5626000,Октябрьский муниципальный район,male,2012,929,828,810,721,1602,1199,1142,1024,872,838,1888,1035,737,406
