oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
19730000,город Череповец,female,2011,0.0578,0.0499,0.0409,0.0455,0.07733,0.0934,0.0882,0.0793,0.0654,0.0758,0.149,0.0793,0.0659,0.03214
19730000,город Череповец,male,2011,0.06995,0.06027,0.05023,0.05774,0.0869,0.10486,0.09454,0.0841,0.0679,0.07227,0.12195,0.06244,0.04785,0.01903
29602000,Бабынинский муниципальный район,female,2011,0.05548,0.04834,0.0526,0.05844,0.08435,0.0717,0.067,0.0678,0.077,0.0875,0.15,0.07715,0.0643,0.03833
29602000,Бабынинский муниципальный район,male,2011,0.0598,0.04947,0.05252,0.0672,0.10126,0.08905,0.0698,0.0701,0.07635,0.0905,0.1368,0.06464,0.0501,0.02226
29604000,Барятинский муниципальный район,female,2011,0.05457,0.04828,0.05527,0.0682,0.0829,0.0843,0.0661,0.06647,0.0591,0.07623,0.1564,0.0794,0.06192,0.04092
29604000,Барятинский муниципальный район,male,2011,0.0583,0.04938,0.05313,0.05484,0.0761,0.085,0.0836,0.0823,0.0737,0.08636,0.1543,0.0693,0.05588,0.01782
29606000,Боровский муниципальный район,female,2011,0.05182,0.04752,0.04324,0.04907,0.0815,0.08594,0.07916,0.0772,0.06744,0.078,0.1495,0.08167,0.07007,0.03784
29606000,Боровский муниципальный район,male,2011,0.05588,0.0515,0.04477,0.06604,0.11395,0.0991,0.0919,0.08124,0.0735,0.07526,0.11597,0.0588,0.0498,0.0222
29608000,Дзержинский муниципальный район,female,2011,0.05093,0.049,0.0402,0.04984,0.0781,0.0859,0.0751,0.06696,0.05923,0.0826,0.1719,0.08826,0.0633,0.0388
29608000,Дзержинский муниципальный район,male,2011,0.05496,0.04874,0.0458,0.05225,0.0862,0.1039,0.09515,0.07666,0.0659,0.08044,0.1459,0.07434,0.04996,0.01988
29610000,Думиничский муниципальный район,female,2011,0.0497,0.0475,0.04636,0.0476,0.07025,0.07245,0.0721,0.07135,0.0648,0.0825,0.1722,0.0916,0.07556,0.03604
29610000,Думиничский муниципальный район,male,2011,0.05435,0.05072,0.05392,0.06476,0.09235,0.0754,0.07623,0.07263,0.07056,0.08075,0.1501,0.0777,0.0603,0.0203
29612000,Жиздринский муниципальный район,female,2011,0.0559,0.0559,0.0521,0.0553,0.0742,0.06354,0.0696,0.06696,0.077,0.07623,0.1519,0.08527,0.0734,0.04282
29612000,Жиздринский муниципальный район,male,2011,0.0679,0.053,0.05927,0.06033,0.0776,0.0707,0.0666,0.07825,0.0733,0.0862,0.1558,0.07825,0.05194,0.0209
